ID,Cluster,LAT,LON,t,obs_id,stat,formation,Z
c102_B_1,3,2134696,476142,639,c102_B,3.398395709,Volcaniclastic,2254.80004883
c102_B_2,3,2134696,476142,1004,c102_B,2.35245874,Volcaniclastic,2252.30004883
c102_B_3,3,2134696,476142,1674,c102_B,2.352696777,Volcaniclastic,2250.10009765812
c102_B_4,3,2134696,476142,2039,c102_B,2.352954977,Volcaniclastic,2247.69995117375
c102_B_5,3,2134696,476142,2404,c102_B,2.353197213,Volcaniclastic,2245.39990234562
c102_B_6,3,2134696,476142,2769,c102_B,2.353195088,Volcaniclastic,2245.39990234562
c102_B_7,3,2134696,476142,3500,c102_B,2.353518031,Volcaniclastic,2242.3999023456
c102_B_8,3,2134696,476142,3926,c102_B,2.353467043,Volcaniclastic,2242.80004883
c102_B_9,3,2134696,476142,4961,c102_B,2.35375065,Volcaniclastic,2240.1999511738
c102_B_10,3,2134696,476142,5357,c102_B,2.353422428,Volcaniclastic,2243.30004883
c102_B_11,3,2134696,476142,6088,c102_B,2.354023603,Volcaniclastic,2237.6000976581
c102_B_12,3,2134696,476142,6909,c102_B,2.354104315,Volcaniclastic,2236.80004883
c102_B_13,3,2134696,476142,7213,c102_B,2.354284843,Volcaniclastic,2235.1000976581
c102_B_14,3,2134696,476142,7579,c102_B,2.354351742,Volcaniclastic,2234.5000000019
c102_B_15,3,2134696,476142,7944,c102_B,2.354422886,Volcaniclastic,2233.80004883
c102_B_16,3,2134696,476142,8309,c102_B,2.353819688,Volcaniclastic,2239.5000000019
c102_B_17,3,2134696,476142,8674,c102_B,2.354114934,Volcaniclastic,2236.6999511738
c102_B_18,3,2134696,476142,9040,c102_B,2.354119182,Volcaniclastic,2236.6999511738
c102_B_19,3,2134696,476142,9405,c102_B,2.35417228,Volcaniclastic,2236.1999511738
c102_B_20,3,2134696,476142,9770,c102_B,2.354285905,Volcaniclastic,2235.1000976581
c102_B_21,3,2134696,476142,10135,c102_B,2.354192457,Volcaniclastic,2236.0000000019
c102_B_22,3,2134696,476142,10866,c102_B,2.354677711,Volcaniclastic,2231.3999023456
c113_B_1,3,2133278,479674,639,c113_B,4.354123199,Volcaniclastic,2243
c113_B_2,3,2133278,479674,1004,c113_B,4.265681071,Volcaniclastic,2240.89990234375
c113_B_3,3,2133278,479674,1277,c113_B,4.26578714899999,Volcaniclastic,2239
c113_B_4,3,2133278,479674,1674,c113_B,4.26587095399999,Volcaniclastic,2237.60009765625
c113_B_5,3,2133278,479674,2039,c113_B,4.265991678,Volcaniclastic,2235.60009765625
c113_B_6,3,2133278,479674,2404,c113_B,4.266059071,Volcaniclastic,2234.39990234375
c113_B_7,3,2133278,479674,2769,c113_B,4.26612001699999,Volcaniclastic,2233.39990234375
c113_B_8,3,2133278,479674,3135,c113_B,4.266166898,Volcaniclastic,2232.6000976562
c113_B_9,3,2133278,479674,3500,c113_B,4.266198542,Volcaniclastic,2232
c113_B_10,3,2133278,479674,3926,c113_B,4.266245422,Volcaniclastic,2231.1999511719
c113_B_11,3,2133278,479674,4230,c113_B,4.266286441,Volcaniclastic,2230.5
c113_B_12,3,2133278,479674,4596,c113_B,4.266316327,Volcaniclastic,2230
c113_B_13,3,2133278,479674,4961,c113_B,4.26634152399999,Volcaniclastic,2229.6000976562
c113_B_14,3,2133278,479674,5357,c113_B,4.26578714899999,Volcaniclastic,2239
c113_B_15,3,2133278,479674,6088,c113_B,4.266380785,Volcaniclastic,2228.8999023438
c113_B_16,3,2133278,479674,7213,c113_B,4.266332148,Volcaniclastic,2229.6999511719
c113_B_17,3,2133278,479674,7579,c113_B,4.266393676,Volcaniclastic,2228.6999511719
c113_B_18,3,2133278,479674,7944,c113_B,4.266406568,Volcaniclastic,2228.5
c113_B_19,3,2133278,479674,8309,c113_B,4.266338008,Volcaniclastic,2229.6000976562
c113_B_20,3,2133278,479674,8674,c113_B,4.26643528,Volcaniclastic,2228
c113_B_21,3,2133278,479674,9040,c113_B,4.266483915,Volcaniclastic,2227.1999511719
c113_B_22,3,2133278,479674,9405,c113_B,4.266492119,Volcaniclastic,2227
c113_B_23,3,2133278,479674,9770,c113_B,4.266543683,Volcaniclastic,2226.1000976562
c113_B_24,3,2133278,479674,10135,c113_B,4.266564777,Volcaniclastic,2225.8000488281
c113_B_25,3,2133278,479674,10501,c113_B,4.266566535,Volcaniclastic,2225.6999511719
c113_B_26,3,2133278,479674,10866,c113_B,4.26664681,Volcaniclastic,2224.3999023438
c114_B_1,3,2133256,477805,639,c114_B,9.774611753,Volcaniclastic,2240.89990234
c114_B_2,3,2133256,477805,1277,c114_B,8.211372592,Volcaniclastic,2238.30004882438
c114_B_3,3,2133256,477805,1674,c114_B,8.211402429,Volcaniclastic,2237.30004882438
c114_B_4,3,2133256,477805,2039,c114_B,8.211446575,Volcaniclastic,2235.89990234
c114_B_5,3,2133256,477805,2404,c114_B,8.211433787000001,Volcaniclastic,2236.30004882438
c114_B_6,3,2133256,477805,2769,c114_B,8.211445357000001,Volcaniclastic,2235.89990234
c114_B_7,3,2133256,477805,3135,c114_B,8.211476105999999,Volcaniclastic,2234.89990234
c114_B_8,3,2133256,477805,3500,c114_B,8.211416434,Volcaniclastic,2236.89990234
c114_B_9,3,2133256,477805,3926,c114_B,8.211376550000001,Volcaniclastic,2238.19995116812
c114_B_10,3,2133256,477805,4230,c114_B,8.211317181,Volcaniclastic,2240.1000976525
c114_B_11,3,2133256,477805,4596,c114_B,8.211304089,Volcaniclastic,2240.6000976525
c114_B_12,3,2133256,477805,4961,c114_B,8.211124152,Volcaniclastic,2246.49999999625
c114_B_13,3,2133256,477805,5357,c114_B,8.211067826000001,Volcaniclastic,2248.30004882438
c114_B_14,3,2133256,477805,6544,c114_B,8.211930336,Volcaniclastic,2219.9999999962
c114_B_15,3,2133256,477805,6909,c114_B,8.210721639999999,Volcaniclastic,2259.6999511681
c114_B_16,3,2133256,477805,7213,c114_B,8.210726207,Volcaniclastic,2259.6000976525
c114_B_17,3,2133256,477805,7579,c114_B,8.21072438,Volcaniclastic,2259.6000976525
c114_B_18,3,2133256,477805,7944,c114_B,8.210715855,Volcaniclastic,2259.89990234
c114_B_19,3,2133256,477805,8309,c114_B,8.210877532,Volcaniclastic,2254.6000976525
c114_B_20,3,2133256,477805,8674,c114_B,8.210753915,Volcaniclastic,2258.6000976525
c114_B_21,3,2133256,477805,9040,c114_B,8.210904326,Volcaniclastic,2253.6999511681
c114_B_22,3,2133256,477805,9405,c114_B,8.21069636799999,Volcaniclastic,2260.4999999962
c114_B_23,3,2133256,477805,9770,c114_B,8.210778576999999,Volcaniclastic,2257.8000488244
c114_B_24,3,2133256,477805,10135,c114_B,8.210651608999999,Volcaniclastic,2261.9999999962
c114_B_25,3,2133256,477805,10501,c114_B,8.21068358,Volcaniclastic,2260.9999999962
c114_B_26,3,2133256,477805,10866,c114_B,8.210720422,Volcaniclastic,2259.6999511681
c133_B_1,3,2130008,483306,639,c133_B,8.08313878399999,Volcaniclastic,2228.19995117
