MUN,1990,2000,2010,Leak %
9002,1.712E-03,1.591E-03,1.496E-03,0.348564733
9003,2.232E-03,2.234E-03,2.164E-03,0.34118133
9004,1.575E-03,1.991E-03,2.454E-03,0.580444444
9005,5.871E-03,5.721E-03,5.490E-03,0.417375816
9006,1.642E-03,1.506E-03,1.407E-03,0.360804672
9007,4.424E-03,5.264E-03,5.390E-03,0.341888348
9008,7.924E-04,9.022E-04,9.714E-04,0.269662921
9009,3.379E-04,5.136E-04,6.931E-04,0.461538462
9010,4.040E-03,4.318E-03,4.570E-03,0.452597593
9011,5.372E-04,7.869E-04,9.363E-04,0.320053121
9012,1.455E-03,1.746E-03,1.953E-03,0.322079314
9013,8.083E-04,1.102E-03,1.237E-03,0.336457357
9014,2.300E-03,2.033E-03,2.173E-03,0.379708689
9015,3.101E-03,2.686E-03,2.767E-03,0.32988022
9016,2.258E-03,1.957E-03,2.070E-03,0.352065322
9017,1.777E-03,1.583E-03,1.474E-03,0.324353448
15002,1.469E-04,2.079E-04,4.634E-04,0.35
15011,6.077E-05,9.863E-05,1.611E-04,0.35
15013,1.511E-03,2.243E-03,2.349E-03,0.35
15022,2.738E-05,3.463E-05,4.121E-05,0.35
15025,9.602E-04,7.397E-04,1.052E-03,0.35
15028,0.000E+00,0.000E+00,0.000E+00,0
15029,1.945E-04,2.633E-04,5.941E-04,0.35
15030,4.812E-05,6.099E-05,7.744E-05,0.35
15031,8.223E-04,1.666E-03,2.085E-03,0.35
15033,4.089E-03,5.448E-03,5.560E-03,0.35
15037,4.348E-04,6.376E-04,7.980E-04,0.35
15039,4.661E-04,1.010E-03,1.586E-03,0.35
15046,3.058E-05,5.120E-05,6.098E-05,0.35
15050,0.000E+00,0.000E+00,0.000E+00,0
15057,3.507E-03,3.829E-03,3.718E-03,0.35
15058,3.241E-03,3.163E-03,2.865E-03,0.35
15069,8.101E-06,1.177E-05,1.407E-05,0.35
15070,4.090E-04,6.455E-04,7.703E-04,0.35
15083,1.821E-05,3.000E-05,3.803E-05,0.35
15089,2.106E-05,2.880E-05,3.590E-05,0.35
15093,5.471E-05,7.714E-05,9.483E-05,0.35
15099,4.764E-04,6.927E-04,7.980E-04,0.35
15100,4.214E-05,6.398E-05,1.195E-04,0.35
15103,1.119E-04,1.443E-04,1.566E-04,0.35
15104,2.822E-03,2.897E-03,2.667E-03,0.35
15122,0.000E+00,6.932E-04,7.664E-04,0.35
