id,ROW,COLUMN,ROW000,COLUMN000,GRID_ID,GRID_AREA,URB-PER,NAT-PER,WAT-PER
1102,7,95,007,095,007095,252815,0.495758,0.504242,0.000000
1269,8,94,008,094,008094,252816,1.000000,0.000000,0.000000
1270,8,95,008,095,008095,252816,0.664883,0.335117,0.000000
1436,9,93,009,093,009093,252816,0.995554,0.004446,0.000000
1437,9,94,009,094,009094,252816,1.000000,0.000000,0.000000
1438,9,95,009,095,009095,252816,0.480211,0.519789,0.000000
1604,10,93,010,093,010093,252816,1.000000,0.000000,0.000000
1605,10,94,010,094,010094,252816,0.790638,0.209362,0.000000
1606,10,95,010,095,010095,252816,0.114799,0.885205,0.000000
1609,10,98,010,098,010098,252816,0.026909,0.973091,0.000000
1610,10,99,010,099,010099,252816,0.046473,0.953527,0.000000
1611,10,100,010,100,010100,252816,0.000807,0.999193,0.000000
1771,11,92,011,092,011092,252817,0.993244,0.006756,0.000000
1772,11,93,011,093,011093,252817,0.693984,0.306012,0.000000
1773,11,94,011,094,011094,252817,0.027344,0.972652,0.000000
1776,11,97,011,097,011097,252817,0.179964,0.820036,0.000000
1777,11,98,011,098,011098,252817,0.428049,0.571951,0.000000
1778,11,99,011,099,011099,252817,0.924685,0.075311,0.000000
1779,11,100,011,100,011100,252817,0.131265,0.868731,0.000000
1938,12,91,012,091,012091,252817,0.965528,0.034468,0.000000
1939,12,92,012,092,012092,252817,0.986821,0.013179,0.000000
1940,12,93,012,093,012093,252817,0.957250,0.042750,0.000000
1941,12,94,012,094,012094,252817,0.941701,0.058299,0.000000
1942,12,95,012,095,012095,252817,0.827982,0.172018,0.000000
1943,12,96,012,096,012096,252817,0.657369,0.342635,0.000000
1944,12,97,012,097,012097,252817,0.915769,0.084231,0.000000
1945,12,98,012,098,012098,252817,1.000000,0.000000,0.000000
1946,12,99,012,099,012099,252817,0.814435,0.185565,0.000000
1947,12,100,012,100,012100,252817,0.330496,0.669504,0.000000
1948,12,101,012,101,012101,252817,0.019065,0.980935,0.000000
1950,12,103,012,103,012103,252817,0.278577,0.721419,0.000000
1951,12,104,012,104,012104,252817,0.432467,0.567533,0.000000
1952,12,105,012,105,012105,252817,0.145655,0.854341,0.000000
1953,12,106,012,106,012106,252817,0.106737,0.893259,0.000000
1954,12,107,012,107,012107,252817,0.040899,0.959097,0.000000
1955,12,108,012,108,012108,252817,0.569099,0.430901,0.000000
1956,12,109,012,109,012109,252817,0.323871,0.676125,0.000000
1957,12,110,012,110,012110,252816,0.000012,0.999988,0.000000
1959,12,112,012,112,012112,252816,0.026442,0.973558,0.000000
1960,12,113,012,113,012113,252816,0.157621,0.842379,0.000000
2105,13,90,013,090,013090,252817,0.985630,0.014366,0.000000
2106,13,91,013,091,013091,252817,0.972628,0.027372,0.000000
2107,13,92,013,092,013092,252817,1.000000,0.000000,0.000000
2108,13,93,013,093,013093,252817,0.980887,0.019113,0.000000
2109,13,94,013,094,013094,252817,1.000000,0.000000,0.000000
2110,13,95,013,095,013095,252817,0.992821,0.007179,0.000000
2111,13,96,013,096,013096,252817,0.986777,0.013227,0.000000
2112,13,97,013,097,013097,252817,0.980223,0.019773,0.000000
2113,13,98,013,098,013098,252817,0.966944,0.033056,0.000000
2114,13,99,013,099,013099,252817,0.928209,0.071795,0.000000
2115,13,100,013,100,013100,252817,0.371478,0.628526,0.000000
2116,13,101,013,101,013101,252817,0.363279,0.636721,0.000000
2117,13,102,013,102,013102,252817,0.615706,0.384298,0.000000
2118,13,103,013,103,013103,252817,0.817912,0.182088,0.000000
2119,13,104,013,104,013104,252817,0.924024,0.075976,0.000000
2120,13,105,013,105,013105,252817,0.775929,0.224075,0.000000
2121,13,106,013,106,013106,252817,0.315252,0.684748,0.000000
2122,13,107,013,107,013107,252817,0.076755,0.923249,0.000000
2123,13,108,013,108,013108,252817,0.699083,0.300913,0.000000
2124,13,109,013,109,013109,252817,1.000000,0.000000,0.000000
2125,13,110,013,110,013110,252817,0.835767,0.164233,0.000000
2126,13,111,013,111,013111,252817,0.603140,0.396860,0.000000
2127,13,112,013,112,013112,252817,0.828655,0.171345,0.000000
2128,13,113,013,113,013113,252817,0.785655,0.214341,0.000000
2271,14,88,014,088,014088,252818,0.993921,0.006079,0.000000
2272,14,89,014,089,014089,252818,0.976050,0.023950,0.000000
2273,14,90,014,090,014090,252818,0.965885,0.034115,0.000000
2274,14,91,014,091,014091,252818,0.990369,0.009631,0.000000
2275,14,92,014,092,014092,252818,1.000000,0.000000,0.000000
2276,14,93,014,093,014093,252818,0.999988,0.000012,0.000000
2277,14,94,014,094,014094,252818,1.000000,0.000000,0.000000
2278,14,95,014,095,014095,252818,1.000000,0.000000,0.000000
2279,14,96,014,096,014096,252818,0.998390,0.001606,0.000000
2280,14,97,014,097,014097,252818,0.293120,0.706884,0.000000
2281,14,98,014,098,014098,252818,0.087616,0.912384,0.000000
2282,14,99,014,099,014099,252818,0.140579,0.859421,0.000000
2283,14,100,014,100,014100,252818,0.001626,0.998374,0.000000
2291,14,108,014,108,014108,252817,0.445132,0.554868,0.000000
2292,14,109,014,109,014109,252817,1.000000,0.000000,0.000000
2293,14,110,014,110,014110,252817,0.999264,0.000736,0.000000
2294,14,111,014,111,014111,252817,1.000000,0.000000,0.000000
2295,14,112,014,112,014112,252817,0.728254,0.271746,0.000000
2296,14,113,014,113,014113,252817,0.044431,0.955569,0.000000
2437,15,86,015,086,015086,252818,1.000000,0.000000,0.000000
2438,15,87,015,087,015087,252818,0.954572,0.045424,0.000000
2439,15,88,015,088,015088,252818,0.987805,0.012195,0.000000
2440,15,89,015,089,015089,252818,1.000000,0.000000,0.000000
2441,15,90,015,090,015090,252818,1.000000,0.000000,0.000000
2442,15,91,015,091,015091,252818,1.000000,0.000000,0.000000
2443,15,92,015,092,015092,252818,1.000000,0.000000,0.000000
2444,15,93,015,093,015093,252818,1.000000,0.000000,0.000000
2445,15,94,015,094,015094,252818,1.000000,0.000000,0.000000
2446,15,95,015,095,015095,252818,0.997575,0.002425,0.000000
2447,15,96,015,096,015096,252818,0.665123,0.334877,0.000000
2459,15,108,015,108,015108,252818,0.377493,0.622507,0.000000
2460,15,109,015,109,015109,252818,0.679121,0.320879,0.000000
2461,15,110,015,110,015110,252817,0.995918,0.004082,0.000000
2462,15,111,015,111,015111,252817,1.000000,0.000000,0.000000
2463,15,112,015,112,015112,252817,0.281971,0.718029,0.000000
2601,16,82,016,082,016082,252818,0.997461,0.002535,0.000000
2603,16,84,016,084,016084,252818,1.000000,0.000000,0.000000
2604,16,85,016,085,016085,252818,1.000000,0.000000,0.000000
2605,16,86,016,086,016086,252818,1.000000,0.000000,0.000000
2606,16,87,016,087,016087,252818,0.920658,0.079338,0.000000
2607,16,88,016,088,016088,252818,1.000000,0.000000,0.000000
2608,16,89,016,089,016089,252818,1.000000,0.000000,0.000000
