id,row,column,ROW_1,COLUMN_1,id_2,AREA,U-PER,N-PER,WAT-PER,URB-NA
1,1,1,1,1,1,2500,0,1,0,0
2,1,2,1,2,2,2500,0,1,0,0
3,1,3,1,3,3,2500,0,1,0,0
4,1,4,1,4,4,2500,0,1,0,0
5,1,5,1,5,5,2500,0,1,0,0
6,1,6,1,6,6,2500,0,1,0,0
7,1,7,1,7,7,2500,0,1,0,0
8,1,8,1,8,8,2500,0,1,0,0
9,1,9,1,9,9,2500,0,1,0,0
10,1,10,1,10,10,2500,0,1,0,0
11,2,1,2,1,11,2500,0,1,0,0
12,2,2,2,2,12,2500,0,1,0,0
13,2,3,2,3,13,2500,0,1,0,0
14,2,4,2,4,14,2500,0,1,0,0
15,2,5,2,5,15,2500,0,1,0,0
16,2,6,2,6,16,2500,0,1,0,0
17,2,7,2,7,17,2500,0,1,0,0
18,2,8,2,8,18,2500,0,1,0,0
19,2,9,2,9,19,2500,0,1,0,0
20,2,10,2,10,20,2500,0,1,0,0
21,3,1,3,1,21,2500,0,1,0,0
22,3,2,3,2,22,2500,0,1,0,0
23,3,3,3,3,23,2500,0,1,0,0
24,3,4,3,4,24,2500,0,1,0,0
25,3,5,3,5,25,2500,0,1,0,0
26,3,6,3,6,26,2500,0,1,0,0
27,3,7,3,7,27,2500,0.1,0.9,0,0.1
28,3,8,3,8,28,2500,0.1,0.9,0,0.1
29,3,9,3,9,29,2500,0.3,0.7,0,0.3
30,3,10,3,10,30,2500,0.1,0.9,0,0.1
31,4,1,4,1,31,2500,0,1,0,0
32,4,2,4,2,32,2500,0,1,0,0
33,4,3,4,3,33,2500,0,1,0,0
34,4,4,4,4,34,2500,0,1,0,0
35,4,5,4,5,35,2500,0.6,0.4,0,0.6
36,4,6,4,6,36,2500,0.7,0.3,0,0.7
37,4,7,4,7,37,2500,0.8,0.2,0,0.8
38,4,8,4,8,38,2500,0.9,0.1,0,0.9
39,4,9,4,9,39,2500,0.9,0.1,0,0.9
40,4,10,4,10,40,2500,0,1,0,0
41,5,1,5,1,41,2500,0,1,0,0
42,5,2,5,2,42,2500,0,1,0,0
43,5,3,5,3,43,2500,0,1,0,0
44,5,4,5,4,44,2500,0.1,0.9,0,0.1
45,5,5,5,5,45,2500,0.9,0.1,0,0.9
46,5,6,5,6,46,2500,1,0,0,1
47,5,7,5,7,47,2500,1,0,0,1
48,5,8,5,8,48,2500,1,0,0,1
49,5,9,5,9,49,2500,0.7,0.3,0,0.7
50,5,10,5,10,50,2500,0,0.5,0.5,0
51,6,1,6,1,51,2500,0,1,0,0
52,6,2,6,2,52,2500,0,1,0,0
53,6,3,6,3,53,2500,0,1,0,0
54,6,4,6,4,54,2500,0.2,0.8,0,0.2
55,6,5,6,5,55,2500,0.9,0.1,0,0.9
56,6,6,6,6,56,2500,1,0,0,1
57,6,7,6,7,57,2500,1,0,0,1
58,6,8,6,8,58,2500,1,0,0,1
59,6,9,6,9,59,2500,0.6,0.2,0.2,0.6
60,6,10,6,10,60,2500,0,0,1,0
61,7,1,7,1,61,2500,0,1,0,0
62,7,2,7,2,62,2500,0,1,0,0
63,7,3,7,3,63,2500,0,1,0,0
64,7,4,7,4,64,2500,0.3,0.7,0,0.3
65,7,5,7,5,65,2500,0.8,0.2,0,0.8
66,7,6,7,6,66,2500,1,0,0,1
67,7,7,7,7,67,2500,1,0,0,1
68,7,8,7,8,68,2500,1,0,0,1
69,7,9,7,9,69,2500,0.6,0.2,0.2,0.6
70,7,10,7,10,70,2500,0,0,1,0
71,8,1,8,1,71,2500,0,1,0,0
72,8,2,8,2,72,2500,0,1,0,0
73,8,3,8,3,73,2500,0,1,0,0
74,8,4,8,4,74,2500,0,1,0,0
75,8,5,8,5,75,2500,0.6,0.4,0,0.6
76,8,6,8,6,76,2500,0.5,0.5,0,0.5
77,8,7,8,7,77,2500,0.3,0.7,0,0.3
78,8,8,8,8,78,2500,0.3,0.7,0,0.3
79,8,9,8,9,79,2500,0.5,0.5,0,0.5
80,8,10,8,10,80,2500,0,0.5,0.5,0
81,9,1,9,1,81,2500,0,1,0,0
82,9,2,9,2,82,2500,0,1,0,0
83,9,3,9,3,83,2500,0,1,0,0
84,9,4,9,4,84,2500,0,1,0,0
85,9,5,9,5,85,2500,0.2,0.8,0,0.2
86,9,6,9,6,86,2500,0,1,0,0
87,9,7,9,7,87,2500,0,1,0,0
88,9,8,9,8,88,2500,0,1,0,0
89,9,9,9,9,89,2500,0.2,0.8,0,0.2
90,9,10,9,10,90,2500,0,1,0,0
91,10,1,10,1,91,2500,0,1,0,0
92,10,2,10,2,92,2500,0,1,0,0
93,10,3,10,3,93,2500,0,1,0,0
94,10,4,10,4,94,2500,0,1,0,0
95,10,5,10,5,95,2500,0,1,0,0
96,10,6,10,6,96,2500,0,1,0,0
97,10,7,10,7,97,2500,0,1,0,0
98,10,8,10,8,98,2500,0,1,0,0
99,10,9,10,9,99,2500,0,1,0,0
100,10,10,10,10,100,2500,0,1,0,0
