DATASET,C,R,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,ODE,NOM_MUN,CODE
SACM,9,3,-0.000274537,1984,1985,224,1,2,0,31,-23.72,9,15,0,9015
SACM,3,10,-0.000544329,1984,1985,229,1,2,0,31,-47.03,15,58,0,15058
SACM,3,9,-0.000549769,1984,1985,230,1,2,0,31,-47.5,9,15,0,9015
SACM,7,4,-0.000372801,1984,1985,231,1,2,0,31,-32.21,15,58,0,15058
SACM,3,3,-6.89E-05,1984,1985,232,1,2,0,31,-5.95,15,58,0,15058
SACM,7,7,-0.000188773,1984,1985,233,1,2,0,31,-16.31,9,2,0,9002
SACM,8,7,-0.000606019,1984,1985,234,1,2,0,31,-52.36,15,33,0,15033
SACM,4,3,-0.000776042,1984,1985,235,1,2,0,31,-67.05,15,33,0,15033
SACM,4,4,-0.000449306,1984,1985,236,1,2,0,31,-38.82,15,58,0,15058
SACM,4,5,-0.000494213,1984,1985,241,1,2,0,31,-42.7,15,33,0,15033
SACM,5,3,-0.000102199,1984,1985,242,1,2,0,31,-8.83,15,33,0,15033
SACM,5,4,-0.001233912,1984,1985,243,1,2,0,31,-106.61,9,2,0,9002
SACM,5,5,-0.000785301,1984,1985,245,1,2,0,31,-67.85,15,33,0,15033
SACM,4,10,-0.000979745,1984,1985,246,1,2,0,31,-84.65,9,2,0,9002
SACM,8,3,-0.000425231,1984,1985,248,1,2,0,31,-36.74,9,2,0,9002
SACM,3,8,-6.98E-05,1984,1985,251,1,2,0,31,-6.03,9,2,0,9002
SACM,7,3,-0.000506944,1984,1985,253,1,2,0,31,-43.8,9,2,0,9002
SACM,8,4,-0.000109722,1984,1985,254,1,2,0,31,-9.48,9,2,0,9002
SACM,3,4,-0.000228356,1984,1985,259,1,2,0,31,-19.73,9,2,0,9002
SACM,7,8,-0.000112616,1984,1985,263,1,2,0,31,-9.73,9,15,0,9015
SACM,7,9,-0.000169907,1984,1985,266,1,2,0,31,-14.68,15,58,0,15058
SACM,9,4,-0.000648727,1984,1985,267,1,2,0,31,-56.05,9,15,0,9015
SACM,8,8,-0.000589468,1984,1985,268,1,2,0,31,-50.93,15,58,0,15058
SACM,8,9,-0.000451042,1984,1985,270,1,2,0,31,-38.97,9,15,0,9015
SACM,3,5,-0.0002625,1984,1985,275,1,2,0,31,-22.68,15,58,0,15058
