DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE,UrbanClay
REPDA-DF,481745.6,2151624,-0.00473,2005,2014,0,253,361,7665,10950,-408.419,9,2,Azcapotzalco,9002,1
REPDA-DF,483559.8,2152418,-0.00511,2005,2014,1,253,361,7665,10950,-441.863,9,2,Azcapotzalco,9002,1
REPDA-DF,484211.3,2150702,-0.00511,2005,2014,2,253,361,7665,10950,-441.863,9,15,Cuauht??moc,9015,1
REPDA-DF,483620.9,2152307,-0.00511,2005,2014,3,253,361,7665,10950,-441.863,9,2,Azcapotzalco,9002,1
REPDA-DF,481570.9,2151870,-0.00986,2005,2014,4,253,361,7665,10950,-852.164,9,2,Azcapotzalco,9002,1
REPDA-DF,479502.7,2153501,-0.00123,2005,2014,5,253,361,7665,10950,-105.942,9,2,Azcapotzalco,9002,1
REPDA-DF,479502.7,2153501,-0.00123,2005,2014,6,253,361,7665,10950,-105.942,9,2,Azcapotzalco,9002,1
REPDA-DF,482915.5,2155526,-0.00189,2005,2014,7,253,361,7665,10950,-163.616,9,2,Azcapotzalco,9002,1
REPDA-DF,483380.9,2154481,-0.00350,2005,2014,8,253,361,7665,10950,-302.734,9,2,Azcapotzalco,9002,1
REPDA-DF,482187.7,2156541,-0.01807,2005,2014,9,253,361,7665,10950,-1561.644,9,2,Azcapotzalco,9002,1
REPDA-DF,482158.6,2156541,-0.00637,2005,2014,10,253,361,7665,10950,-550.356,9,2,Azcapotzalco,9002,1
REPDA-DF,483353.5,2156386,-0.00159,2005,2014,11,253,361,7665,10950,-136.986,9,2,Azcapotzalco,9002,1
REPDA-DF,480611.3,2154237,-0.01110,2005,2014,12,253,361,7665,10950,-958.904,9,2,Azcapotzalco,9002,1
REPDA-DF,479590.6,2153900,-0.00323,2005,2014,13,253,361,7665,10950,-278.904,9,2,Azcapotzalco,9002,1
REPDA-DF,479561.5,2153931,-0.00363,2005,2014,14,253,361,7665,10950,-314.014,9,2,Azcapotzalco,9002,1
REPDA-DF,483496.3,2153128,-0.00003,2005,2014,15,253,361,7665,10950,-3.014,9,2,Azcapotzalco,9002,1
REPDA-DF,484807.5,2152328,-0.00011,2005,2014,16,253,361,7665,10950,-9.589,9,2,Azcapotzalco,9002,1
REPDA-DF,481750.6,2156634,-0.02762,2005,2014,17,253,361,7665,10950,-2386.060,9,2,Azcapotzalco,9002,1
REPDA-DF,482537.6,2156664,-0.00078,2005,2014,18,253,361,7665,10950,-66.986,9,2,Azcapotzalco,9002,1
REPDA-DF,465221.8,2155613,-0.00146,2005,2014,19,253,361,7665,10950,-126.077,15,57,Naucalpan de Ju?írez,15057,0
REPDA-DF,480085.4,2153224,-0.00460,2005,2014,20,253,361,7665,10950,-397.260,9,2,Azcapotzalco,9002,1
REPDA-DF,482799.8,2156448,-0.00313,2005,2014,21,253,361,7665,10950,-270.578,9,2,Azcapotzalco,9002,1
REPDA-DF,481629.2,2151931,-0.00115,2005,2014,22,253,361,7665,10950,-99.419,9,2,Azcapotzalco,9002,1
REPDA-DF,479328.1,2153778,-0.00120,2005,2014,23,253,361,7665,10950,-104.110,9,2,Azcapotzalco,9002,1
REPDA-DF,481681.6,2151814,-0.00285,2005,2014,24,253,361,7665,10950,-246.575,9,2,Azcapotzalco,9002,1
REPDA-DF,483322.1,2153989,-0.00079,2005,2014,25,253,361,7665,10950,-68.493,9,2,Azcapotzalco,9002,1
REPDA-DF,483264.0,2154112,-0.00672,2005,2014,26,253,361,7665,10950,-580.822,9,2,Azcapotzalco,9002,1
REPDA-DF,483056.1,2156267,-0.00317,2005,2014,27,253,361,7665,10950,-273.973,9,2,Azcapotzalco,9002,1
