X,Y,ELEV,TYPE,
499751,2150661,2228,1,
499050,2150262,2228,1,
498256,2149796,2228,1,
497824,2149545,2228,1,
497273,2149219,2228,1,
496865,2149041,2228,1,
497717,2152302,2228,1,
497283,2151596,2228,1,
496611,2151043,2228,1,
495909,2150506,2228,1,
495458,2150172,2228,1,
495387,2149643,2228,1,
495803,2149325,2228,1,
496298,2149174,2228,1,
496792,2149047,2228,1,
496865,2149041,2228,1,
497832,2148494,2239,1,
498271,2148255,2239,1,
498871,2147929,2238,1,
499365,2147650,2240,1,
499842,2148237,2239,1,
500070,2148813,2238,1,
500059,2149490,2236,1,
500050,2149918,2238,1,
498466,2154508,2228,1,
498521,2153965,2228,1,
498839,2153073,2228,1,
499035,2152559,2228,1,
499263,2151963,2228,1,
499471,2151422,2228,1,
499751,2150661,2228,1,
500038,2149950,2238,1,
503727,2129618,2238,1,
503643,2128984,2238,1,
503574,2128484,2237,1,
503437,2127493,2237,1,
503367,2126989,2237,1,
503302,2126522,2237,1,
513692,2132030,2241,1,
514106,2132469,2246,1,
514386,2132913,2252,1,
514742,2133264,2258,1,
515083,2133633,2269,1,
515508,2133921,2279,1,
515639,2133964,2280,1,
513557,2135828,2252,1,
514173,2135843,2255,1,
514716,2135838,2260,1,
515210,2135959,2262,1,
515721,2135978,2267,1,
516247,2136050,2279,1,
516315,2136062,2279,1,
505033,2124801,2227,1,
505880,2124736,2209,1,
506115,2124958,2206,1,
502972,2131455,2237,1,
503963,2131324,2237,1,
503048,2131943,2236,1,
503543,2131872,2243,1,
498217,2152507,2227,1,
498786,2152729,2227,1,
498948,2152787,2228,1,
498593,2162132,2228,1,
498575,2161133,2228,1,
498558,2160348,2228,1,
498547,2159824,2228,1,
498538,2159260,2228,1,
498531,2158760,2228,1,
498522,2158136,2228,1,
498497,2156223,2228,1,
498491,2155723,2228,1,
498466,2154508,2228,1,
514254,2138269,2271,1,
514117,2137752,2263,1,
513709,2136251,2256,1,
513507,2135619,2251,1,
513377,2135105,2248,1,
513210,2134616,2247,1,
513005,2134130,2245,1,
512786,2133581,2241,1,
512677,2133062,2240,1,
512218,2132827,2237,1,
511683,2132884,2236,1,
511183,2132945,2240,1,
501044,2147284,2240,1,
500805,2147911,2240,1,
500529,2148649,2240,1,
500210,2149479,2238,1,
500038,2149950,2238,1,
518360,2126413,2275,1,
518242,2126920,2272,1,
517900,2127285,2268,1,
517441,2127529,2265,1,
516943,2127634,2260,1,
516444,2127750,2257,1,
516226,2128215,2252,1,
516411,2128694,2251,1,
516172,2129223,2250,1,
515815,2129581,2250,1,
515452,2130034,2249,1,
515070,2130408,2247,1,
514702,2130767,2244,1,
514354,2131141,2242,1,
514007,2131524,2242,1,
513752,2131980,2241,1,
513352,2132283,2240,1,
512985,2132654,2240,1,
512664,2132734,2240,1,
498468,2154847,2228,1,
497822,2154630,2231,1,
497307,2154583,2232,1,
513486,2122299,2269,1,
512958,2124457,2262,1,
512615,2125037,2260,1,
512361,2125479,2258,1,
512016,2125974,2250,1,
511681,2126473,2244,1,
511351,2126920,2241,1,
510864,2127266,2240,1,
510225,2127470,2240,1,
509679,2127643,2239,1,
508993,2127857,2239,1,
508357,2128063,2238,1,
507820,2127772,2237,1,
507414,2127364,2237,1,
506877,2126819,2237,1,
506501,2126455,2237,1,
506066,2126018,2237,1,
505646,2125733,2237,1,
505089,2125921,2237,1,
504613,2126081,2237,1,
503980,2126294,2237,1,
503376,2126497,2237,1,
503302,2126522,2237,1,
516725,2130195,2255,1,
516671,2130098,2254,1,
517619,2130139,2258,1,
517097,2130054,2255,1,
516570,2130115,2254,1,
515953,2130254,2252,1,
515426,2130232,2249,1,
515349,2130174,2249,1,
512447,2145362,2269,1,
512166,2145796,2261,1,
511666,2145863,2260,1,
511164,2145884,2258,1,
510656,2146007,2256,1,
510127,2146115,2256,1,
508947,2147591,2240,1,
508425,2147645,2239,1,
507926,2147857,2239,1,
507925,2148378,2238,1,
507887,2148888,2237,1,
507740,2149899,2236,1,
507132,2150821,2239,1,
506674,2151506,2239,1,
506333,2152023,2238,1,
506250,2152139,2238,1,
510316,2147602,2252,1,
510810,2147889,2254,1,
513133,2148116,2281,1,
513638,2148100,2298,1,
513885,2147948,2312,1,
505903,2154072,2237,1,
506553,2154303,2237,1,
507392,2154226,2238,1,
508121,2154165,2239,1,
508923,2154082,2239,1,
509422,2154028,2240,1,
509952,2154064,2241,1,
510417,2154265,2244,1,
510933,2154243,2246,1,
511413,2154040,2248,1,
511912,2153919,2251,1,
512413,2153852,2257,1,
512895,2153648,2260,1,
513414,2153580,2274,1,
513659,2153486,2279,1,
505863,2154501,2238,1,
506312,2154758,2239,1,
506955,2154770,2239,1,
507539,2154738,2239,1,
508039,2154710,2239,1,
508591,2154677,2239,1,
509377,2154676,2240,1,
509926,2154715,2240,1,
510535,2154674,2242,1,
511032,2154594,2245,1,
511492,2154390,2248,1,
511994,2154596,2250,1,
512436,2154870,2253,1,
512926,2154727,2257,1,
514177,2153925,2286,1,
514683,2153983,2298,1,
515158,2153762,2315,1,
515637,2153560,2326,1,
516128,2153574,2337,1,
504881,2157449,2235,1,
505387,2157693,2235,1,
506010,2157849,2235,1,
506955,2158097,2235,1,
507354,2158741,2236,1,
507558,2159466,2238,1,
508119,2159556,2239,1,
508759,2159532,2240,1,
509802,2159726,2241,1,
510304,2159809,2244,1,
510789,2159942,2246,1,
511366,2159743,2246,1,
511840,2159570,2246,1,
512173,2159186,2249,1,
512571,2158869,2251,1,
513040,2159101,2253,1,
513467,2159418,2257,1,
513941,2159600,2258,1,
514457,2159599,2260,1,
514888,2159171,2264,1,
515483,2158766,2271,1,
515952,2158592,2275,1,
516320,2158248,2279,1,
516692,2157874,2287,1,
517080,2157545,2294,1,
517591,2157624,2330,1,
518000,2157309,2342,1,
518469,2157128,2355,1,
518608,2157108,2358,1,
506472,2157968,2235,1,
506653,2158535,2238,1,
506814,2159036,2239,1,
507069,2159582,2240,1,
507324,2160045,2240,1,
507793,2160287,2240,1,
508352,2160456,2240,1,
508834,2160605,2240,1,
509163,2160989,2242,1,
509788,2161179,2245,1,
510825,2161293,2247,1,
511319,2161184,2247,1,
511797,2160850,2248,1,
512301,2160854,2249,1,
512839,2160851,2250,1,
513313,2161066,2252,1,
513815,2161084,2254,1,
514369,2161104,2256,1,
514872,2160916,2258,1,
515393,2160877,2260,1,
515735,2161245,2260,1,
516225,2161050,2263,1,
516660,2160781,2268,1,
517032,2160630,2272,1,
506010,2157849,2235,1,
506219,2158321,2240,1,
506422,2158878,2240,1,
506706,2159387,2239,1,
506929,2159871,2239,1,
506730,2160498,2238,1,
506742,2161054,2236,1,
506789,2161619,2237,1,
506844,2162230,2238,1,
506852,2162533,2239,1,
503358,2158470,2236,1,
503950,2158234,2234,1,
504340,2158552,2234,1,
504635,2159007,2234,1,
505011,2159474,2235,1,
505322,2159877,2237,1,
505400,2160471,2238,1,
505675,2160907,2238,1,
506186,2161612,2238,1,
506484,2162019,2238,1,
506796,2162458,2239,1,
507156,2162967,2239,1,
507429,2163411,2239,1,
507729,2163963,2241,1,
507985,2164393,2240,1,
508441,2164725,2240,1,
508868,2165033,2243,1,
509311,2165350,2247,1,
509686,2165734,2250,1,
510205,2165788,2250,1,
511234,2165703,2250,1,
511679,2165445,2250,1,
512138,2165136,2250,1,
512432,2164719,2250,1,
512725,2164294,2250,1,
513219,2164122,2250,1,
513559,2163748,2251,1,
514022,2163506,2252,1,
514626,2163459,2256,1,
515059,2163718,2258,1,
515471,2164026,2260,1,
515959,2164141,2261,1,
516030,2164122,2262,1,
500038,2149950,2238,1,
500771,2150230,2238,1,
501378,2150465,2238,1,
501846,2150647,2238,1,
502540,2150911,2238,1,
503181,2151158,2238,1,
503647,2151338,2238,1,
504371,2151618,2238,1,
504929,2151835,2237,1,
505299,2152226,2237,1,
505343,2152745,2237,1,
505139,2153298,2237,1,
505486,2153670,2237,1,
505890,2154000,2237,1,
505863,2154501,2238,1,
505671,2155107,2239,1,
505513,2155606,2239,1,
505296,2156243,2234,1,
505131,2156719,2235,1,
504943,2157269,2235,1,
504881,2157449,2235,1,
505152,2152008,2237,1,
506063,2152108,2238,1,
506676,2152208,2234,1,
507169,2152295,2233,1,
507907,2152409,2233,1,
507894,2153009,2233,1,
507701,2153519,2232,1,
507466,2154216,2238,1,
507465,2154220,2238,1,
515474,2157105,2280,1,
515003,2157283,2279,1,
514366,2157279,2264,1,
512959,2156756,2249,1,
512761,2156276,2247,1,
512254,2156195,2245,1,
511776,2156366,2244,1,
510229,2156794,2239,1,
509596,2156645,2238,1,
509040,2156610,2238,1,
508439,2156560,2236,1,
507669,2156724,2234,1,
507180,2156829,2234,1,
506353,2156731,2234,1,
505885,2156551,2234,1,
505366,2156349,2234,1,
505096,2155925,2234,1,
505045,2155427,2234,1,
504564,2155175,2234,1,
504041,2154994,2234,1,
503197,2154700,2230,1,
502694,2154580,2230,1,
502157,2154592,2228,1,
501559,2154608,2228,1,
500979,2154616,2228,1,
500412,2154623,2228,1,
499912,2154633,2228,1,
499412,2154644,2228,1,
498912,2154654,2228,1,
498466,2154508,2228,1,
508621,2170658,2250,1,
508573,2170116,2249,1,
508491,2169617,2249,1,
508434,2169109,2249,1,
508204,2168656,2250,1,
508033,2167986,2248,1,
507909,2167430,2245,1,
507710,2166591,2244,1,
507526,2165855,2242,1,
507057,2165355,2239,1,
506495,2164758,2238,1,
506095,2164340,2239,1,
505854,2163734,2240,1,
505647,2163151,2236,1,
505472,2162672,2239,1,
505095,2162337,2241,1,
504661,2161999,2241,1,
504353,2161363,2236,1,
503907,2160728,2241,1,
503583,2160348,2241,1,
503358,2160084,2240,1,
505577,2160761,2238,1,
505443,2161377,2245,1,
505580,2161858,2245,1,
505757,2162482,2241,1,
506253,2163030,2238,1,
506590,2163404,2239,1,
507018,2163691,2239,1,
508295,2171471,2252,1,
508078,2171009,2252,1,
508039,2170510,2252,1,
508128,2169924,2250,1,
508436,2169558,2249,1,
498688,2162098,2230,1,
499372,2162086,2234,1,
500005,2162072,2235,1,
500567,2162222,2236,1,
501033,2162475,2236,1,
501603,2161947,2237,1,
502028,2161517,2235,1,
502485,2161054,2238,1,
502887,2160626,2239,1,
503227,2160256,2239,1,
503356,2159769,2240,1,
502966,2159209,2240,1,
503290,2158767,2240,1,
503346,2158674,2239,1,
503401,2160134,2240,1,
503393,2159184,2239,1,
503346,2158674,2239,1,
503356,2158115,2235,1,
503339,2157509,2234,1,
503563,2156910,2236,1,
504382,2156674,2236,1,
504911,2156647,2236,1,
505125,2156737,2235,1,
503853,2154899,2233,1,
503561,2155686,2234,1,
503390,2156192,2234,1,
503711,2156740,2236,1,
506957,2151088,2239,1,
507530,2150994,2239,1,
508166,2150769,2239,1,
508660,2150591,2239,1,
509143,2150433,2240,1,
509445,2150018,2242,1,
509947,2150033,2245,1,
510451,2150031,2249,1,
510964,2149958,2255,1,
511467,2149904,2260,1,
511981,2149832,2264,1,
512474,2149956,2272,1,
512989,2150071,2278,1,
513210,2150144,2279,1,
507189,2150724,2235,1,
506639,2150691,2236,1,
505608,2150703,2240,1,
505099,2150667,2241,1,
503043,2150484,2241,1,
502562,2150264,2240,1,
501398,2148593,2240,1,
500917,2148303,2239,1,
500683,2148239,2240,1,
498351,2163708,2233,1,
498677,2163305,2232,1,
498701,2162748,2231,1,
498688,2162098,2230,1,
477198,2155561,2260,1,
477560,2156023,2260,1,
477556,2156624,2260,1,
495080,2149827,2228,1,
495132,2149863,2228,1,
499751,2150661,2228,1,
499050,2150262,2228,1,
498256,2149796,2228,1,
497824,2149545,2228,1,
497273,2149219,2228,1,
496865,2149041,2228,1,
497717,2152302,2228,1,
497283,2151596,2228,1,
496611,2151043,2228,1,
495909,2150506,2228,1,
495458,2150172,2228,1,
495387,2149643,2228,1,
495803,2149325,2228,1,
496298,2149174,2228,1,
496792,2149047,2228,1,
496865,2149041,2228,1,
497832,2148494,2239,1,
498271,2148255,2239,1,
498871,2147929,2238,1,
499365,2147650,2240,1,
499842,2148237,2239,1,
500070,2148813,2238,1,
500059,2149490,2236,1,
500050,2149918,2238,1,
498466,2154508,2228,1,
498521,2153965,2228,1,
498839,2153073,2228,1,
499035,2152559,2228,1,
499263,2151963,2228,1,
499471,2151422,2228,1,
499751,2150661,2228,1,
500038,2149950,2238,1,
503727,2129618,2238,1,
503643,2128984,2238,1,
503574,2128484,2237,1,
503437,2127493,2237,1,
503367,2126989,2237,1,
503302,2126522,2237,1,
513692,2132030,2241,1,
