ROW,COLUMN,ROW000,COLUMN000,GRID_ID,drainlen
74,47,074,047,074047,340
74,48,074,048,074048,639
74,49,074,049,074049,347
89,29,089,029,089029,325
89,30,089,030,089030,644
32,55,032,055,032055,409
32,56,032,056,032056,522
32,57,032,057,032057,547
32,58,032,058,032058,201
32,59,032,059,032059,616
32,60,032,060,032060,228
74,66,074,066,074066,112
89,40,089,040,089040,533
74,67,074,067,074067,410
104,62,104,062,104062,558
104,63,104,063,104063,350
32,77,032,077,032077,104
89,54,089,054,089054,361
32,78,032,078,032078,499
89,55,089,055,089055,467
60,25,060,025,060025,32
32,88,032,088,032088,500
60,26,060,026,060026,849
60,27,060,027,060027,175
60,28,060,028,060028,553
104,89,104,089,104089,590
89,69,089,069,089069,509
104,90,104,090,104090,726
32,94,032,094,032094,392
32,95,032,095,032095,500
32,96,032,096,032096,444
104,94,104,094,104094,533
74,100,074,100,074100,543
10,108,010,108,010108,505
32,100,032,100,032100,598
32,101,032,101,032101,61
46,41,046,041,046041,546
46,42,046,042,046042,284
32,104,032,104,032104,481
32,105,032,105,032105,335
32,106,032,106,032106,255
11,92,011,092,011092,254
32,115,032,115,032115,624
74,119,074,119,074119,552
32,116,032,116,032116,132
32,117,032,117,032117,626
32,118,032,118,032118,156
104,117,104,117,104117,578
32,120,032,120,032120,622
104,118,104,118,104118,516
32,121,032,121,032121,69
104,119,104,119,104119,303
89,98,089,098,089098,505
11,107,011,107,011107,175
104,122,104,122,104122,39
11,108,011,108,011108,363
60,70,060,070,060070,505
32,132,032,132,032132,448
46,70,046,070,046070,532
32,133,032,133,032133,171
104,136,104,136,104136,234
104,137,104,137,104137,510
89,119,089,119,089119,24
89,120,089,120,089120,672
12,92,012,092,012092,262
12,93,012,093,012093,566
12,94,012,094,012094,507
89,122,089,122,089122,431
12,95,012,095,012095,508
89,123,089,123,089123,528
12,96,012,096,012096,15
89,124,089,124,089124,517
104,146,104,146,104146,81
89,125,089,125,089125,641
104,147,104,147,104147,656
89,126,089,126,089126,77
46,89,046,089,046089,537
60,94,060,094,060094,564
12,107,012,107,012107,546
46,101,046,101,046101,669
33,27,033,027,033027,815
46,102,046,102,046102,507
46,103,046,103,046103,425
33,31,033,031,033031,398
33,32,033,032,033032,368
60,108,060,108,060108,445
60,109,060,109,060109,516
60,110,060,110,060110,523
33,36,033,036,033036,425
60,111,060,111,060111,182
33,37,033,037,033037,295
13,96,013,096,013096,496
75,46,075,046,075046,216
75,47,075,047,075047,380
13,97,013,097,013097,508
105,60,105,060,105060,605
13,98,013,098,013098,507
105,61,105,061,105061,567
13,99,013,099,013099,510
90,28,090,028,090028,50
105,62,105,062,105062,156
13,100,013,100,013100,509
90,29,090,029,090029,559
13,101,013,101,013101,168
33,58,033,058,033058,586
33,59,033,059,033059,435
13,106,013,106,013106,514
13,107,013,107,013107,542
33,60,033,060,033060,454
33,61,033,061,033061,193
90,40,090,040,090040,561
33,66,033,066,033066,237
33,67,033,067,033067,166
75,67,075,067,075067,642
33,77,033,077,033077,603
105,87,105,087,105087,508
90,54,090,054,090054,623
105,88,105,088,105088,603
105,89,105,089,105089,231
105,94,105,094,105094,619
33,88,033,088,033088,500
61,22,061,022,061022,98
61,23,061,023,061023,693
61,24,061,024,061024,614
61,25,061,025,061025,1040
90,69,090,069,090069,326
61,26,061,026,061026,103
90,70,090,070,090070,690
90,71,090,071,090071,604
61,28,061,028,061028,548
90,72,090,072,090072,367
14,101,014,101,014101,342
33,96,033,096,033096,500
33,97,033,097,033097,153
14,102,014,102,014102,507
33,98,033,098,033098,121
14,103,014,103,014103,511
33,99,033,099,033099,440
14,104,014,104,014104,504
33,100,033,100,033100,270
14,105,014,105,014105,524
14,106,014,106,014106,12
75,100,075,100,075100,272
75,101,075,101,075101,301
33,104,033,104,033104,524
33,105,033,105,033105,521
105,117,105,117,105117,505
105,119,105,119,105119,211
105,120,105,120,105120,527
105,121,105,121,105121,601
