ROW,COLUMN,ROW000,COLUMN000,GRID_ID,drainlen
74,47,074,047,074047,340
74,48,074,048,074048,639
74,49,074,049,074049,347
89,29,089,029,089029,325
89,30,089,030,089030,644
74,66,074,066,074066,112
89,40,089,040,089040,533
74,67,074,067,074067,410
104,62,104,062,104062,558
104,63,104,063,104063,350
32,77,032,077,032077,104
32,78,032,078,032078,499
89,54,089,054,089054,361
89,55,089,055,089055,467
60,25,060,025,060025,32
60,26,060,026,060026,849
60,27,060,027,060027,175
60,28,060,028,060028,553
104,89,104,089,104089,590
104,90,104,090,104090,726
104,94,104,094,104094,533
74,100,074,100,074100,543
10,108,010,108,010108,505
46,41,046,041,046041,546
46,42,046,042,046042,284
11,92,011,092,011092,254
32,115,032,115,032115,624
74,119,074,119,074119,552
32,116,032,116,032116,132
32,117,032,117,032117,626
32,118,032,118,032118,156
104,117,104,117,104117,578
32,120,032,120,032120,622
104,118,104,118,104118,516
32,121,032,121,032121,69
104,119,104,119,104119,303
11,107,011,107,011107,175
104,122,104,122,104122,39
11,108,011,108,011108,363
32,132,032,132,032132,448
32,133,032,133,032133,171
104,136,104,136,104136,234
104,137,104,137,104137,510
89,119,089,119,089119,24
89,120,089,120,089120,672
12,92,012,092,012092,262
12,93,012,093,012093,566
12,94,012,094,012094,507
89,122,089,122,089122,431
89,123,089,123,089123,528
12,95,012,095,012095,508
89,124,089,124,089124,517
12,96,012,096,012096,15
104,146,104,146,104146,81
89,125,089,125,089125,641
104,147,104,147,104147,656
89,126,089,126,089126,77
12,107,012,107,012107,546
33,27,033,027,033027,815
33,31,033,031,033031,398
33,32,033,032,033032,368
33,36,033,036,033036,425
33,37,033,037,033037,295
75,46,075,046,075046,216
13,96,013,096,013096,496
75,47,075,047,075047,380
13,97,013,097,013097,508
105,60,105,060,105060,605
105,61,105,061,105061,567
90,28,090,028,090028,50
105,62,105,062,105062,156
90,29,090,029,090029,559
33,59,033,059,033059,435
13,106,013,106,013106,514
33,60,033,060,033060,454
13,107,013,107,013107,542
33,61,033,061,033061,193
90,40,090,040,090040,561
33,66,033,066,033066,237
33,67,033,067,033067,166
75,67,075,067,075067,642
33,77,033,077,033077,603
105,87,105,087,105087,508
90,54,090,054,090054,623
105,88,105,088,105088,603
105,89,105,089,105089,231
105,94,105,094,105094,619
61,22,061,022,061022,98
61,23,061,023,061023,693
61,24,061,024,061024,614
61,25,061,025,061025,1040
61,26,061,026,061026,103
61,28,061,028,061028,548
14,101,014,101,014101,342
14,102,014,102,014102,507
14,103,014,103,014103,511
14,104,014,104,014104,504
14,105,014,105,014105,524
14,106,014,106,014106,12
75,100,075,100,075100,272
75,101,075,101,075101,301
105,117,105,117,105117,505
105,119,105,119,105119,211
105,120,105,120,105120,527
105,121,105,121,105121,601
105,122,105,122,105122,599
105,123,105,123,105123,471
33,115,033,115,033115,206
33,116,033,116,033116,429
33,121,033,121,033121,535
75,119,075,119,075119,526
47,41,047,041,047041,770
33,122,033,122,033122,560
33,123,033,123,033123,70
105,137,105,137,105137,548
105,138,105,138,105138,397
33,133,033,133,033133,594
33,134,033,134,033134,290
105,147,105,147,105147,52
105,148,105,148,105148,547
105,149,105,149,105149,544
105,150,105,150,105150,517
105,151,105,151,105151,564
105,152,105,152,105152,447
105,153,105,153,105153,586
90,120,090,120,090120,50
105,154,105,154,105154,546
90,121,090,121,090121,981
105,155,105,155,105155,82
90,122,090,122,090122,124
34,23,034,023,034023,418
34,24,034,024,034024,738
34,25,034,025,034025,672
34,26,034,026,034026,905
34,27,034,027,034027,238
34,30,034,030,034030,1031
34,31,034,031,034031,618
16,84,016,084,016084,89
106,58,106,058,106058,177
106,59,106,059,106059,836
106,60,106,060,106060,250
61,113,061,113,061113,645
34,47,034,047,034047,66
34,48,034,048,034048,599
34,49,034,049,034049,533
91,27,091,027,091027,448
91,28,091,028,091028,572
76,46,076,046,076046,549
34,59,034,059,034059,412
34,60,034,060,034060,1052
