MUN,Leak %
9002,0.348564733
9003,0.34118133
9004,0.580444444
9005,0.417375816
9006,0.360804672
9007,0.341888348
9008,0.269662921
9009,0.461538462
9010,0.452597593
9011,0.320053121
9012,0.322079314
9013,0.336457357
9014,0.379708689
9015,0.32988022
9016,0.352065322
9017,0.324353448
15002,0.35
15011,0.35
15013,0.35
15022,0.35
15025,0.35
15028,0.35
15029,0.35
15030,0.35
15031,0.35
15033,0.35
15037,0.35
15039,0.35
15046,0.35
15050,0
15057,0.35
15058,0.35
15069,0.35
15070,0.35
15083,0.35
15089,0.35
15093,0.35
15099,0.35
15100,0.35
15103,0.35
15104,0.35
15122,0.35
