id,row,column,ROW_1,COLUMN_1,id_2,AREA,U-PER,N-PER,WAT-PER,URB-NA
1102,7,95,007,095,007095,252815,0.5524870,0.4475130,0.0000000,0.5524870
1269,8,94,008,094,008094,252816,0.6318573,0.3681427,0.0000000,0.6318573
1270,8,95,008,095,008095,252816,0.5050847,0.4949192,0.0000000,0.5050847
1436,9,93,009,093,009093,252816,0.6039594,0.3960445,0.0000000,0.6039594
1604,10,93,010,093,010093,252816,0.0195281,0.9804798,0.0000000,0.0195281
1771,11,92,011,092,011092,252817,0.2926606,0.7073512,0.0000000,0.2926606
1950,12,103,012,103,012103,252817,0.2647509,0.7352570,0.0000000,0.2647509
1951,12,104,012,104,012104,252817,0.4142911,0.5857168,0.0000000,0.4142911
1952,12,105,012,105,012105,252817,0.1372466,0.8627574,0.0000000,0.1372466
1953,12,106,012,106,012106,252817,0.0965647,0.9034432,0.0000000,0.0965647
2116,13,101,013,101,013101,252817,0.0826771,0.9173309,0.0000000,0.0826771
2117,13,102,013,102,013102,252817,0.6160473,0.3839606,0.0000000,0.6160473
2118,13,103,013,103,013103,252817,0.8290133,0.1709986,0.0000000,0.8290133
2119,13,104,013,104,013104,252817,0.9420129,0.0579950,0.0000000,0.9420129
2120,13,105,013,105,013105,252817,0.7867413,0.2132666,0.0000000,0.7867413
2121,13,106,013,106,013106,252817,0.3287859,0.6712220,0.0000000,0.3287859
2276,14,93,014,093,014093,252818,0.0128276,0.9871803,0.0000000,0.0128276
2277,14,94,014,094,014094,252818,0.0225382,0.9774697,0.0000000,0.0225382
2437,15,86,015,086,015086,252818,0.8490398,0.1509721,0.0000000,0.8490398
2438,15,87,015,087,015087,252818,0.3489113,0.6511006,0.0000000,0.3489113
2439,15,88,015,088,015088,252818,0.4683187,0.5316931,0.0000000,0.4683187
2440,15,89,015,089,015089,252818,0.7427012,0.2573107,0.0000000,0.7427012
2441,15,90,015,090,015090,252818,0.8123213,0.1876906,0.0000000,0.8123213
2442,15,91,015,091,015091,252818,0.8424579,0.1575539,0.0000000,0.8424579
2443,15,92,015,092,015092,252818,0.9100765,0.0899353,0.0000000,0.9100765
2444,15,93,015,093,015093,252818,0.9300872,0.0699246,0.0000000,0.9300872
2445,15,94,015,094,015094,252818,0.0888753,0.9111366,0.0000000,0.0888753
2601,16,82,016,082,016082,252818,0.9973815,0.0026304,0.0000000,0.9973815
2603,16,84,016,084,016084,252818,1.0000119,0.0000000,0.0000000,1.0000119
2604,16,85,016,085,016085,252818,1.0000119,0.0000000,0.0000000,1.0000119
2605,16,86,016,086,016086,252818,0.7630679,0.2369480,0.0000000,0.7630679
2606,16,87,016,087,016087,252818,0.9205664,0.0794454,0.0000000,0.9205664
2607,16,88,016,088,016088,252818,1.0000119,0.0000000,0.0000000,1.0000119
2608,16,89,016,089,016089,252818,1.0000119,0.0000000,0.0000000,1.0000119
2609,16,90,016,090,016090,252818,1.0000119,0.0000000,0.0000000,1.0000119
2610,16,91,016,091,016091,252818,1.0000119,0.0000000,0.0000000,1.0000119
2611,16,92,016,092,016092,252818,1.0000119,0.0000000,0.0000000,1.0000119
2612,16,93,016,093,016093,252818,0.4419991,0.5580128,0.0000000,0.4419991
2720,17,33,017,033,017033,252814,0.9958428,0.0041493,0.0000000,0.9958428
2721,17,34,017,034,017034,252814,0.9795700,0.0204260,0.0000000,0.9795700
2768,17,81,017,081,017081,252819,1.0000158,0.0000000,0.0000000,1.0000158
2769,17,82,017,082,017082,252819,0.9928564,0.0071594,0.0000000,0.9928564
2770,17,83,017,083,017083,252819,1.0000158,0.0000000,0.0000000,1.0000158
2771,17,84,017,084,017084,252819,0.9852026,0.0148092,0.0000000,0.9852026
2772,17,85,017,085,017085,252819,1.0000158,0.0000000,0.0000000,1.0000158
2773,17,86,017,086,017086,252819,0.8582560,0.1417558,0.0000000,0.8582560
2774,17,87,017,087,017087,252819,0.6866009,0.3134149,0.0000000,0.6866009
2775,17,88,017,088,017088,252819,1.0000158,0.0000000,0.0000000,1.0000158
2776,17,89,017,089,017089,252819,1.0000158,0.0000000,0.0000000,1.0000158
2777,17,90,017,090,017090,252819,1.0000158,0.0000000,0.0000000,1.0000158
2778,17,91,017,091,017091,252819,1.0000158,0.0000000,0.0000000,1.0000158
2779,17,92,017,092,017092,252819,0.8358365,0.1641754,0.0000000,0.8358365
2780,17,93,017,093,017093,252819,0.0187093,0.9813065,0.0000000,0.0187093
2887,18,32,018,032,018032,252814,0.2491229,0.7508732,0.0000000,0.2491229
2888,18,33,018,033,018033,252814,0.9420762,0.0579198,0.0000000,0.9420762
2889,18,34,018,034,018034,252814,0.9989320,0.0010640,0.0000000,0.9989320
2890,18,35,018,035,018035,252814,0.9832644,0.0167276,0.0000000,0.9832644
2891,18,36,018,036,018036,252814,0.9268872,0.0731128,0.0000000,0.9268872
2892,18,37,018,037,018037,252815,0.9841702,0.0158258,0.0000000,0.9841702
2893,18,38,018,038,018038,252815,1.0000000,0.0000000,0.0000000,1.0000000
2894,18,39,018,039,018039,252815,0.9946839,0.0053161,0.0000000,0.9946839
2897,18,42,018,042,018042,252815,0.9880466,0.0119534,0.0000000,0.9880466
2898,18,43,018,043,018043,252816,0.9898701,0.0101299,0.0000000,0.9898701
2899,18,44,018,044,018044,252816,1.0000040,0.0000000,0.0000000,1.0000040
2935,18,80,018,080,018080,252819,0.9919981,0.0080177,0.0000000,0.9919981
2936,18,81,018,081,018081,252819,1.0000158,0.0000000,0.0000000,1.0000158
2937,18,82,018,082,018082,252819,1.0000158,0.0000000,0.0000000,1.0000158
2938,18,83,018,083,018083,252819,0.8900738,0.1099421,0.0000000,0.8900738
2939,18,84,018,084,018084,252819,0.5857959,0.4142199,0.0000000,0.5857959
2940,18,85,018,085,018085,252819,0.9994106,0.0006052,0.0000000,0.9994106
2941,18,86,018,086,018086,252819,0.2829737,0.7170461,0.0000000,0.2829737
2942,18,87,018,087,018087,252819,0.0018037,0.9982121,0.0000000,0.0018037
2943,18,88,018,088,018088,252819,0.1665724,0.8334434,0.0000000,0.1665724
2944,18,89,018,089,018089,252819,0.4671875,0.5328284,0.0000000,0.4671875
2945,18,90,018,090,018090,252819,0.7866582,0.2133576,0.0000000,0.7866582
2946,18,91,018,091,018091,252819,0.9949093,0.0051065,0.0000000,0.9949093
2947,18,92,018,092,018092,252819,0.2676898,0.7323260,0.0000000,0.2676898
3056,19,33,019,033,019033,252814,0.5417242,0.4582758,0.0000000,0.5417242
3057,19,34,019,034,019034,252814,0.9794356,0.0205684,0.0000000,0.9794356
3058,19,35,019,035,019035,252815,0.9415066,0.0584934,0.0000000,0.9415066
3059,19,36,019,036,019036,252815,0.9441687,0.0558313,0.0000000,0.9441687
3060,19,37,019,037,019037,252815,0.9911160,0.0088840,0.0000000,0.9911160
3061,19,38,019,038,019038,252815,1.0000000,0.0000000,0.0000000,1.0000000
3062,19,39,019,039,019039,252815,1.0000000,0.0000000,0.0000000,1.0000000
