Year,PopZMVM_Proj,PopZMVM_Census,PopZMVM_CM,Tlalpan_m3d,REPDA_m3d,Ratio_TtoZ
1895,,339935,0.324319,,,
1900,,344721,0.419681,,,
1910,,471066,0.665494,,,
1921,,615367,1.0898,,,
1930,,1029068,1.64796,,,
1940,,1802679,2.56297,,,
1950,,3137599,3.92781,,,
1960,,5251755,5.88642,,,
1970,,8799937,8.53557,,,
1980,,13354271,11.8158,,,
1984,,,13.2474,53930.1888,,
1985,,,13.6016,65125.296,,
1986,,,13.9533,75281.9616,,
1987,,,14.3019,76019.5584,,
1988,,,14.6469,70029.7056,,
1989,,,14.9876,73036.1664,,
1990,,15563795,15.3236,71368.0416,,
1991,,,15.6544,77575.104,,
1992,,,15.9794,78527.1456,,
1993,,,16.2983,78111.8208,,
1994,,,16.6107,78710.9184,,
1995,,17297539,16.9162,78336.288,,
1996,,,17.2144,75106.4832,,
1997,,,17.5052,78520.2336,,
1998,,,17.7883,73334.4192,,
1999,,,18.0634,78051.6,,
2000,,18396677,18.3305,67188.96,,
2001,,,18.5894,60612.0192,,
2002,,,18.8399,60264.1728,,
2003,,,19.0822,57810.5856,,
2004,,,19.3161,62196.768,,
2005,,19239910,19.5416,1075893.235,6344246.575,5.896725036
2006,,,19.7588,1040314.32,6315728.767,6.070981285
2007,,,19.9678,1042747.517,6330671.233,6.071144865
2008,,,20.1687,1042472.851,6368709.589,6.109233044
2009,,,20.3615,989478.1152,6373717.808,6.441494471
2010,20501763.71,20116842,20.5464,1056819.485,6374465.753,6.031745103
2011,20678905.6,,20.7236,1099437.667,,
2012,20848057.69,,20.8932,1118663.395,6406863.014,5.727248288
2013,21014856.12,,21.0554,1073123.856,6468169.863,6.027421557
2014,21178959.15,,21.2103,,6448561.644,
2015,21339781.15,,21.3583,,6472717.808,
2016,21497029.42,,21.4994,,6478547.945,
2017,21650667.63,,21.634,,,
2018,21800319.67,,21.7621,,,
2019,21945583.23,,21.8841,,,
2020,22086499.32,,22.0002,,,
2021,22223052.84,,22.1105,,,
2022,22355194.59,,22.2153,,,
2023,22482851.54,,22.3149,,,
2024,22605917.01,,22.4094,,,
2025,22724231.47,,22.499,,,
2026,22837892.86,,22.584,,,
2027,22947075.34,,22.6645,,,
2028,23051745.15,,22.7408,,,
2029,23151844.76,,22.8131,,,
2030,23247131.19,,22.8815,,,
2031,,,22.9462,,,
2032,,,23.0074,,,
2033,,,23.0653,,,
2034,,,23.12,,,
2035,,,23.1717,,,
2036,,,23.2205,,,
2037,,,23.2666,,,
2038,,,23.3102,,,
2039,,,23.3513,,,
2040,,,23.3901,,,
