DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE
CAEM,502651.207,2144422.61,-0.101270294,1984,1985,3826,1,13,0,365,-8749.753425,15,31,Chimalhuac?ín,15031
CAEM,502563.7494,2144115.244,-0.035675133,1984,1985,3827,1,13,0,365,-3082.331507,15,58,Nezahualc??yotl,15058
CAEM,503001.3009,2143900.165,-0.127765823,1984,1985,3828,1,13,0,365,-11038.96712,15,58,Nezahualc??yotl,15058
CAEM,502826.3847,2143316.166,-0.089795726,1984,1985,3829,1,13,0,365,-7758.350685,15,58,Nezahualc??yotl,15058
CAEM,503030.6455,2142855.171,-0.080877156,1984,1985,3830,1,13,0,365,-6987.786301,15,58,Nezahualc??yotl,15058
CAEM,503497.4926,2142179.08,-0.100383562,1984,1985,3831,1,13,0,365,-8673.139726,15,58,Nezahualc??yotl,15058
CAEM,503789.2526,2141933.258,-0.113070618,1984,1985,3832,1,13,0,365,-9769.30137,15,70,La Paz,15070
CAEM,503526.8383,2141287.765,-0.095732052,1984,1985,3833,1,13,0,365,-8271.249315,15,70,La Paz,15070
CAEM,503556.2232,2140212.039,-0.086094876,1984,1985,3834,1,13,0,365,-7438.59726,15,70,La Paz,15070
CAEM,504081.4383,2139843.329,-0.053326769,1984,1985,3835,1,13,0,365,-4607.432877,15,70,La Paz,15070
CAEM,504285.7553,2139443.819,-0.073592719,1984,1985,3836,1,13,0,365,-6358.410959,15,70,La Paz,15070
CAEM,503906.5375,2139167.117,-0.101989567,1984,1985,3837,1,13,0,365,-8811.89863,15,70,La Paz,15070
CAEM,502651.207,2144422.61,-0.09733178,1985,1986,3838,13,25,365,730,-8409.465753,15,31,Chimalhuac?ín,15031
CAEM,502563.7494,2144115.244,-0.009075723,1985,1986,3839,13,25,365,730,-784.1424658,15,58,Nezahualc??yotl,15058
CAEM,503001.3009,2143900.165,-0.09788391,1985,1986,3840,13,25,365,730,-8457.169863,15,58,Nezahualc??yotl,15058
CAEM,502826.3847,2143316.166,-0.091438832,1985,1986,3841,13,25,365,730,-7900.315068,15,58,Nezahualc??yotl,15058
CAEM,503030.6455,2142855.171,-0.075281932,1985,1986,3842,13,25,365,730,-6504.358904,15,58,Nezahualc??yotl,15058
CAEM,503497.4926,2142179.08,-0.093777588,1985,1986,3843,13,25,365,730,-8102.383562,15,58,Nezahualc??yotl,15058
CAEM,503789.2526,2141933.258,-0.099832414,1985,1986,3844,13,25,365,730,-8625.520548,15,70,La Paz,15070
CAEM,503526.8383,2141287.765,-0.092667364,1985,1986,3845,13,25,365,730,-8006.460274,15,70,La Paz,15070
CAEM,503556.2232,2140212.039,-0.091130105,1985,1986,3846,13,25,365,730,-7873.641096,15,70,La Paz,15070
CAEM,503731.2989,2140058.399,-0.064106989,1985,1986,3847,13,25,365,730,-5538.843836,15,70,La Paz,15070
CAEM,504081.4383,2139843.329,-0.045930682,1985,1986,3848,13,25,365,730,-3968.410959,15,70,La Paz,15070
CAEM,504285.7553,2139443.819,-0.105283137,1985,1986,3849,13,25,365,730,-9096.463014,15,70,La Paz,15070
CAEM,503906.5375,2139167.117,-0.100946664,1985,1986,3850,13,25,365,730,-8721.791781,15,70,La Paz,15070
CAEM,504665.3191,2138337.449,-0.060089739,1985,1986,3851,13,25,365,730,-5191.753425,15,70,La Paz,15070
CAEM,518977.3048,2123716.907,-0.008132896,1985,1986,3852,13,25,365,730,-702.6821918,15,103,Tlalmanalco,15103
CAEM,499092.7257,2142701.257,-0.017201643,1985,1986,3853,13,25,365,730,-1486.221918,15,58,Nezahualc??yotl,15058
CAEM,502651.207,2144422.61,-0.116711504,1986,1987,3854,25,37,730,1095,-10083.87397,15,31,Chimalhuac?ín,15031
CAEM,502563.7494,2144115.244,-0.037661181,1986,1987,3855,25,37,730,1095,-3253.926027,15,58,Nezahualc??yotl,15058
CAEM,503001.3009,2143900.165,-0.116785293,1986,1987,3856,25,37,730,1095,-10090.24932,15,58,Nezahualc??yotl,15058
CAEM,502826.3847,2143316.166,-0.112379566,1986,1987,3857,25,37,730,1095,-9709.594521,15,58,Nezahualc??yotl,15058
CAEM,503030.6455,2142855.171,-0.094859779,1986,1987,3858,25,37,730,1095,-8195.884932,15,58,Nezahualc??yotl,15058
CAEM,503497.4926,2142179.08,-0.109392789,1986,1987,3859,25,37,730,1095,-9451.536986,15,58,Nezahualc??yotl,15058
CAEM,503789.2526,2141933.258,-0.113122495,1986,1987,3860,25,37,730,1095,-9773.783562,15,70,La Paz,15070
CAEM,503526.8383,2141287.765,-0.099379122,1986,1987,3861,25,37,730,1095,-8586.356164,15,70,La Paz,15070
CAEM,503556.2232,2140212.039,-0.073877886,1986,1987,3862,25,37,730,1095,-6383.049315,15,70,La Paz,15070
CAEM,503731.2989,2140058.399,-0.014409976,1986,1987,3863,25,37,730,1095,-1245.021918,15,70,La Paz,15070
CAEM,504081.4383,2139843.329,-0.115977835,1986,1987,3864,25,37,730,1095,-10020.48493,15,70,La Paz,15070
CAEM,504285.7553,2139443.819,-0.108798801,1986,1987,3865,25,37,730,1095,-9400.216438,15,70,La Paz,15070
