DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE,UrbanClay,Urban
REPDA-DF,481745.5526,2151623.692,-0.004727074,2005,2014,0,253,361,7665,10950,-408.4191781,9,2,Azcapotzalco,9002,1,1970
REPDA-DF,483559.7606,2152418.005,-0.005114155,2005,2014,1,253,361,7665,10950,-441.8630137,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,484211.3222,2150702.377,-0.005114155,2005,2014,2,253,361,7665,10950,-441.8630137,9,15,Cuauht??moc,9015,1,1929
REPDA-DF,483620.8846,2152307.301,-0.005114155,2005,2014,3,253,361,7665,10950,-441.8630137,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,481570.869,2151869.754,-0.009863014,2005,2014,4,253,361,7665,10950,-852.1643836,9,2,Azcapotzalco,9002,1,1970
REPDA-DF,479502.6889,2153500.974,-0.001226186,2005,2014,5,253,361,7665,10950,-105.9424658,9,2,Azcapotzalco,9002,1,1970
REPDA-DF,479502.6889,2153500.974,-0.001226186,2005,2014,6,253,361,7665,10950,-105.9424658,9,2,Azcapotzalco,9002,1,1970
REPDA-DF,482915.4718,2155525.983,-0.001893709,2005,2014,7,253,361,7665,10950,-163.6164384,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,483380.9001,2154480.533,-0.003503869,2005,2014,8,253,361,7665,10950,-302.7342466,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,482187.7384,2156540.967,-0.018074581,2005,2014,9,253,361,7665,10950,-1561.643836,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,482158.5906,2156540.996,-0.006369863,2005,2014,10,253,361,7665,10950,-550.3561644,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,483353.5063,2156386.175,-0.00158549,2005,2014,11,253,361,7665,10950,-136.9863014,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,480611.2832,2154237.408,-0.011098427,2005,2014,12,253,361,7665,10950,-958.9041096,9,2,Azcapotzalco,9002,1,1970
REPDA-DF,479590.5985,2153900.44,-0.003228057,2005,2014,13,253,361,7665,10950,-278.9041096,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,479561.4812,2153931.208,-0.003634418,2005,2014,14,253,361,7665,10950,-314.0136986,9,2,Azcapotzalco,9002,1,1980
REPDA-DF,483496.2691,2153128.057,-3.49E-05,2005,2014,15,253,361,7665,10950,-3.01369863,9,2,Azcapotzalco,9002,1,1980
