DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,FLOW_M3D,CVE_ENT,CVE_MUN,NOM_MUN,CODE
REPDA-DF,481745.5526285570,2151623.6919791200,-0.00472707382039573000,2005,2014,0,253,361,7665,10950,-408.4191780822,09,002,Azcapotzalco,09002
REPDA-DF,483559.7605813870,2152418.0049405600,-0.00511415525114155000,2005,2014,1,253,361,7665,10950,-441.8630136986,09,002,Azcapotzalco,09002
REPDA-DF,484211.3222295090,2150702.3767765100,-0.00511415525114155000,2005,2014,2,253,361,7665,10950,-441.8630136986,09,015,Cuauht??moc,09015
REPDA-DF,483620.8845866710,2152307.3011225200,-0.00511415525114155000,2005,2014,3,253,361,7665,10950,-441.8630136986,09,002,Azcapotzalco,09002
REPDA-DF,481570.8689889440,2151869.7544496100,-0.00986301369863013000,2005,2014,4,253,361,7665,10950,-852.1643835616,09,002,Azcapotzalco,09002
REPDA-DF,479502.6888789650,2153500.9743168400,-0.00122618594622019000,2005,2014,5,253,361,7665,10950,-105.9424657534,09,002,Azcapotzalco,09002
REPDA-DF,479502.6888789650,2153500.9743168400,-0.00122618594622019000,2005,2014,6,253,361,7665,10950,-105.9424657534,09,002,Azcapotzalco,09002
REPDA-DF,482915.4718231060,2155525.9826146600,-0.00189370877727042000,2005,2014,7,253,361,7665,10950,-163.6164383562,09,002,Azcapotzalco,09002
REPDA-DF,483380.9001084890,2154480.5331018300,-0.00350386859462201000,2005,2014,8,253,361,7665,10950,-302.7342465753,09,002,Azcapotzalco,09002
REPDA-DF,482187.7383947960,2156540.9669932400,-0.01807458143074580000,2005,2014,9,253,361,7665,10950,-1561.6438356164,09,002,Azcapotzalco,09002
REPDA-DF,482158.5906455990,2156540.9957960900,-0.00636986301369862000,2005,2014,10,253,361,7665,10950,-550.3561643836,09,002,Azcapotzalco,09002
REPDA-DF,483353.5063190090,2156386.1747911000,-0.00158548959918822000,2005,2014,11,253,361,7665,10950,-136.9863013699,09,002,Azcapotzalco,09002
REPDA-DF,480611.2832016650,2154237.4082640300,-0.01109842719431760000,2005,2014,12,253,361,7665,10950,-958.9041095890,09,002,Azcapotzalco,09002
REPDA-DF,479590.5984883990,2153900.4395940300,-0.00322805682394723000,2005,2014,13,253,361,7665,10950,-278.9041095890,09,002,Azcapotzalco,09002
REPDA-DF,479561.4812158300,2153931.2082848100,-0.00363441780821917000,2005,2014,14,253,361,7665,10950,-314.0136986301,09,002,Azcapotzalco,09002
REPDA-DF,483496.2691153010,2153128.0566476000,-0.00003488077118214100,2005,2014,15,253,361,7665,10950,-3.0136986301,09,002,Azcapotzalco,09002
REPDA-DF,484807.4937291760,2152327.7801900500,-0.00011098427194317600,2005,2014,16,253,361,7665,10950,-9.5890410959,09,002,Azcapotzalco,09002
REPDA-DF,481750.6154045450,2156633.6113222800,-0.02761643835616430000,2005,2014,17,253,361,7665,10950,-2386.0602739726,09,002,Azcapotzalco,09002
REPDA-DF,482537.6303638770,2156663.5681135300,-0.00077530441400304400,2005,2014,18,253,361,7665,10950,-66.9863013699,09,002,Azcapotzalco,09002
REPDA-DF,465221.8374814120,2155612.8894666000,-0.00145922120750887000,2005,2014,19,253,361,7665,10950,-126.0767123288,15,057,Naucalpan de Ju?írez,15057
REPDA-DF,480085.4379415610,2153223.7008420900,-0.00459791983764586000,2005,2014,20,253,361,7665,10950,-397.2602739726,09,002,Azcapotzalco,09002
REPDA-DF,482799.7531476150,2156448.1657450900,-0.00313169076610857000,2005,2014,21,253,361,7665,10950,-270.5780821918,09,002,Azcapotzalco,09002
REPDA-DF,481629.2420638650,2151931.1663804000,-0.00115068493150684000,2005,2014,22,253,361,7665,10950,-99.4191780822,09,002,Azcapotzalco,09002
REPDA-DF,479328.0892458420,2153777.7951063500,-0.00120497209538305000,2005,2014,23,253,361,7665,10950,-104.1095890411,09,002,Azcapotzalco,09002
REPDA-DF,481681.6031177120,2151814.3177326500,-0.00285388127853881000,2005,2014,24,253,361,7665,10950,-246.5753424658,09,002,Azcapotzalco,09002
REPDA-DF,483322.1439286540,2153988.8158581600,-0.00079274479959411400,2005,2014,25,253,361,7665,10950,-68.4931506849,09,002,Azcapotzalco,09002
REPDA-DF,483263.9540999730,2154111.8125033000,-0.00672247590055809000,2005,2014,26,253,361,7665,10950,-580.8219178082,09,002,Azcapotzalco,09002
REPDA-DF,483056.0842933430,2156266.5820866400,-0.00317097919837645000,2005,2014,27,253,361,7665,10950,-273.9726027397,09,002,Azcapotzalco,09002
REPDA-DF,482911.7805775380,2151622.5524346100,-0.00038127853881278500,2005,2014,28,253,361,7665,10950,-32.9424657534,09,015,Cuauht??moc,09015
REPDA-DF,481395.9054976800,2151839.1979565000,-0.00031532217148655500,2005,2014,29,253,361,7665,10950,-27.2438356164,09,002,Azcapotzalco,09002
REPDA-DF,483061.1610487290,2155464.3738030700,-0.00018708777270421100,2005,2014,30,253,361,7665,10950,-16.1643835616,09,002,Azcapotzalco,09002
REPDA-DF,483876.7700412500,2154818.1765436300,-0.03058904109589040000,2005,2014,31,253,361,7665,10950,-2642.8931506849,09,002,Azcapotzalco,09002
REPDA-DF,483964.2488792700,2154848.8343777900,-0.02291666666666660000,2005,2014,32,253,361,7665,10950,-1980.0000000000,09,002,Azcapotzalco,09002
REPDA-DF,483032.6472569550,2156140.5874204000,-0.00326978691019786000,2005,2014,33,253,361,7665,10950,-282.5095890411,09,002,Azcapotzalco,09002
REPDA-DF,482945.4635490200,2156417.2916386600,-0.00366933028919330000,2005,2014,34,253,361,7665,10950,-317.0301369863,09,002,Azcapotzalco,09002
REPDA-DF,483615.5591165290,2156078.5772366700,-0.00181326103500761000,2005,2014,35,253,361,7665,10950,-156.6657534247,09,002,Azcapotzalco,09002
REPDA-DF,483615.5312130090,2156047.8414968100,-0.00162005327245053000,2005,2014,36,253,361,7665,10950,-139.9726027397,09,002,Azcapotzalco,09002
REPDA-DF,480293.4698252790,2156850.2953041400,-0.00333333333333333000,2005,2014,37,253,361,7665,10950,-288.0000000000,09,002,Azcapotzalco,09002
REPDA-DF,478982.0212556820,2157005.4554391300,-0.00036136478944698100,2005,2014,38,253,361,7665,10950,-31.2219178082,09,002,Azcapotzalco,09002
REPDA-DF,480351.7643723130,2156850.2316989900,-0.00079718417047184100,2005,2014,39,253,361,7665,10950,-68.8767123288,09,002,Azcapotzalco,09002
REPDA-DF,481425.0924338730,2151869.9036172300,-0.00396683155758498000,2005,2014,40,253,361,7665,10950,-342.7342465753,09,002,Azcapotzalco,09002
REPDA-DF,481425.0608593600,2151839.1679820500,-0.00534614408929477000,2005,2014,41,253,361,7665,10950,-461.9068493151,09,002,Azcapotzalco,09002
REPDA-DF,482740.5755230100,2155526.1489966900,-0.00010727422628107500,2005,2014,42,253,361,7665,10950,-9.2684931507,09,002,Azcapotzalco,09002
REPDA-DF,482857.0271139960,2155372.3592402100,-0.00013001014713343400,2005,2014,43,253,361,7665,10950,-11.2328767123,09,002,Azcapotzalco,09002
REPDA-DF,483090.4256965350,2155587.2893904000,-0.00000761035007610350,2005,2014,44,253,361,7665,10950,-0.6575342466,09,002,Azcapotzalco,09002
REPDA-DF,485029.9058630570,2139203.5668275000,-0.00048769660071029900,2005,2014,45,253,361,7665,10950,-42.1369863014,09,003,Coyoac?ín,09003
REPDA-DF,484884.0019888660,2139172.9521672700,-0.00048833079654997400,2005,2014,46,253,361,7665,10950,-42.1917808219,09,003,Coyoac?ín,09003
REPDA-DF,485143.7019339400,2135638.1938922100,-0.00792744799594114000,2005,2014,47,253,361,7665,10950,-684.9315068493,09,003,Coyoac?ín,09003
REPDA-DF,485143.6768972910,2135607.4587978900,-0.00751141552511415000,2005,2014,48,253,361,7665,10950,-648.9863013699,09,003,Coyoac?ín,09003
REPDA-DF,484534.6403112080,2140052.2736312900,-0.00336323566717402000,2005,2014,49,253,361,7665,10950,-290.5835616438,09,003,Coyoac?ín,09003
REPDA-DF,484967.6258839840,2134439.6693137600,-0.00808980213089802000,2005,2014,50,253,361,7665,10950,-698.9589041096,09,003,Coyoac?ín,09003
REPDA-DF,484705.6717573680,2135269.7346018100,-0.00348807711821410000,2005,2014,51,253,361,7665,10950,-301.3698630137,09,003,Coyoac?ín,09003
REPDA-DF,480564.0887907600,2137394.4075979200,-0.02574999999999990000,2005,2014,52,253,361,7665,10950,-2224.8000000000,09,003,Coyoac?ín,09003
REPDA-DF,479892.2337521030,2136718.9618050900,-0.05203973236935560000,2005,2014,53,253,361,7665,10950,-4496.2328767123,09,003,Coyoac?ín,09003
REPDA-DF,479832.4797445040,2135458.8843279300,-0.01685318366311510000,2005,2014,54,253,361,7665,10950,-1456.1150684932,09,003,Coyoac?ín,09003
REPDA-DF,485617.7233133040,2144643.2415049300,-0.00117326230339928000,2005,2014,55,253,361,7665,10950,-101.3698630137,09,014,Benito Ju?írez,09014
REPDA-DF,480306.8394407570,2142343.0698673000,-0.00308219178082191000,2005,2014,56,253,361,7665,10950,-266.3013698630,09,014,Benito Ju?írez,09014
REPDA-DF,481910.1251489450,2141234.9301100600,-0.00479388635210553000,2005,2014,57,253,361,7665,10950,-414.1917808219,09,014,Benito Ju?írez,09014
REPDA-DF,482874.8723274110,2143416.2057067200,-0.00017028158295281500,2005,2014,58,253,361,7665,10950,-14.7123287671,09,014,Benito Ju?írez,09014
REPDA-DF,484655.3188518330,2144766.9710299500,-0.00009512937595129370,2005,2014,59,253,361,7665,10950,-8.2191780822,09,014,Benito Ju?írez,09014
REPDA-DF,479406.1054131370,2145479.0851990400,-0.00749999999999999000,2005,2014,60,253,361,7665,10950,-648.0000000000,09,016,Miguel Hidalgo,09016
REPDA-DF,485059.9646277690,2140279.2756158400,-0.00079274479959411400,2005,2014,61,253,361,7665,10950,-68.4931506849,09,003,Coyoac?ín,09003
REPDA-DF,485001.1607500310,2139726.0894760900,-0.00000761035007610350,2005,2014,62,253,361,7665,10950,-0.6575342466,09,003,Coyoac?ín,09003
REPDA-DF,489181.3872822850,2153523.3242797100,-0.00126059107052257000,2005,2014,63,253,361,7665,10950,-108.9150684932,09,005,Gustavo A. Madero,09005
REPDA-DF,488577.9351080960,2153532.9159794300,-0.01125697615423640000,2005,2014,64,253,361,7665,10950,-972.6027397260,09,005,Gustavo A. Madero,09005
REPDA-DF,489765.5169745540,2155428.5944587100,-0.00103088533739218000,2005,2014,65,253,361,7665,10950,-89.0684931507,09,005,Gustavo A. Madero,09005
REPDA-DF,484226.2004300290,2154387.5679991300,-0.00957635717909690000,2005,2014,66,253,361,7665,10950,-827.3972602740,09,002,Azcapotzalco,09002
REPDA-DF,489210.6865109760,2153769.1917859300,-0.00190258751902587000,2005,2014,67,253,361,7665,10950,-164.3835616438,09,005,Gustavo A. Madero,09005
REPDA-DF,488622.1646488740,2145040.6703805500,-0.00158548959918822000,2005,2014,68,253,361,7665,10950,-136.9863013699,09,006,Iztacalco,09006
REPDA-DF,487653.8597088100,2145062.8175907400,-0.00412227295788939000,2005,2014,69,253,361,7665,10950,-356.1643835616,09,006,Iztacalco,09006
REPDA-DF,486876.8628997060,2151496.2992702100,-0.00008878741755454080,2005,2014,70,253,361,7665,10950,-7.6712328767,09,015,Cuauht??moc,09015
REPDA-DF,485415.2595297980,2146764.1470973100,-0.00012874175545408400,2005,2014,71,253,361,7665,10950,-11.1232876712,09,015,Cuauht??moc,09015
REPDA-DF,485357.9005978090,2147962.8767758800,-0.00045509893455098900,2005,2014,72,253,361,7665,10950,-39.3205479452,09,015,Cuauht??moc,09015
REPDA-DF,485387.0373885750,2147932.1177707600,-0.00009081684424150170,2005,2014,73,253,361,7665,10950,-7.8465753425,09,015,Cuauht??moc,09015
REPDA-DF,483961.1945426980,2151406.4420935400,-0.00027365550481988800,2005,2014,74,253,361,7665,10950,-23.6438356164,09,015,Cuauht??moc,09015
REPDA-DF,483961.2490431980,2151467.9132799300,-0.00032955986808726500,2005,2014,75,253,361,7665,10950,-28.4739726027,09,015,Cuauht??moc,09015
REPDA-DF,482879.1080194290,2147903.5780429100,-0.00031915905631659000,2005,2014,76,253,361,7665,10950,-27.5753424658,09,015,Cuauht??moc,09015
REPDA-DF,482908.2407223900,2147872.8150173900,-0.00039393074581430700,2005,2014,77,253,361,7665,10950,-34.0356164384,09,015,Cuauht??moc,09015
REPDA-DF,483757.4611311040,2151806.1870010700,-0.00046930492135971500,2005,2014,78,253,361,7665,10950,-40.5479452055,09,015,Cuauht??moc,09015
REPDA-DF,483433.7422135700,2148517.7729952400,-0.00046616565195332300,2005,2014,79,253,361,7665,10950,-40.2767123288,09,015,Cuauht??moc,09015
REPDA-DF,483202.9664570160,2151222.7165079000,-0.00014253551496702100,2005,2014,80,253,361,7665,10950,-12.3150684932,09,015,Cuauht??moc,09015
REPDA-DF,483344.1420419900,2146212.6926380300,-0.00206643201420598000,2005,2014,81,253,361,7665,10950,-178.5397260274,09,015,Cuauht??moc,09015
REPDA-DF,484803.3926644090,2147440.8298805400,-0.00094698122780314500,2005,2014,82,253,361,7665,10950,-81.8191780822,09,015,Cuauht??moc,09015
REPDA-DF,491918.1817714520,2145561.4064911000,-0.00028862252663622500,2005,2014,83,253,361,7665,10950,-24.9369863014,09,006,Iztacalco,09006
REPDA-DF,482474.2366781640,2151407.8216495300,-0.00022301496702181600,2005,2014,84,253,361,7665,10950,-19.2684931507,09,002,Azcapotzalco,09002
REPDA-DF,484717.5645908100,2149407.9749430000,-0.00021562658548959900,2005,2014,85,253,361,7665,10950,-18.6301369863,09,015,Cuauht??moc,09015
REPDA-DF,483931.2742745970,2150545.8717467600,-0.00003570522577371890,2005,2014,86,253,361,7665,10950,-3.0849315068,09,015,Cuauht??moc,09015
REPDA-DF,483898.0202957320,2145935.5733736800,-0.00007610350076103500,2005,2014,87,253,361,7665,10950,-6.5753424658,09,015,Cuauht??moc,09015
REPDA-DF,483232.4646806370,2151591.5166620200,-0.00003526128868594620,2005,2014,88,253,361,7665,10950,-3.0465753425,09,015,Cuauht??moc,09015
REPDA-DF,487674.6294530460,2141282.3594111200,-0.00012902714358193800,2005,2014,89,253,361,7665,10950,-11.1479452055,09,007,Iztapalapa,09007
REPDA-DF,487627.2495793310,2140246.6138470600,-0.00071305809233891400,2005,2014,90,253,361,7665,10950,-61.6082191781,09,007,Iztapalapa,09007
REPDA-DF,489035.1960455820,2152816.4932165100,-0.00342370624048706000,2005,2014,91,253,361,7665,10950,-295.8082191781,09,005,Gustavo A. Madero,09005
REPDA-DF,491040.6629525920,2140367.5553995700,-0.00158548959918822000,2005,2014,92,253,361,7665,10950,-136.9863013699,09,007,Iztapalapa,09007
REPDA-DF,484930.7598803570,2160288.2376503800,-0.00066666666666666600,2005,2014,93,253,361,7665,10950,-57.6000000000,09,005,Gustavo A. Madero,09005
REPDA-DF,484959.9271903270,2160318.9491512100,-0.00472399797057331000,2005,2014,94,253,361,7665,10950,-408.1534246575,09,005,Gustavo A. Madero,09005
REPDA-DF,484580.6128608730,2159766.0241206300,-0.00095129375951293700,2005,2014,95,253,361,7665,10950,-82.1917808219,09,005,Gustavo A. Madero,09005
REPDA-DF,488860.5955608750,2153339.1052592300,-0.00039316971080669700,2005,2014,96,253,361,7665,10950,-33.9698630137,09,005,Gustavo A. Madero,09005
REPDA-DF,489181.3872822850,2153523.3242797100,-0.00126059107052257000,2005,2014,97,253,361,7665,10950,-108.9150684932,09,005,Gustavo A. Madero,09005
REPDA-DF,487168.7919062910,2152018.5949383000,-0.00020684297311009600,2005,2014,98,253,361,7665,10950,-17.8712328767,09,005,Gustavo A. Madero,09005
REPDA-DF,488819.8963639910,2134559.8435501700,-0.00282581811263318000,2005,2014,99,253,361,7665,10950,-244.1506849315,09,003,Coyoac?ín,09003
REPDA-DF,488965.7746432900,2134498.2847413400,-0.00111329908675799000,2005,2014,100,253,361,7665,10950,-96.1890410959,09,003,Coyoac?ín,09003
REPDA-DF,488131.2093987700,2152478.9720003300,-0.00000580289193302892,2005,2014,101,253,361,7665,10950,-0.5013698630,09,005,Gustavo A. Madero,09005
REPDA-DF,489181.1115731650,2153062.2902184900,-0.00007401065449010650,2005,2014,102,253,361,7665,10950,-6.3945205479,09,005,Gustavo A. Madero,09005
REPDA-DF,483848.6094213020,2155924.6883673200,-0.00000792744799594115,2005,2014,103,253,361,7665,10950,-0.6849315068,09,005,Gustavo A. Madero,09005
REPDA-DF,483964.8766908770,2155555.7556961300,-0.00000215626585489599,2005,2014,104,253,361,7665,10950,-0.1863013699,09,005,Gustavo A. Madero,09005
REPDA-DF,491913.9415282170,2136002.7588829300,-0.00475646879756468000,2005,2014,105,253,361,7665,10950,-410.9589041096,09,007,Iztapalapa,09007
REPDA-DF,491826.4130304520,2136033.5328995700,-0.00792744799594114000,2005,2014,106,253,361,7665,10950,-684.9315068493,09,007,Iztapalapa,09007
REPDA-DF,490980.5066976720,2136710.1028087100,-0.00358320649416539000,2005,2014,107,253,361,7665,10950,-309.5890410959,09,007,Iztapalapa,09007
REPDA-DF,490659.5465849900,2136740.9993285900,-0.00328767123287671000,2005,2014,108,253,361,7665,10950,-284.0547945205,09,007,Iztapalapa,09007
REPDA-DF,492060.5535336260,2137631.6540524400,-0.00126201801116184000,2005,2014,109,253,361,7665,10950,-109.0383561644,09,007,Iztapalapa,09007
REPDA-DF,485907.0327407820,2141600.2163857700,-0.00289218670725520000,2005,2014,110,253,361,7665,10950,-249.8849315068,09,007,Iztapalapa,09007
REPDA-DF,478794.9684684810,2139132.9257343700,-0.00005390664637239980,2005,2014,111,253,361,7665,10950,-4.6575342466,09,010,?ülvaro Obreg??n,09010
REPDA-DF,479283.4480959920,2140223.4671099700,-0.00003177321156773210,2005,2014,112,253,361,7665,10950,-2.7452054795,09,010,?ülvaro Obreg??n,09010
REPDA-DF,469096.2279609850,2137041.4369551200,-0.00000237823439878234,2005,2014,113,253,361,7665,10950,-0.2054794521,09,004,Cuajimalpa de Morelos,09004
