DATASET,X,Y,FLOW_M3-S,START_YR,END_YR,ID,S_PER,E_PER,S_DAY,E_DAY,Flow_m3,CVE_ENT,CVE_MUN,NOM_MUN,CODE
SACM,478498,2156819,1,1984,1985,81,-1,0,0,31,-3638,9,2,Azcapotzalco,9002
SACM,478008,2153563,1,1984,1985,13,-1,0,0,31,-3019,9,2,Azcapotzalco,9002
SACM,482692,2154553,1,1984,1985,44,-1,0,0,31,-2365,9,2,Azcapotzalco,9002
SACM,479219,2153704,1,1984,1985,93,-1,0,0,31,-1049,9,2,Azcapotzalco,9002
SACM,480744,2154714,1,1984,1985,91,-1,0,0,31,-5148,9,2,Azcapotzalco,9002
SACM,480901,2152320,1,1984,1985,120,-1,0,0,31,-2548,9,2,Azcapotzalco,9002
SACM,482973,2152823,1,1984,1985,135,-1,0,0,31,-5878,9,2,Azcapotzalco,9002
SACM,480463,2157220,1,1984,1985,136,-1,0,0,31,-2414,15,104,Tlalnepantla de Baz,15104
SACM,482157,2152446,1,1984,1985,173,-1,0,0,31,-3302,9,2,Azcapotzalco,9002
SACM,480945,2151587,1,1984,1985,196,-1,0,0,31,-3736,9,16,Miguel Hidalgo,9016
SACM,482650,2152058,1,1984,1985,248,-1,0,0,31,-3674,9,2,Azcapotzalco,9002
SACM,481957,2152026,1,1984,1985,250,-1,0,0,31,-5395,9,2,Azcapotzalco,9002
SACM,482283,2154851,1,1984,1985,263,-1,0,0,31,-973,9,2,Azcapotzalco,9002
SACM,482304,2153389,1,1984,1985,265,-1,0,0,31,-1630,9,2,Azcapotzalco,9002
SACM,479198,2154207,1,1984,1985,313,-1,0,0,31,-2250,9,2,Azcapotzalco,9002
SACM,478144,2155925,1,1984,1985,321,-1,0,0,31,-3148,9,2,Azcapotzalco,9002
SACM,483605,2152928,1,1984,1985,323,-1,0,0,31,-3779,9,2,Azcapotzalco,9002
SACM,478144,2155181,1,1984,1985,324,-1,0,0,31,-4515,9,2,Azcapotzalco,9002
SACM,478895,2155313,1,1984,1985,322,-1,0,0,31,-6559,9,2,Azcapotzalco,9002
