GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,15957439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,,,,,,,,,,,,,,,,,,,,399581189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,392,,,,,,,,,,,,,,,,,,,418886851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOMBRE DEL,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZCAPOTZALCO #1,1 ,478498,2156819,81,09,002,Azcapotzalco,09002,112782,70573,91923,98156,103413,90837,111014,103268,107444,64496,88055,59996,1101958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AHUIZOTLA,2 ,478008,2153563,13,09,002,Azcapotzalco,09002,93594,101302,112043,108211,107993,87713,95555,95747,93312,89807,73478,23937,1082691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATORON #1,3 ,489319,2155129,41,09,005,Gustavo A. Madero,09005,0,0,0,0,0,0,0,0,0,0,0,56021,56021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATORON #2,4 ,483793,2154888,42,09,002,Azcapotzalco,09002,0,0,0,0,0,0,0,0,0,0,0,83566,83566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATORON #5,5 ,482776,2154783,43,09,002,Azcapotzalco,09002,0,0,0,0,0,0,0,0,0,0,0,126490,126490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATORON #6,6 ,482692,2154553,44,09,002,Azcapotzalco,09002,73324,52477,30020,18209,32398,50998,46068,43122,13867,53533,54691,77620,546327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPO ENCANTADO,7 ,479219,2153704,93,09,002,Azcapotzalco,09002,32521,21715,24202,30171,28959,20124,30566,25873,16140,19718,21042,80138,351170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMPAMENTO AZCAPOTZALCO,8 ,480744,2154714,91,09,002,Azcapotzalco,09002,159584,112193,149455,158293,164400,164063,169875,170732,128729,148962,45941,121982,1694210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLAVERIA,9 ,480901,2152320,120,09,002,Azcapotzalco,09002,78986,65737,0,79543,80652,80373,85195,0,82944,85709,81202,0,720340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPORTIVO FERRERIA,10 ,482973,2152823,135,09,002,Azcapotzalco,09002,182228,133908,165895,188739,176598,172052,184255,178526,167044,163556,118708,100370,1931879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEPORTIVO REYNOSA,11 ,480463,2157220,136,15,104,Tlalnepantla de Baz,15104,74834,57526,56793,66796,62112,69595,69746,72719,48784,72236,67185,179273,897599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOGAR Y SEGURIDAD,12 ,482157,2152446,173,09,002,Azcapotzalco,09002,102347,76002,102237,104359,109375,67729,64844,70228,48911,79790,82363,0,908185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JARDIN SAN ALVARO,13 ,480945,2151587,196,09,016,Miguel Hidalgo,09016,115814,104379,106466,129600,108909,82931,109439,40136,96485,92022,97459,19424,1103064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA LIBERTAD,14 ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUEVA SANTA MARIA,15 ,482650,2152058,248,09,002,Azcapotzalco,09002,113904,102492,121851,118397,122837,107786,88401,89279,84914,97756,91881,39774,1179272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OBRERO POPULAR,16 ,481957,2152026,250,09,002,Azcapotzalco,09002,167239,126669,139076,149872,151817,160393,186738,185051,181440,171246,165224,0,1784766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANAMERICANA,17 ,484759,2153609,262,09,005,Gustavo A. Madero,09005,0,0,0,0,0,0,0,0,0,0,0,51940,51940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANTACO #1,18 ,482283,2154851,263,09,002,Azcapotzalco,09002,30178,25910,28798,26482,21127,30679,13121,26575,30565,16140,5187,58866,313628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANTACO #2,19 ,482419,2154039,264,09,002,Azcapotzalco,09002,0,REPARACION,82208,51944,56664,23235,40112,32623,2322,67498,63442,120046,540094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
