GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,17977421
1988,,,,,,,,,,,,,,,,,,,,,380566694
,,405,,,,,,,,,,,,,,,,,,,400984051
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,
AZCAPOTZALCO #1, 1,478498,2156819,81,09,002,Azcapotzalco,09002,45533,33869,66960,88128,99101,59616,26784,77674,75168,88387,95904,99101,856224
AHUIZOTLA, 2,478008,2153563,13,09,002,Azcapotzalco,09002,96422,21773,83030,93312,32141,41472,45533,45533,44064,42854,41472,45533,633139
ATORON #1, 3,489319,2155129,41,09,005,Gustavo A. Madero,09005,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,0
ATORON #2, 4,483793,2154888,42,09,002,Azcapotzalco,09002,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,0
ATORON #5, 5,482776,2154783,43,09,002,Azcapotzalco,09002,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,0
ATORON #6, 6,482692,2154553,44,09,002,Azcapotzalco,09002,69638,58061,61603,69984,48211,38880,5357,58925,46656,0,57024,117850,632189
CAMPOS ENCANTADO, 7,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,18749,19354,21427,23328,32141,28512,26784,29462,28512,32141,28512,29462,318384
CAMPAMENTO AZCAPOTZALCO, 8,480744,2154714,91,09,002,Azcapotzalco,09002,56246,43546,53568,54432,141955,114048,85709,77674,103680,8035,111456,109814,960163
CLAVERIA, 9,480901,2152320,120,09,002,Azcapotzalco,09002,85709,94349,101779,90720,58925,127008,115171,117850,67392,69638,75168,77674,1081382
DEPORTIVO FERRERIA, 10,482973,2152823,135,09,002,Azcapotzalco,09002,128563,137894,147312,158112,166061,145152,149990,155347,155520,171418,163296,171418,1850083
DEPORTIVO REYNOSA, 11,480463,2157220,136,15,104,Tlalnepantla de Baz,15104,69638,58061,58925,57024,58925,44064,21427,26784,25920,56246,95904,88387,661306
HOGAR Y SEGURIDAD, 12,482157,2152446,173,09,002,Azcapotzalco,09002,72317,55642,66960,64800,64282,72576,96422,83030,95904,96422,95904,99101,963360
JARDIN SAN ALVARO, 13,480945,2151587,196,09,016,Miguel Hidalgo,09016,96422,53222,21427,88128,88387,80352,99101,112493,98496,69638,88128,0,895795
LA LIBERTAD, 14,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,REP,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,0
NUEVA SANTA MARIA, 15,482650,2152058,248,09,002,Azcapotzalco,09002,93744,89510,99101,103680,91066,77760,101779,83030,98496,109814,106272,104458,1158710
OBRERO POPULAR, 16,481957,2152026,250,09,002,Azcapotzalco,09002,72317,154829,166061,163296,168739,163296,168739,58925,0,88387,75168,64282,1344038
PANAMERICANA, 17,484759,2153609,262,09,005,Gustavo A. Madero,09005,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,RP,0
PANTACO #1, 18,482283,2154851,263,09,002,Azcapotzalco,09002,16070,9677,13392,15552,10714,7776,16070,26784,23328,16070,12960,21427,189821
PANTACO #2, 19,482419,2154039,264,09,002,Azcapotzalco,09002,66960,58061,64282,67392,53568,25920,42854,32141,33696,18749,10368,24106,498096
