GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,9810106
2011,,,,,,,,,,,,,,,,,,,,,421385223
,,499,,,,,,,,,,,,,,,,,,,441756951
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,
AHUIZOTLA,1,478008,2153563,13,09,002,Azcapotzalco,09002,123206,94349,107827,104458,107827,91930,101779,107827,101779,94349,105062,104458,1244851
AZCAPOTZALCO #1,2,478498,2156819,81,09,002,Azcapotzalco,09002,133920,128218,146534,141955,146534,128218,141955,146534,141955,128218,146534,120528,1651104
CAMPAMENTO AZCAPOTZALCO,3,480744,2154714,91,09,002,Azcapotzalco,09002,174096,157248,182477,174096,179712,157248,171418,179712,174096,154829,179712,176774,2061418
CAMPO ENCANTADO,4,479219,2153704,93,09,002,Azcapotzalco,09002,69638,123379,163123,158026,163123,140314,155347,143770,158026,142733,160358,160704,1738541
CLAVERIA ,5,480901,2152320,120,09,002,Azcapotzalco,09002,149990,135475,154829,149990,135475,33869,FE,FE,80352,135475,154829,109814,1240099
DEPORTIVO FERRERIA,6,482973,2152823,135,09,002,Azcapotzalco,09002,10714,77414,88474,85709,88474,77414,85709,88474,85709,77414,88474,88387,942365
DEPORTIVO REYNOSA ,7,480463,2157220,136,15,104,Tlalnepantla de Baz,15104,136598,128218,146534,141955,146534,128218,141955,146534,141955,128218,146534,149990,1683245
HOGAR Y SEGURIDAD ,8,482157,2152446,173,09,002,Azcapotzalco,09002,64282,108864,146534,141955,146534,128218,141955,146534,141955,125798,146534,128563,1567728
JARDIN SAN ALVARO ,9,480945,2151587,196,09,016,Miguel Hidalgo,09016,80352,72576,82944,80352,82944,72576,80352,82944,80352,72576,82944,83030,953942
LA PASTORA,10,482599,2159283,207,09,005,Gustavo A. Madero,09005,0,0,0,PA,149299,130637,144634,149299,107136,96768,110592,107136,995501
NUEVA SANTA MARIA ,11,482650,2152058,248,09,002,Azcapotzalco,09002,160704,147571,165888,163382,168653,147571,160704,165888,163382,145152,168653,155347,1912896
OBRERO POPULAR ,12,481957,2152026,250,09,002,Azcapotzalco,09002,53568,94349,124416,123206,124416,108864,120528,124416,117850,108864,124416,42854,1267747
PANTACO #1 ,13,482283,2154851,263,09,002,Azcapotzalco,09002,123206,108864,124416,120528,127181,108864,120528,124416,117850,87091,124416,123206,1410566
PANTACO #2 ,14,482419,2154039,264,09,002,Azcapotzalco,09002,112493,101606,116122,109814,116122,99187,109814,116122,56246,FE,FE,FE,937526
PANTACO #3 ,15,482304,2153389,265,09,002,Azcapotzalco,09002,96422,87091,99533,96422,99533,84672,96422,99533,48211,FE,FE,FE,807840
PARQUE TEZOZOMOC,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,184810,162086,185242,158026,154829,162086,176774,185242,179453,159667,185242,182131,2075587
PETROLERA,17,479198,2154207,313,09,002,Azcapotzalco,09002,104458,130637,149299,144634,149299,130637,144634,149299,144634,130637,149299,104458,1631923
PRADOS DEL ROSARIO,18,478144,2155925,321,09,002,Azcapotzalco,09002,85709,77414,88474,85709,88474,77414,85709,88474,85709,77414,88474,83030,1012003
PRESIDENTE MADERO ,19,478895,2155313,322,09,002,Azcapotzalco,09002,40176,74995,99533,96422,99533,87091,93744,96768,96422,87091,99533,96422,1067731
PRO-HOGAR,20,483605,2152928,323,09,002,Azcapotzalco,09002,RH,RH,RH,RH,RH,RH,RH,35942,99101,87091,88474,83030,393638
PROVIDENCIA ,21,478144,2155181,324,09,002,Azcapotzalco,09002,93744,89510,102298,99101,99533,89510,96422,66355,83030,87091,99533,93744,1099872
SAN JUAN TLIHUACA ,22,478946,2154626,388,09,002,Azcapotzalco,09002,128563,128218,146534,141955,146534,128218,141955,146534,141955,128218,146534,136598,1661818
SAN MARTIN XOCHINAHUAC #1 ,23,479995,2155926,415,09,002,Azcapotzalco,09002,26784,53222,69120,66960,69120,60480,66960,69120,34819,FE,FE,21427,538013
SAN MARTIN XOCHINAHUAC #2 ,24,478781,2155913,416,09,002,Azcapotzalco,09002,101779,91930,105062,101779,102298,89510,99101,105062,99101,89510,102298,96422,1183853
SAN MIGUEL AMANTLA,25,478540,2153210,417,09,002,Azcapotzalco,09002,96422,96768,110592,107136,107827,94349,93744,FE,93744,94349,110592,125885,1131408
SAN PEDRO XALPA #1,26,478126,2154207,421,09,002,Azcapotzalco,09002,DT,DT,DT,DT,RE,RE,RE,RE,RE,RE,RE,RE,0
SAN PEDRO XALPA #2,27,477447,2154531,422,09,002,Azcapotzalco,09002,120528,99187,113357,107136,110592,96768,107136,113357,109814,96768,105062,112493,1292198
SANTA CATARINA AZCAPOTZALCO,28,471527,2154972,438,15,057,Naucalpan de Ju?írez,15057,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0
TRABAJADORES DEL HIERRO ,29,484108,2153620,503,09,002,Azcapotzalco,09002,DC,DC,24883,99101,143770,125798,139277,143770,139277,125798,143770,139277,1224720
VILLAS AZCAPOTZALCO,30,479576,2155276,566,09,002,Azcapotzalco,09002,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,82944,74995,157939
ABASOLO JARDIN ,31,484606,2150489,2,09,015,Cuauht??moc,09015,FS,FS,FS,FS,DC,DC,DC,DC,DC,DC,DC,DC,0
ACACIAS,32,481862,2140960,4,09,014,Benito Ju?írez,09014,RE,RE,RE,RE,RE,RE,RE,RE,FS,72576,94003,158026,324605
ALAMEDA DE SANTA MARIA,33,483553,2150442,15,09,015,Cuauht??moc,09015,203558,157248,171418,152669,154829,149990,34819,77414,160704,72576,94003,158026,1587254
ALAMEDA DE TACUBAYA,34,480571,2145040,16,09,016,Miguel Hidalgo,09016,166061,142733,154829,144634,141005,43546,61603,113357,123206,99187,124416,198202,1512778
ALAMOS JARDIN #1,35,485190,2144841,17,09,014,Benito Ju?írez,09014,88387,82253,94003,85709,88474,99187,112493,107827,96422,FS,FS,FS,854755
ALAMOS JARDIN #2,36,485124,2145120,18,09,014,Benito Ju?írez,09014,117850,106445,121651,115171,121651,53222,FS,FS,FS,FS,FS,FS,635990
ALBERT Y BERLIN,37,485377,2141715,19,09,014,Benito Ju?írez,09014,117850,91930,96768,99101,99533,91930,101779,113357,109814,84672,94003,88387,1189123
ALGARIN,38,485104,2145574,21,09,015,Cuauht??moc,09015,85709,77414,91238,85709,88474,55642,91066,44237,88387,74995,82944,85709,951523
ALTAVISTA,39,479176,2139108,22,09,010,?ülvaro Obreg??n,09010,80352,62899,41472,53568,60826,48384,32141,0,34819,21773,22118,21427,479779
AMADO NERVO ,40,483792,2147228,24,09,015,Cuauht??moc,09015,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
ANTONIO M. ANZA,41,483287,2146238,36,09,015,Cuauht??moc,09015,117850,113702,118886,133920,88474,116122,141955,149299,144634,111283,118886,128563,1483574
ARENAL SAN ANGEL,42,480917,2139244,38,09,003,Coyoac?ín,09003,96422,60480,77414,91066,55296,60480,56246,85709,61603,70157,96768,80352,891994
ARNAIZ ROSENDO ,43,480411,2143138,39,09,014,Benito Ju?írez,09014,PA,PA,44237,104458,113357,55642,5357,38707,74995,36288,88474,109814,671328
AV. D. CASTILLO,44,492091,2156078,78,09,005,Gustavo A. Madero,09005,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0
AXOTLA,45,481716,2140255,80,09,010,?ülvaro Obreg??n,09010,18749,29030,8294,5357,19354,2419,2678,PA,5357,FS,FS,FS,91238
BENJAMIN FRANKLIN,46,480957,2145692,87,09,016,Miguel Hidalgo,09016,37498,29030,33178,34819,38707,19354,40176,38707,34819,33869,33178,24106,397440
CAMPESTRE,47,483850,2140451,92,09,014,Benito Ju?írez,09014,37498,33869,38707,45533,47002,41126,45533,47002,50890,50803,74650,64282,576893
CAMPOS ELISEOS ,48,478852,2148058,94,09,016,Miguel Hidalgo,09016,61603,58061,66355,58925,60826,55642,58925,60826,53568,36288,49766,61603,682387
CASA AMARILLA,49,480065,2145785,98,09,016,Miguel Hidalgo,09016,85709,123379,77414,107136,107827,123379,120528,107827,139277,96768,127181,96422,1312848
CEDROS Y MOLIERE,50,478706,2148642,104,09,016,Miguel Hidalgo,09016,93744,84672,91238,61603,58061,67738,69638,94003,91066,89510,82944,96422,980640
CHAPULTEPEC MORALES,51,480327,2148642,113,09,016,Miguel Hidalgo,09016,128563,147571,146534,141955,149299,87091,96422,80179,24106,137894,146534,160704,1446854
CICERON,52,478413,2148337,119,09,016,Miguel Hidalgo,09016,74995,79834,129946,107136,44237,19354,101779,74650,125885,89510,99533,123206,1070064
DIAGONAL SAN ANTONIO,53,484551,2144735,139,09,014,Benito Ju?írez,09014,91066,36288,121651,72317,85709,94349,107136,157594,74995,19354,41472,56246,958176
DIRECTO #22,54,477696,2134789,144,09,012,Tlalpan,09012,109814,89510,110592,107136,110592,94349,107136,116122,112493,99187,113357,104458,1274746
HUERTAS DEL CARMEN,55,480757,2138752,175,09,003,Coyoac?ín,09003,131242,113702,113357,115171,124416,108864,115171,124416,125885,108864,107827,112493,1401408
IRRIGACION,56,478175,2149700,177,09,016,Miguel Hidalgo,09016,13392,36288,22118,18749,19354,29030,13392,11059,32141,19354,19354,48211,282442
JARDIN DE SAN JACINTO,57,479963,2138791,193,09,010,?ülvaro Obreg??n,09010,64282,43546,33178,16070,35942,60480,FE,FE,5357,45965,38707,37498,381024
JARDINES DEL PEDREGAL #1 ,58,478216,2137221,197,09,010,?ülvaro Obreg??n,09010,FS,45965,49766,PA,11059,31450,FS,PA,PA,PA,PA,PA,138240
JARDINES DEL PEDREGAL #2 ,59,479233,2137630,198,09,010,?ülvaro Obreg??n,09010,5357,4838,2765,5357,5530,2419,PA,PA,PA,PA,PA,PA,26266
JARDINES DEL PEDREGAL #3 ,60,479590,2136089,199,09,003,Coyoac?ín,09003,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,PA,0
JARDINES DEL PEDREGAL #4-B,61,477965,2135930,200,09,010,?ülvaro Obreg??n,09010,50890,26611,30413,45533,11059,19354,13392,55296,50890,58061,63590,64282,489370
JARDINES DEL PEDREGAL #5-A,62,477046,2135344,202,09,010,?ülvaro Obreg??n,09010,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,RN,0
