GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCIÓN DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,28715994,
2014,,,,,,,,,,,,,,,,,,,,,418997351,
,,519,,,,,,,,,,,,,,,,,,,458681917,
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,m3/año,m3/s
AZCAPOTZALCO #1,1,478498,2156819,81,09,002,Azcapotzalco,09002,147312,133056,147312,139968,144634,139968,144634,10714,RH,RH,RH,RH,1007598,0.03195 
CAMPAMENTO AZCAPOTZALCO,2,480744,2154714,91,09,002,Azcapotzalco,09002,179453,162086,179453,173664,179453,173664,179453,179453,173664,179453,173664,179453,2112913,0.06700 
CAMPO ENCANTADO,3,479219,2153704,93,09,002,Azcapotzalco,09002,155347,140314,155347,142560,147312,139968,144634,144634,139968,144634,139968,144634,1739320,0.05515 
CLAVERIA ,4,480901,2152320,120,09,002,Azcapotzalco,09002,144634,130637,144634,139968,144634,82944,144634,144634,139968,144634,139968,144634,1645923,0.05219 
DEPORTIVO FERRERIA,5,482973,2152823,135,09,002,Azcapotzalco,09002,29462,140314,155347,150336,155347,80352,61603,83030,80352,83030,80352,99101,1198626,0.03801 
DEPORTIVO REYNOSA ,6,480463,2157220,136,15,104,Tlalnepantla de Baz,15104,131242,118541,131242,127008,131242,127008,125885,141955,137376,141955,137376,141955,1592785,0.05051 
HOGAR Y SEGURIDAD ,7,482157,2152446,173,09,002,Azcapotzalco,09002,141955,128218,141955,137376,141955,137376,141955,141955,137376,141955,137376,141955,1671407,0.05300 
JARDIN SAN ALVARO ,8,480945,2151587,196,09,016,Miguel Hidalgo,09016,83030,74995,83030,80352,83030,80352,83030,83030,80352,83030,80352,83030,977613,0.03100 
LA PASTORA,9,482599,2159283,207,09,005,Gustavo A. Madero,09005,107136,96768,107136,77760,RH,RH,RH,RH,RH,RH,RH,RH,388800,0.01233 
NUEVA SANTA MARIA ,10,482650,2152058,248,09,002,Azcapotzalco,09002,144634,130637,144634,129600,133920,129600,133920,133920,75168,133920,129600,133920,1553473,0.04926 
OBRERO POPULAR ,11,481957,2152026,250,09,002,Azcapotzalco,09002,123206,111283,123206,119232,123206,119232,123206,123206,119232,123206,119232,123206,1450653,0.04600 
PANTACO #1 ,12,482283,2154851,263,09,002,Azcapotzalco,09002,RH,RH,RH,RH,RH,RH,RH,8035,36288,37498,36288,37498,155607,0.00493 
PANTACO #2 ,13,482419,2154039,264,09,002,Azcapotzalco,09002,29462,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,RH,29462,0.00093 
PANTACO #3 ,14,482304,2153389,265,09,002,Azcapotzalco,09002,99101,89510,58925,FS,FE,44064,99101,72317,95904,99101,95904,99101,853028,0.02705 
