GOBIERNO DEL DISTRITO FEDERAL,,,,,,,,,,,,,,,,,,,,,,
SISTEMA DE AGUAS DE LA CIUDAD DE MEXICO,,,,,,,,,,,,,,,,,,,,,,
DIRECCION DE SECTORIZACIÓN Y AUTOMATIZACIÓN,,,,,,,,,,,,,,,,,,,,,,
SUBDIRECCIÓN DE MACROMEDICIÓN Y CONTROL DE REDES,,,,,,,,,,,,,,,,,,,,,32769059,
2016,,,,,,,,,,,,,,,,,,,,,431098377,
,,519,,,,,,,,,,,,,,,,,,,473667273,
NOMBRE,No.,X,Y,ID,CVE_ENT,CVE_MUN,NOM_MUN,CODE,ENE,FEB,MAR,ABR,MAY,JUN,JUL,AGO,SEP,OCT,NOV,DIC,m3/año,m3/s
AZCAPOTZALCO #1,1,478498,2156819,81,09,002,Azcapotzalco,09002,61603,135302,144634,139968,144634,139968,144634,144634,132192,112493,108864,112493,1521419,0.04824 
CAMPAMENTO AZCAPOTZALCO,2,480744,2154714,91,09,002,Azcapotzalco,09002,179453,167875,179453,173664,179453,173664,179453,152669,145152,128563,132192,125885,1917476,0.06080 
CAMPO ENCANTADO,3,479219,2153704,93,09,002,Azcapotzalco,09002,RH,45101,99101,95904,99101,95904,99101,99101,90720,64282,72576,83030,943921,0.02993 
CLAVERIA ,4,480901,2152320,120,09,002,Azcapotzalco,09002,144634,75168,144634,137376,144634,129600,144634,144634,116640,66960,106272,115171,1470357,0.04662 
DEPORTIVO FERRERIA,5,482973,2152823,135,09,002,Azcapotzalco,09002,99101,120269,128563,124416,128563,124416,128563,128563,116640,104458,49248,48211,1301011,0.04125 
DEPORTIVO REYNOSA ,6,480463,2157220,136,15,104,Tlalnepantla de Baz,15104,RH,17539,128563,132192,136598,132192,136598,37498,25920,109814,111456,107136,1075506,0.03410 
HOGAR Y SEGURIDAD ,7,482157,2152446,173,09,002,Azcapotzalco,09002,141955,132797,141955,137376,139277,137376,141955,139277,124416,112493,111456,109814,1570147,0.04979 
JARDIN SAN ALVARO ,8,480945,2151587,196,09,016,Miguel Hidalgo,09016,88387,82685,85709,85536,88387,85536,88387,88387,77760,69638,69984,72317,982713,0.03116 
LA PASTORA,9,482599,2159283,207,09,005,Gustavo A. Madero,09005,107136,100224,107136,103680,107136,103680,107136,107136,103680,107136,103680,107136,1264896,0.04011 
NUEVA SANTA MARIA ,10,482650,2152058,248,09,002,Azcapotzalco,09002,128563,120269,128563,124416,128563,124416,128563,123206,108864,93744,95904,99101,1404172,0.04453 
OBRERO POPULAR ,11,481957,2152026,250,09,002,Azcapotzalco,09002,93744,87696,85709,72576,93744,90720,93744,48211,FE,66960,69984,FE,803088,0.02547 
PANTACO #1 ,12,482283,2154851,263,09,002,Azcapotzalco,09002,37498,35078,37498,36288,37498,36288,37498,16070,FE,FE,FE,RE,273716,0.00868 
PANTACO #2 ,13,482419,2154039,264,09,002,Azcapotzalco,09002,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,RE,0,0.00000 
PANTACO #3 ,14,482304,2153389,265,09,002,Azcapotzalco,09002,99101,92707,99101,46656,FE,FE,RE,RE,RE,RE,RE,RE,337565,0.01070 
PARQUE TEZOZOMOC,15,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,RH,97718,139277,134784,139277,134784,139277,139277,124416,107136,108864,112493,1377303,0.04367 
PETROLERA,16,479198,2154207,313,09,002,Azcapotzalco,09002,61603,55123,61603,59616,61603,59616,RH,RH,28512,18749,7776,8035,422236,0.01339 
POPOTLA,17,481168,2151220,316,09,016,Miguel Hidalgo,09016,RE,RE,DC,DC,DC,DC,DC,DC,DC,DC,DC,DC,0,0.00000 
PRADOS DEL ROSARIO,18,478144,2155925,321,09,002,Azcapotzalco,09002,83030,77674,83030,80352,83030,80352,83030,53568,49248,42854,41472,42854,800494,0.02538 
PRESIDENTE MADERO ,19,478895,2155313,322,09,002,Azcapotzalco,09002,120528,120269,128563,119232,128563,124416,128563,128563,85536,74995,69984,74995,1304207,0.04136 
PRO-HOGAR,20,483605,2152928,323,09,002,Azcapotzalco,09002,64282,60134,64282,62208,64282,62208,64282,64282,80352,72317,69984,77674,806287,0.02557 
PROVIDENCIA ,21,478144,2155181,324,09,002,Azcapotzalco,09002,133920,82685,88387,85536,88387,85536,88387,88387,77760,69638,67392,72317,1028332,0.03261 
