IDPOZO,ZONE,X,Y,LAYER,ROW,COLUMN,IREFSP,TOFFSET,ROFF,COFF,HOBS,R_Valid,C_Valid
c102_B,4,476142,2134696,2,81,43,-22,0.00E+00,1.08E-01,-2.16E-01,2254.8,1,1
c113_B,4,479674,2133278,2,84,50,-26,0.00E+00,-5.60E-02,-1.52E-01,2243,1,1
c114_B,4,477805,2133256,2,84,46,-26,0.00E+00,-1.20E-02,1.10E-01,2240.9,1,1
c133_B,4,483306,2130008,2,90,57,-16,0.00E+00,4.84E-01,1.12E-01,2228.2,1,1
c134_B,2,491742,2127888,2,95,74,-23,0.00E+00,-2.76E-01,-1.60E-02,2205.3,1,1
c136_B,4,475524,2160683,2,29,42,-24,0.00E+00,1.34E-01,-4.52E-01,2223.7,1,1
c137_B,4,472003,2159110,2,32,35,-17,0.00E+00,2.80E-01,-4.94E-01,2225.6,1,1
c1971,2,487464,2128877,2,93,65,-24,0.00E+00,-2.54E-01,4.28E-01,2208.9,1,1
c1997,2,496097,2128987,2,93,83,-15,0.00E+00,-4.74E-01,-3.06E-01,2425.8,1,1
c2002,2,493529,2128749,2,93,78,-23,0.00E+00,2.00E-03,-4.42E-01,2206.5,1,1
c2004,2,489257,2127870,2,95,69,-20,0.00E+00,-2.40E-01,1.40E-02,2202,1,1
c2193,2,486426,2133160,2,84,63,-23,0.00E+00,1.80E-01,3.52E-01,2218.4,1,1
c2239,2,501480,2127565,2,95,93,-24,0.00E+00,3.70E-01,4.60E-01,2203.7,1,1
c2614,4,482446,2131510,2,87,55,-29,0.00E+00,4.80E-01,3.92E-01,2199.1,1,1
c2616,2,481508,2133326,2,84,54,-29,0.00E+00,-1.52E-01,-4.84E-01,2204.6,1,1
c2755,2,484793,2135981,2,79,60,-22,0.00E+00,-4.62E-01,8.60E-02,2211.5,1,1
c2765,4,478920,2138427,2,74,48,-15,0.00E+00,-3.54E-01,3.40E-01,2217,1,1
c2788,4,477278,2139574,2,71,45,-20,0.00E+00,3.52E-01,5.60E-02,2276.8,1,1
c2798V,2,479560,2135272,2,80,50,-27,0.00E+00,-4.40E-02,-3.80E-01,2236.5,1,1
c511V,2,490400,2158417,2,34,71,-27,0.00E+00,-3.34E-01,3.00E-01,2225.9,1,1
c5821,3,496653,2138122,2,74,84,-25,0.00E+00,2.56E-01,-1.94E-01,2226.4,1,1
c6381,2,483178,2139859,2,71,57,-27,0.00E+00,-2.18E-01,-1.44E-01,2229.8,1,1
c6402,2,479984,2140574,2,69,50,-17,0.00E+00,3.52E-01,4.68E-01,2199.6,1,1
c6432,2,481505,2145294,2,60,54,-25,0.00E+00,-8.80E-02,-4.90E-01,2200.8,1,1
c6695,2,491682,2152243,2,46,74,-27,0.00E+00,1.40E-02,-1.36E-01,2240.8,1,1
c6750,2,486392,2154008,2,42,63,-26,0.00E+00,4.84E-01,2.84E-01,2220.2,1,1
c6757V,2,485140,2151092,2,48,61,-20,0.00E+00,3.16E-01,-2.20E-01,2199,1,1
c6878V,2,489109,2153353,2,44,69,-25,0.00E+00,-2.06E-01,-2.82E-01,2198.7,1,1
c76_B,2,493235,2157321,2,36,77,-25,0.00E+00,-1.42E-01,-3.00E-02,2201.7,1,1
cA_442,2,474038,2154497,2,42,39,-26,0.00E+00,-4.94E-01,-4.24E-01,2200.4,1,1
cA_471,4,474937,2156068,2,38,40,-20,0.00E+00,3.64E-01,3.74E-01,2183.4,1,1
cAO_24,2,483836,2160373,2,30,58,-23,0.00E+00,-2.46E-01,1.72E-01,2214.8,1,1
cB_107,4,472293,2142272,2,66,35,-20,0.00E+00,-4.40E-02,8.60E-02,2386.9,1,1
cB_643,4,481272,2131425,2,88,53,-20,0.00E+00,-3.50E-01,4.40E-02,2224.4,1,1
cB_806,2,478379,2152790,2,45,47,-16,0.00E+00,-8.00E-02,2.58E-01,2167.4,1,1
cBG_99V,2,477239,2160540,2,29,45,-9,0.00E+00,4.20E-01,-2.20E-02,2203.1,1,1
cBO_67,2,480849,2160316,2,30,52,-29,0.00E+00,-1.32E-01,1.98E-01,2201.5,1,1
cBX_50,2,496762,2165077,2,20,84,-9,0.00E+00,3.46E-01,2.40E-02,2207.8,1,1
cBX_50V,2,496559,2164867,2,21,84,-11,0.00E+00,-2.34E-01,-3.82E-01,2193.7,1,1
cBX_60,2,494565,2160579,2,29,80,-28,0.00E+00,3.42E-01,-3.70E-01,2209.5,1,1
cC_333,4,474348,2143614,2,63,39,-26,0.00E+00,2.72E-01,1.96E-01,2325,1,1
cC_411V,2,484975,2160126,2,30,60,-26,0.00E+00,2.48E-01,4.50E-01,2228.4,1,1
cDW_47,2,478931,2154652,2,41,48,-19,0.00E+00,1.96E-01,3.62E-01,2176.6,1,1
cDX_86V,2,478767,2156034,2,38,48,-26,0.00E+00,4.32E-01,3.40E-02,2187,1,1
cE_194,3,506280,2168573,2,13,103,-25,0.00E+00,3.54E-01,6.00E-02,2232.1,1,1
cE_409,2,484273,2146594,2,57,59,-24,0.00E+00,3.12E-01,4.60E-02,2179.8,1,1
cE_598,3,500397,2168384,2,14,91,-15,0.00E+00,-2.68E-01,2.94E-01,2199.6,1,1
cFA_03V,2,480244,2149422,2,52,51,-26,0.00E+00,-3.44E-01,-1.20E-02,2187.2,1,1
cFC_96,2,482318,2153887,2,43,55,-21,0.00E+00,-2.74E-01,1.36E-01,2199.2,1,1
