"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.23499438477E+03   2.22587011719E+03  C_113_B_1   
   2.11840820312E+00  -1.53002929688E+00  C_113_B_2   
   5.00488281250E-01  -2.75000000000E+00  C_113_B_3   
   2.77026367188E+00  -4.33007812500E+00  C_113_B_4   
   3.22558593750E+00  -5.60009765625E+00  C_113_B_5   
   2.56005859375E+00  -6.25000000000E+00  C_113_B_6   
   4.46020507812E+00  -7.97021484375E+00  C_113_B_7   
   3.54248046875E+00  -8.70019531250E+00  C_113_B_8   
   3.07568359375E+00  -5.49023437500E+00  C_113_B_9   
   2.75341796875E+00  -4.15014648438E+00  C_113_B_10  
   2.39794921875E+00   9.76562500000E-03  C_113_B_11  
   1.55957031250E+00   8.31982421875E+00  C_113_B_12  
   1.29736328125E+00   9.10986328125E+00  C_113_B_13  
  -1.32714843750E+00   7.48999023438E+00  C_113_B_14  
  -2.91064453125E+00  -2.58701171875E+01  C_113_B_15  
  -2.88549804688E+00   1.07399902344E+01  C_113_B_16  
  -5.41113281250E+00   1.55598144531E+01  C_113_B_17  
  -6.85131835938E+00   1.31699218750E+01  C_113_B_18  
  -6.05468750000E+00   1.27998046875E+01  C_113_B_19  
  -5.10986328125E+00   1.43598632812E+01  C_113_B_20  
  -5.17187500000E+00   1.43098144531E+01  C_113_B_21  
  -6.35571289062E+00   1.40297851562E+01  C_113_B_22  
  -6.67407226562E+00   8.11987304688E+00  C_113_B_23  
  -6.67456054688E+00   1.11098632812E+01  C_113_B_24  
  -7.97070312500E+00   1.01298828125E+01  C_113_B_25  
  -8.64501953125E+00   9.54980468750E+00  C_113_B_26  
  -9.82031250000E+00   6.89990234375E+00  C_113_B_27  
   2.21887841797E+03   2.21698999023E+03  C_136_B_1   
   2.27539062500E-01   2.88012695312E+00  C_136_B_2   
   4.15771484375E-01   1.16992187500E+00  C_136_B_3   
  -4.63378906250E-01   6.23999023438E+00  C_136_B_4   
  -7.82397460938E+00   6.55004882812E+00  C_136_B_5   
  -1.26245117188E+01   1.07299804688E+01  C_136_B_6   
  -1.60466308594E+01   8.55004882812E+00  C_136_B_7   
  -1.58903808594E+01   7.14990234375E+00  C_136_B_8   
  -1.67287597656E+01   7.03002929688E+00  C_136_B_9   
  -1.78378906250E+01   2.74599609375E+01  C_136_B_10  
  -1.89194335938E+01   5.12011718750E+00  C_136_B_11  
  -1.97458496094E+01   1.90000000000E+01  C_136_B_12  
  -2.11311035156E+01   1.81101074219E+01  C_136_B_13  
  -2.11225585938E+01   1.13100585938E+01  C_136_B_14  
  -2.09948730469E+01   1.05500488281E+01  C_136_B_15  
   2.22015332031E+03   2.21755004883E+03  C_2002_1    
   3.04931640625E-01  -2.03002929688E+00  C_2002_2    
   1.29638671875E-01  -3.80004882812E+00  C_2002_3    
   2.98095703125E-01  -5.27001953125E+00  C_2002_4    
  -1.19628906250E-02  -7.07006835938E+00  C_2002_5    
  -2.39013671875E-01  -7.30004882812E+00  C_2002_6    
  -1.97753906250E-02  -9.57006835938E+00  C_2002_7    
  -6.57226562500E-01  -1.01601562500E+01  C_2002_8    
  -7.68798828125E-01  -1.07399902344E+01  C_2002_9    
  -5.46875000000E-01  -1.15700683594E+01  C_2002_10   
  -1.06176757812E+00  -1.20800781250E+01  C_2002_11   
  -1.82031250000E+00  -1.46000976562E+01  C_2002_12   
  -2.29687500000E+00  -1.32399902344E+01  C_2002_13   
  -2.37744140625E+00  -9.05004882812E+00  C_2002_14   
  -4.06420898438E+00  -9.05004882812E+00  C_2002_15   
  -5.14746093750E+00  -9.05004882812E+00  C_2002_16   
  -5.73095703125E+00  -1.73300781250E+01  C_2002_17   
  -6.05566406250E+00  -1.36701660156E+01  C_2002_18   
  -6.67602539062E+00  -1.44499511719E+01  C_2002_19   
  -7.32446289062E+00  -1.50500488281E+01  C_2002_20   
  -6.95922851562E+00  -1.54499511719E+01  C_2002_21   
  -7.17114257812E+00  -1.60100097656E+01  C_2002_22   
  -7.53637695312E+00  -1.67800292969E+01  C_2002_23   
  -7.37792968750E+00  -1.74499511719E+01  C_2002_24   
  -7.11914062500E+00  -1.83200683594E+01  C_2002_25   
  -7.67700195312E+00  -1.84499511719E+01  C_2002_26   
  -8.08886718750E+00  -1.92199707031E+01  C_2002_27   
  -8.02807617188E+00  -2.18100585938E+01  C_2002_28   
   2.21861669922E+03   2.25478002930E+03  C_2004_1    
   2.27539062500E-01  -2.44995117188E+00  C_2004_2    
   2.68066406250E-01  -4.68994140625E+00  C_2004_3    
  -7.15332031250E-02  -7.12011718750E+00  C_2004_4    
  -3.64257812500E-01  -9.40014648438E+00  C_2004_5    
  -2.49023437500E-01  -9.38012695312E+00  C_2004_6    
