"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.23787597656E+03   2.22587011719E+03  C_113_B_1   
   3.41577148438E+00  -1.53002929688E+00  C_113_B_2   
   2.92041015625E+00  -2.75000000000E+00  C_113_B_3   
   6.19580078125E+00  -4.33007812500E+00  C_113_B_4   
   7.61914062500E+00  -5.60009765625E+00  C_113_B_5   
   8.02612304688E+00  -6.25000000000E+00  C_113_B_6   
   1.06662597656E+01  -7.97021484375E+00  C_113_B_7   
   1.07380371094E+01  -8.70019531250E+00  C_113_B_8   
   1.12512207031E+01  -5.49023437500E+00  C_113_B_9   
   1.19748535156E+01  -4.15014648438E+00  C_113_B_10  
   1.24423828125E+01   9.76562500000E-03  C_113_B_11  
   1.36682128906E+01   8.31982421875E+00  C_113_B_12  
   1.44970703125E+01   9.10986328125E+00  C_113_B_13  
   1.40971679688E+01   7.48999023438E+00  C_113_B_14  
   1.39226074219E+01  -2.58701171875E+01  C_113_B_15  
   1.48486328125E+01   1.07399902344E+01  C_113_B_16  
   1.34377441406E+01   1.55598144531E+01  C_113_B_17  
   1.30480957031E+01   1.31699218750E+01  C_113_B_18  
   1.47316894531E+01   1.27998046875E+01  C_113_B_19  
   1.65065917969E+01   1.43598632812E+01  C_113_B_20  
   1.72744140625E+01   1.43098144531E+01  C_113_B_21  
   1.69221191406E+01   1.40297851562E+01  C_113_B_22  
   1.73256835938E+01   8.11987304688E+00  C_113_B_23  
   1.80375976562E+01   1.11098632812E+01  C_113_B_24  
   1.74062500000E+01   1.01298828125E+01  C_113_B_25  
   1.74470214844E+01   9.54980468750E+00  C_113_B_26  
   1.70595703125E+01   6.89990234375E+00  C_113_B_27  
   2.22751416016E+03   2.21698999023E+03  C_136_B_1   
   1.49536132812E+00   2.88012695312E+00  C_136_B_2   
   2.97705078125E+00   1.16992187500E+00  C_136_B_3   
   3.81860351562E+00   6.23999023438E+00  C_136_B_4   
  -6.10839843750E-01   6.55004882812E+00  C_136_B_5   
  -1.52246093750E+00   1.07299804688E+01  C_136_B_6   
  -1.66674804688E+00   8.55004882812E+00  C_136_B_7   
  -4.35791015625E-01   7.14990234375E+00  C_136_B_8   
   2.59765625000E-01   7.03002929688E+00  C_136_B_9   
   4.70214843750E-01   2.74599609375E+01  C_136_B_10  
   5.09277343750E-01   5.12011718750E+00  C_136_B_11  
   8.91357421875E-01   1.90000000000E+01  C_136_B_12  
   1.39453125000E+00   1.81101074219E+01  C_136_B_13  
   4.02880859375E+00   1.13100585938E+01  C_136_B_14  
   5.15014648438E+00   1.05500488281E+01  C_136_B_15  
   2.22320581055E+03   2.21755004883E+03  C_2002_1    
   1.55200195312E+00  -2.03002929688E+00  C_2002_2    
   2.20751953125E+00  -3.80004882812E+00  C_2002_3    
   3.51123046875E+00  -5.27001953125E+00  C_2002_4    
   4.20166015625E+00  -7.07006835938E+00  C_2002_5    
   4.96704101562E+00  -7.30004882812E+00  C_2002_6    
   6.12573242188E+00  -9.57006835938E+00  C_2002_7    
   6.43627929688E+00  -1.01601562500E+01  C_2002_8    
   7.24487304688E+00  -1.07399902344E+01  C_2002_9    
   8.47973632812E+00  -1.15700683594E+01  C_2002_10   
   8.81567382812E+00  -1.20800781250E+01  C_2002_11   
   9.21752929688E+00  -1.46000976562E+01  C_2002_12   
