"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.23491235352E+03   2.22587011719E+03  C_113_B_1   
   1.97412109375E+00  -1.53002929688E+00  C_113_B_2   
   2.16552734375E-01  -2.75000000000E+00  C_113_B_3   
   2.24780273438E+00  -4.33007812500E+00  C_113_B_4   
   2.46240234375E+00  -5.60009765625E+00  C_113_B_5   
   1.54003906250E+00  -6.25000000000E+00  C_113_B_6   
   3.17407226562E+00  -7.97021484375E+00  C_113_B_7   
   1.97729492188E+00  -8.70019531250E+00  C_113_B_8   
   1.22021484375E+00  -5.49023437500E+00  C_113_B_9   
   5.49316406250E-01  -4.15014648438E+00  C_113_B_10  
  -5.93261718750E-02   9.76562500000E-03  C_113_B_11  
  -1.48266601562E+00   8.31982421875E+00  C_113_B_12  
  -2.06176757812E+00   9.10986328125E+00  C_113_B_13  
  -5.25366210938E+00   7.48999023438E+00  C_113_B_14  
  -7.20068359375E+00  -2.58701171875E+01  C_113_B_15  
  -7.46215820312E+00   1.07399902344E+01  C_113_B_16  
  -1.02358398438E+01   1.55598144531E+01  C_113_B_17  
  -1.19665527344E+01   1.31699218750E+01  C_113_B_18  
  -1.14699707031E+01   1.27998046875E+01  C_113_B_19  
  -1.08271484375E+01   1.43598632812E+01  C_113_B_20  
  -1.11921386719E+01   1.43098144531E+01  C_113_B_21  
  -1.26743164062E+01   1.40297851562E+01  C_113_B_22  
  -1.32919921875E+01   8.11987304688E+00  C_113_B_23  
  -1.36071777344E+01   1.11098632812E+01  C_113_B_24  
  -1.51894531250E+01   1.01298828125E+01  C_113_B_25  
  -1.61684570312E+01   9.54980468750E+00  C_113_B_26  
  -1.76484375000E+01   6.89990234375E+00  C_113_B_27  
   2.21775195312E+03   2.21698999023E+03  C_136_B_1   
  -6.88476562500E-02   2.88012695312E+00  C_136_B_2   
  -2.05322265625E-01   1.16992187500E+00  C_136_B_3   
  -1.50292968750E+00   6.23999023438E+00  C_136_B_4   
  -9.19750976562E+00   6.55004882812E+00  C_136_B_5   
  -1.48232421875E+01   1.07299804688E+01  C_136_B_6   
  -1.91271972656E+01   8.55004882812E+00  C_136_B_7   
  -1.94003906250E+01   7.14990234375E+00  C_136_B_8   
  -2.07807617188E+01   7.03002929688E+00  C_136_B_9   
  -2.23337402344E+01   2.74599609375E+01  C_136_B_10  
  -2.37880859375E+01   5.12011718750E+00  C_136_B_11  
  -2.50649414062E+01   1.90000000000E+01  C_136_B_12  
  -2.69287109375E+01   1.81101074219E+01  C_136_B_13  
  -2.78688964844E+01   1.13100585938E+01  C_136_B_14  
  -2.82041015625E+01   1.05500488281E+01  C_136_B_15  
   2.22000878906E+03   2.21755004883E+03  C_2002_1    
   1.05712890625E-01  -2.03002929688E+00  C_2002_2    
  -2.48779296875E-01  -3.80004882812E+00  C_2002_3    
  -3.74511718750E-01  -5.27001953125E+00  C_2002_4    
  -9.72412109375E-01  -7.07006835938E+00  C_2002_5    
  -1.50024414062E+00  -7.30004882812E+00  C_2002_6    
  -1.59130859375E+00  -9.57006835938E+00  C_2002_7    
  -2.54296875000E+00  -1.01601562500E+01  C_2002_8    
  -2.97680664062E+00  -1.07399902344E+01  C_2002_9    
  -3.14355468750E+00  -1.15700683594E+01  C_2002_10   
  -3.92675781250E+00  -1.20800781250E+01  C_2002_11   
  -5.01245117188E+00  -1.46000976562E+01  C_2002_12   
  -5.81884765625E+00  -1.32399902344E+01  C_2002_13   
  -6.25585937500E+00  -9.05004882812E+00  C_2002_14   
  -8.57080078125E+00  -9.05004882812E+00  C_2002_15   
  -1.00507812500E+01  -9.05004882812E+00  C_2002_16   
  -1.09440917969E+01  -1.73300781250E+01  C_2002_17   
  -1.15314941406E+01  -1.36701660156E+01  C_2002_18   
  -1.24670410156E+01  -1.44499511719E+01  C_2002_19   
  -1.34316406250E+01  -1.50500488281E+01  C_2002_20   
  -1.34013671875E+01  -1.54499511719E+01  C_2002_21   
  -1.39260253906E+01  -1.60100097656E+01  C_2002_22   
  -1.46059570312E+01  -1.67800292969E+01  C_2002_23   
  -1.47695312500E+01  -1.74499511719E+01  C_2002_24   
  -1.48442382812E+01  -1.83200683594E+01  C_2002_25   
  -1.56933593750E+01  -1.84499511719E+01  C_2002_26   
  -1.64296875000E+01  -1.92199707031E+01  C_2002_27   
  -1.66877441406E+01  -2.18100585938E+01  C_2002_28   
   2.21848364258E+03   2.25478002930E+03  C_2004_1    
   3.58886718750E-02  -2.44995117188E+00  C_2004_2    
  -3.86962890625E-01  -4.68994140625E+00  C_2004_3    
  -1.00952148438E+00  -7.12011718750E+00  C_2004_4    
  -1.59912109375E+00  -9.40014648438E+00  C_2004_5    
  -1.79077148438E+00  -9.38012695312E+00  C_2004_6    
  -3.29711914062E+00  -1.24199218750E+01  C_2004_7    
  -3.37084960938E+00  -1.19399414062E+01  C_2004_8    
  -5.59741210938E+00  -1.46101074219E+01  C_2004_9    
  -5.80541992188E+00  -1.15200195312E+01  C_2004_10   
  -8.39379882812E+00  -1.71799316406E+01  C_2004_11   
  -1.07324218750E+01  -1.79399414062E+01  C_2004_12   
  -1.12341308594E+01  -1.96401367188E+01  C_2004_13   
  -1.22255859375E+01  -2.02700195312E+01  C_2004_14   
  -1.30986328125E+01  -2.09399414062E+01  C_2004_15   
  -1.29621582031E+01  -1.52600097656E+01  C_2004_16   
  -1.34489746094E+01  -1.80400390625E+01  C_2004_17   
  -1.40817871094E+01  -1.80800781250E+01  C_2004_18   
  -1.42426757812E+01  -1.85800781250E+01  C_2004_19   
  -1.41936035156E+01  -1.96501464844E+01  C_2004_20   
  -1.51228027344E+01  -1.87700195312E+01  C_2004_21   
  -1.61164550781E+01  -2.33400878906E+01  C_2004_22   
   2.22374291992E+03   2.22984008789E+03  C_2157_V_1  
   3.77197265625E-01  -2.15014648438E+00  C_2157_V_2  
  -4.29687500000E-02  -3.86010742188E+00  C_2157_V_3  
  -1.25244140625E-01  -5.32006835938E+00  C_2157_V_4  
  -6.26220703125E-01  -7.30004882812E+00  C_2157_V_5  
  -1.17382812500E+00  -8.32006835938E+00  C_2157_V_6  
  -9.93164062500E-01  -9.40014648438E+00  C_2157_V_7  
  -1.66357421875E+00  -1.03200683594E+01  C_2157_V_8  
  -2.05664062500E+00  -1.07399902344E+01  C_2157_V_9  
  -2.36547851562E+00  -1.07600097656E+01  C_2157_V_10 
  -5.03369140625E+00  -1.34799804688E+01  C_2157_V_11 
  -6.02587890625E+00  -1.33400878906E+01  C_2157_V_12 
  -6.87036132812E+00  -1.47399902344E+01  C_2157_V_13 
  -8.74780273438E+00  -2.24401855469E+01  C_2157_V_14 
  -1.00556640625E+01  -1.10700683594E+01  C_2157_V_15 
  -1.10649414062E+01  -1.74799804688E+01  C_2157_V_16 
  -1.18193359375E+01  -1.77001953125E+01  C_2157_V_17 
  -1.26706542969E+01  -2.04799804688E+01  C_2157_V_18 
  -1.38525390625E+01  -1.41701660156E+01  C_2157_V_19 
  -1.41413574219E+01  -2.03000488281E+01  C_2157_V_20 
  -1.47497558594E+01  -1.91701660156E+01  C_2157_V_21 
  -1.54848632812E+01  -2.34401855469E+01  C_2157_V_22 
  -1.57907714844E+01  -2.36301269531E+01  C_2157_V_23 
  -1.60036621094E+01  -2.39699707031E+01  C_2157_V_24 
  -1.67084960938E+01  -1.66701660156E+01  C_2157_V_25 
  -1.73942871094E+01  -2.50400390625E+01  C_2157_V_26 
  -1.78276367188E+01  -1.70000000000E+01  C_2157_V_27 
   2.21629907227E+03   2.19961010742E+03  C_2193_1    
  -1.11206054688E+00  -1.09602050781E+01  C_2193_2    
  -1.88085937500E+00  -1.19802246094E+01  C_2193_3    
  -3.03686523438E+00  -1.16301269531E+01  C_2193_4    
  -4.19042968750E+00  -1.44001464844E+01  C_2193_5    
  -4.69873046875E+00  -1.54602050781E+01  C_2193_6    
  -4.96142578125E+00  -1.88901367188E+01  C_2193_7    
  -6.34912109375E+00  -1.56201171875E+01  C_2193_8    
  -6.30444335938E+00  -1.50100097656E+01  C_2193_9    
  -9.19848632812E+00  -2.03701171875E+01  C_2193_10   
  -1.20986328125E+01  -3.57302246094E+01  C_2193_11   
  -1.37795410156E+01  -3.73500976562E+01  C_2193_12   
  -1.45136718750E+01  -3.85400390625E+01  C_2193_13   
  -1.44638671875E+01  -4.22700195312E+01  C_2193_14   
  -1.54685058594E+01  -4.35200195312E+01  C_2193_15   
  -1.61804199219E+01  -4.45300292969E+01  C_2193_16   
  -1.66584472656E+01  -4.53200683594E+01  C_2193_17   
   2.22833862305E+03   2.24295996094E+03  C_2239_1    
   6.24511718750E-01  -2.10986328125E+00  C_2239_2    
   1.64062500000E-01  -3.91992187500E+00  C_2239_3    
   1.14013671875E-01  -5.34985351562E+00  C_2239_4    
  -3.67187500000E-01  -7.40991210938E+00  C_2239_5    
  -9.59960937500E-01  -8.56005859375E+00  C_2239_6    
  -9.31884765625E-01  -9.59985351562E+00  C_2239_7    
  -1.33007812500E+00  -1.03999023438E+01  C_2239_8    
