"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.23629125977E+03   2.22587011719E+03  C_113_B_1   
   2.47070312500E+00  -1.53002929688E+00  C_113_B_2   
   1.27856445312E+00  -2.75000000000E+00  C_113_B_3   
   3.56127929688E+00  -4.33007812500E+00  C_113_B_4   
   4.09082031250E+00  -5.60009765625E+00  C_113_B_5   
   3.61157226562E+00  -6.25000000000E+00  C_113_B_6   
   5.37890625000E+00  -7.97021484375E+00  C_113_B_7   
   4.56762695312E+00  -8.70019531250E+00  C_113_B_8   
   4.19091796875E+00  -5.49023437500E+00  C_113_B_9   
   3.88232421875E+00  -4.15014648438E+00  C_113_B_10  
   3.61303710938E+00   9.76562500000E-03  C_113_B_11  
   3.19873046875E+00   8.31982421875E+00  C_113_B_12  
   3.16650390625E+00   9.10986328125E+00  C_113_B_13  
   1.26562500000E+00   7.48999023438E+00  C_113_B_14  
   1.25732421875E-01  -2.58701171875E+01  C_113_B_15  
   3.07373046875E-01   1.07399902344E+01  C_113_B_16  
  -1.73583984375E+00   1.55598144531E+01  C_113_B_17  
  -2.85058593750E+00   1.31699218750E+01  C_113_B_18  
  -1.90429687500E+00   1.27998046875E+01  C_113_B_19  
  -7.76367187500E-01   1.43598632812E+01  C_113_B_20  
  -5.27343750000E-01   1.43098144531E+01  C_113_B_21  
  -1.30761718750E+00   1.40297851562E+01  C_113_B_22  
  -1.30029296875E+00   8.11987304688E+00  C_113_B_23  
  -9.42626953125E-01   1.11098632812E+01  C_113_B_24  
  -1.79589843750E+00   1.01298828125E+01  C_113_B_25  
  -2.10644531250E+00   9.54980468750E+00  C_113_B_26  
  -2.84399414062E+00   6.89990234375E+00  C_113_B_27  
   2.22064379883E+03   2.21698999023E+03  C_136_B_1   
   1.87988281250E-01   2.88012695312E+00  C_136_B_2   
   3.28125000000E-01   1.16992187500E+00  C_136_B_3   
  -4.05761718750E-01   6.23999023438E+00  C_136_B_4   
  -5.97631835938E+00   6.55004882812E+00  C_136_B_5   
  -9.20141601562E+00   1.07299804688E+01  C_136_B_6   
  -1.15261230469E+01   8.55004882812E+00  C_136_B_7   
  -1.13010253906E+01   7.14990234375E+00  C_136_B_8   
  -1.18571777344E+01   7.03002929688E+00  C_136_B_9   
  -1.26445312500E+01   2.74599609375E+01  C_136_B_10  
  -1.34262695312E+01   5.12011718750E+00  C_136_B_11  
  -1.40129394531E+01   1.90000000000E+01  C_136_B_12  
  -1.45314941406E+01   1.81101074219E+01  C_136_B_13  
  -1.36933593750E+01   1.13100585938E+01  C_136_B_14  
  -1.32854003906E+01   1.05500488281E+01  C_136_B_15  
   2.22103491211E+03   2.21755004883E+03  C_2002_1    
   5.65185546875E-01  -2.03002929688E+00  C_2002_2    
   5.26611328125E-01  -3.80004882812E+00  C_2002_3    
   8.30322265625E-01  -5.27001953125E+00  C_2002_4    
   6.31835937500E-01  -7.07006835938E+00  C_2002_5    
   5.04638671875E-01  -7.30004882812E+00  C_2002_6    
   7.71240234375E-01  -9.57006835938E+00  C_2002_7    
   2.12646484375E-01  -1.01601562500E+01  C_2002_8    
   1.50634765625E-01  -1.07399902344E+01  C_2002_9    
   3.50097656250E-01  -1.15700683594E+01  C_2002_10   
  -1.02539062500E-02  -1.20800781250E+01  C_2002_11   
  -4.59472656250E-01  -1.46000976562E+01  C_2002_12   
  -6.65527343750E-01  -1.32399902344E+01  C_2002_13   
  -4.97558593750E-01  -9.05004882812E+00  C_2002_14   
  -1.50927734375E+00  -9.05004882812E+00  C_2002_15   
  -2.18383789062E+00  -9.05004882812E+00  C_2002_16   
  -2.49633789062E+00  -1.73300781250E+01  C_2002_17   
  -2.61694335938E+00  -1.36701660156E+01  C_2002_18   
  -2.94604492188E+00  -1.44499511719E+01  C_2002_19   
  -3.20556640625E+00  -1.50500488281E+01  C_2002_20   
  -2.50000000000E+00  -1.54499511719E+01  C_2002_21   
  -2.36596679688E+00  -1.60100097656E+01  C_2002_22   
  -2.38012695312E+00  -1.67800292969E+01  C_2002_23   
  -1.89990234375E+00  -1.74499511719E+01  C_2002_24   
  -1.34082031250E+00  -1.83200683594E+01  C_2002_25   
  -1.53295898438E+00  -1.84499511719E+01  C_2002_26   
  -1.58789062500E+00  -1.92199707031E+01  C_2002_27   
  -1.23925781250E+00  -2.18100585938E+01  C_2002_28   
   2.21961279297E+03   2.25478002930E+03  C_2004_1    
   5.21240234375E-01  -2.44995117188E+00  C_2004_2    
   8.67919921875E-01  -4.68994140625E+00  C_2004_3    
   6.58935546875E-01  -7.12011718750E+00  C_2004_4    
   4.90234375000E-01  -9.40014648438E+00  C_2004_5    
   6.74072265625E-01  -9.38012695312E+00  C_2004_6    
  -3.95507812500E-02  -1.24199218750E+01  C_2004_7    
   2.45117187500E-01  -1.19399414062E+01  C_2004_8    
  -3.65478515625E-01  -1.46101074219E+01  C_2004_9    
   1.02539062500E-02  -1.15200195312E+01  C_2004_10   
  -1.23999023438E+00  -1.71799316406E+01  C_2004_11   
  -2.18847656250E+00  -1.79399414062E+01  C_2004_12   
  -2.23168945312E+00  -1.96401367188E+01  C_2004_13   
  -2.61499023438E+00  -2.02700195312E+01  C_2004_14   
  -2.77661132812E+00  -2.09399414062E+01  C_2004_15   
  -1.98071289062E+00  -1.52600097656E+01  C_2004_16   
  -1.80639648438E+00  -1.80400390625E+01  C_2004_17   
  -1.77539062500E+00  -1.80800781250E+01  C_2004_18   
  -1.29199218750E+00  -1.85800781250E+01  C_2004_19   
  -6.25732421875E-01  -1.96501464844E+01  C_2004_20   
  -8.85498046875E-01  -1.87700195312E+01  C_2004_21   
  -5.82275390625E-01  -2.33400878906E+01  C_2004_22   
   2.22458471680E+03   2.22984008789E+03  C_2157_V_1  
   7.83203125000E-01  -2.15014648438E+00  C_2157_V_2  
   6.51123046875E-01  -3.86010742188E+00  C_2157_V_3  
   9.71679687500E-01  -5.32006835938E+00  C_2157_V_4  
   8.33984375000E-01  -7.30004882812E+00  C_2157_V_5  
   6.56494140625E-01  -8.32006835938E+00  C_2157_V_6  
   1.14892578125E+00  -9.40014648438E+00  C_2157_V_7  
   8.32519531250E-01  -1.03200683594E+01  C_2157_V_8  
   7.87597656250E-01  -1.07399902344E+01  C_2157_V_9  
   8.58886718750E-01  -1.07600097656E+01  C_2157_V_10 
  -6.65771484375E-01  -1.34799804688E+01  C_2157_V_11 
  -1.04516601562E+00  -1.33400878906E+01  C_2157_V_12 
  -1.25000000000E+00  -1.47399902344E+01  C_2157_V_13 
  -1.89013671875E+00  -2.24401855469E+01  C_2157_V_14 
  -2.42163085938E+00  -1.10700683594E+01  C_2157_V_15 
  -2.84570312500E+00  -1.74799804688E+01  C_2157_V_16 
  -3.11230468750E+00  -1.77001953125E+01  C_2157_V_17 
  -3.36767578125E+00  -2.04799804688E+01  C_2157_V_18 
  -3.85131835938E+00  -1.41701660156E+01  C_2157_V_19 
  -3.42968750000E+00  -2.03000488281E+01  C_2157_V_20 
  -3.37915039062E+00  -1.91701660156E+01  C_2157_V_21 
  -3.45703125000E+00  -2.34401855469E+01  C_2157_V_22 
  -3.11035156250E+00  -2.36301269531E+01  C_2157_V_23 
  -2.65795898438E+00  -2.39699707031E+01  C_2157_V_24 
  -2.73535156250E+00  -1.66701660156E+01  C_2157_V_25 
  -2.75341796875E+00  -2.50400390625E+01  C_2157_V_26 
  -2.57006835938E+00  -1.70000000000E+01  C_2157_V_27 
   2.21752441406E+03   2.19961010742E+03  C_2193_1    
   2.35595703125E-01  -1.09602050781E+01  C_2193_2    
  -9.17968750000E-02  -1.19802246094E+01  C_2193_3    
  -4.13085937500E-01  -1.16301269531E+01  C_2193_4    
  -1.12573242188E+00  -1.44001464844E+01  C_2193_5    
  -1.24047851562E+00  -1.54602050781E+01  C_2193_6    
  -7.62451171875E-01  -1.88901367188E+01  C_2193_7    
  -9.53857421875E-01  -1.56201171875E+01  C_2193_8    
  -3.52050781250E-01  -1.50100097656E+01  C_2193_9    
  -1.85937500000E+00  -2.03701171875E+01  C_2193_10   
  -2.87988281250E+00  -3.57302246094E+01  C_2193_11   
  -3.24462890625E+00  -3.73500976562E+01  C_2193_12   
  -2.01269531250E+00  -3.85400390625E+01  C_2193_13   
  -7.11914062500E-01  -4.22700195312E+01  C_2193_14   
  -1.02832031250E+00  -4.35200195312E+01  C_2193_15   
  -1.05004882812E+00  -4.45300292969E+01  C_2193_16   
  -8.82080078125E-01  -4.53200683594E+01  C_2193_17   
   2.22894628906E+03   2.24295996094E+03  C_2239_1    
   9.76562500000E-01  -2.10986328125E+00  C_2239_2    
   7.74414062500E-01  -3.91992187500E+00  C_2239_3    
   1.10205078125E+00  -5.34985351562E+00  C_2239_4    
   9.50195312500E-01  -7.40991210938E+00  C_2239_5    
   6.99951171875E-01  -8.56005859375E+00  C_2239_6    
   1.03881835938E+00  -9.59985351562E+00  C_2239_7    
   9.57031250000E-01  -1.03999023438E+01  C_2239_8    
   9.27734375000E-01  -1.09399414062E+01  C_2239_9    
   8.71093750000E-01  -1.17399902344E+01  C_2239_10   
  -2.71484375000E-01  -1.24399414062E+01  C_2239_11   
  -1.23559570312E+00  -1.29499511719E+01  C_2239_12   
  -1.80566406250E+00  -1.33798828125E+01  C_2239_13   
  -2.33325195312E+00  -3.91992187500E+00  C_2239_14   
  -2.76245117188E+00  -1.40500488281E+01  C_2239_15   
  -3.99829101562E+00  -1.32199707031E+01  C_2239_16   
  -4.23266601562E+00  -1.42700195312E+01  C_2239_17   
  -4.94946289062E+00  -1.44899902344E+01  C_2239_18   
  -4.78515625000E+00  -1.33200683594E+01  C_2239_19   
  -4.81958007812E+00  -1.49799804688E+01  C_2239_20   
  -4.94287109375E+00  -1.58100585938E+01  C_2239_21   
  -4.76684570312E+00  -1.59499511719E+01  C_2239_22   
  -4.40551757812E+00  -1.68300781250E+01  C_2239_23   
  -4.44189453125E+00  -1.71899414062E+01  C_2239_24   
  -4.37573242188E+00  -1.72199707031E+01  C_2239_25   
  -4.35327148438E+00  -1.85898437500E+01  C_2239_26   
   2.26590527344E+03   2.20389990234E+03  C_245V2_1   
   8.49609375000E-02  -1.36987304688E+00  C_245V2_2   
   4.62841796875E+00  -2.65991210938E+00  C_245V2_3   
   6.31494140625E+00  -3.34985351562E+00  C_245V2_4   
  -1.54003906250E+00   5.97021484375E+00  C_245V2_5   
   1.43481445312E+00  -4.00000000000E+00  C_245V2_6   
  -7.80517578125E-01   7.27001953125E+00  C_245V2_7   
  -1.22583007812E+00  -4.10986328125E+00  C_245V2_8   
   2.59936523438E+00   4.71020507812E+00  C_245V2_9   
  -3.60864257812E+00   2.95019531250E+00  C_245V2_10  
   2.21629858398E+03   2.20075000000E+03  C_2599_1    
   7.71484375000E-02  -2.56005859375E+00  C_2599_2    
  -3.85742187500E-02  -4.31005859375E+00  C_2599_3    
  -4.66308593750E-02  -6.63989257812E+00  C_2599_4    
  -3.55468750000E-01  -8.82006835938E+00  C_2599_5    
  -5.46875000000E-01  -1.01899414062E+01  C_2599_6    
  -7.77832031250E-01  -1.13798828125E+01  C_2599_7    
  -1.35229492188E+00  -1.28300781250E+01  C_2599_8    
  -1.47143554688E+00  -1.45000000000E+01  C_2599_9    
  -1.11010742188E+00  -1.55600585938E+01  C_2599_10   
  -9.91455078125E-01  -1.61799316406E+01  C_2599_11   
  -9.01367187500E-01  -1.69899902344E+01  C_2599_12   
  -5.63964843750E-01  -1.78300781250E+01  C_2599_13   
  -1.98242187500E+00  -1.91899414062E+01  C_2599_14   
  -3.06542968750E+00  -2.67399902344E+01  C_2599_15   
  -3.49340820312E+00  -2.49799804688E+01  C_2599_16   
  -3.33593750000E+00  -2.51201171875E+01  C_2599_17   
  -2.61645507812E+00  -2.34899902344E+01  C_2599_18   
  -2.23291015625E+00  -2.60100097656E+01  C_2599_19   
  -2.03466796875E+00  -2.65000000000E+01  C_2599_20   
  -1.62329101562E+00  -2.61899414062E+01  C_2599_21   
  -5.01708984375E-01  -2.81298828125E+01  C_2599_22   
  -9.75341796875E-01  -2.92700195312E+01  C_2599_23   
  -9.23583984375E-01  -3.05800781250E+01  C_2599_24   
  -7.55859375000E-01  -3.12299804688E+01  C_2599_25   
   2.21768579102E+03   2.22822998047E+03  C_2616_1    
   2.18017578125E-01  -1.13989257812E+00  C_2616_2    
   1.63330078125E-01  -3.35986328125E+00  C_2616_3    
   6.12792968750E-02  -4.31005859375E+00  C_2616_4    
  -2.03613281250E-01  -6.35986328125E+00  C_2616_5    
  -4.98779296875E-01  -7.37988281250E+00  C_2616_6    
  -5.59082031250E-01  -9.31005859375E+00  C_2616_7    
  -1.34252929688E+00  -8.71997070312E+00  C_2616_8    
  -1.02221679688E+00  -7.35986328125E+00  C_2616_9    
  -8.80859375000E-01  -9.54003906250E+00  C_2616_10   
  -3.00048828125E-01   3.42993164062E+00  C_2616_11   
  -1.71655273438E+00   4.94995117188E+00  C_2616_12   
  -2.91113281250E+00  -1.36999511719E+01  C_2616_13   
  -3.26049804688E+00   5.01000976562E+00  C_2616_14   
  -2.46191406250E+00   4.04003906250E+00  C_2616_15   
  -1.96508789062E+00   2.38012695312E+00  C_2616_16   
   2.21628369141E+03   2.20533007812E+03  C_2755_1    
   5.37109375000E-02  -3.16015625000E+00  C_2755_2    
  -5.76171875000E-02  -4.83007812500E+00  C_2755_3    
  -1.55029296875E-01  -7.03002929688E+00  C_2755_4    
  -5.19287109375E-01  -1.21301269531E+01  C_2755_5    
  -7.78320312500E-01  -1.41000976562E+01  C_2755_6    
  -8.89648437500E-01  -1.46601562500E+01  C_2755_7    
  -1.47460937500E+00  -1.63100585938E+01  C_2755_8    
  -1.61791992188E+00  -1.78000488281E+01  C_2755_9    
  -1.27197265625E+00  -1.77900390625E+01  C_2755_10   
  -9.14062500000E-01  -1.91601562500E+01  C_2755_11   
  -7.04589843750E-01  -2.12500000000E+01  C_2755_12   
  -1.87304687500E+00  -1.66201171875E+01  C_2755_13   
  -2.52270507812E+00  -1.63400878906E+01  C_2755_14   
  -2.98413085938E+00  -2.45900878906E+01  C_2755_15   
  -3.45239257812E+00  -1.89401855469E+01  C_2755_16   
  -3.23315429688E+00  -1.90600585938E+01  C_2755_17   
  -2.42822265625E+00  -1.83400878906E+01  C_2755_18   
  -1.94311523438E+00  -4.48999023438E+00  C_2755_19   
  -1.80297851562E+00  -2.14799804688E+01  C_2755_20   
  -1.39990234375E+00  -2.35600585938E+01  C_2755_21   
  -7.58789062500E-01  -9.72998046875E+00  C_2755_22   
  -6.12060546875E-01  -1.07600097656E+01  C_2755_23   
   2.21647241211E+03   2.22562988281E+03  C_2765_1    
  -7.93457031250E-02   1.18017578125E+00  C_2765_2    
  -2.04345703125E-01  -3.42993164062E+00  C_2765_3    
   5.14892578125E-01  -1.70996093750E+00  C_2765_4    
  -5.20019531250E-02   3.57006835938E+00  C_2765_5    
  -8.20800781250E-01  -1.08498535156E+01  C_2765_6    
  -1.07739257812E+00  -6.81982421875E+00  C_2765_7    
  -1.16674804688E+00  -7.72998046875E+00  C_2765_8    
   1.31103515625E-01  -8.50000000000E+00  C_2765_9    
   1.38671875000E-01  -1.78198242188E+01  C_2765_10   
   2.66845703125E-01  -1.78198242188E+01  C_2765_11   
  -2.06274414062E+00  -1.98898925781E+01  C_2765_12   
  -2.12768554688E+00  -2.06398925781E+01  C_2765_13   
  -3.26660156250E-01  -2.38298339844E+01  C_2765_14   
  -9.05761718750E-02  -2.39299316406E+01  C_2765_15   
   8.47167968750E-01  -2.46298828125E+01  C_2765_16   
   8.99414062500E-01  -2.51298828125E+01  C_2765_17   
   2.26748950195E+03   2.23325195312E+03  C_2788_1    
   3.50219726562E+00  -1.22998046875E+00  C_2788_2    
