"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.23628198242E+03   2.22587011719E+03  C_113_B_1   
   2.66162109375E+00  -1.53002929688E+00  C_113_B_2   
   1.38720703125E+00  -2.75000000000E+00  C_113_B_3   
   4.08618164062E+00  -4.33007812500E+00  C_113_B_4   
   4.88623046875E+00  -5.60009765625E+00  C_113_B_5   
   4.53466796875E+00  -6.25000000000E+00  C_113_B_6   
   6.72070312500E+00  -7.97021484375E+00  C_113_B_7   
   6.07006835938E+00  -8.70019531250E+00  C_113_B_8   
   5.85571289062E+00  -5.49023437500E+00  C_113_B_9   
   5.80883789062E+00  -4.15014648438E+00  C_113_B_10  
   5.63842773438E+00   9.76562500000E-03  C_113_B_11  
   5.21337890625E+00   8.31982421875E+00  C_113_B_12  
   5.17456054688E+00   9.10986328125E+00  C_113_B_13  
   2.93310546875E+00   7.48999023438E+00  C_113_B_14  
   1.59521484375E+00  -2.58701171875E+01  C_113_B_15  
   1.80786132812E+00   1.07399902344E+01  C_113_B_16  
  -5.52490234375E-01   1.55598144531E+01  C_113_B_17  
  -1.80908203125E+00   1.31699218750E+01  C_113_B_18  
  -8.22021484375E-01   1.27998046875E+01  C_113_B_19  
   3.12744140625E-01   1.43598632812E+01  C_113_B_20  
   4.35791015625E-01   1.43098144531E+01  C_113_B_21  
  -5.69335937500E-01   1.40297851562E+01  C_113_B_22  
  -7.11914062500E-01   8.11987304688E+00  C_113_B_23  
  -5.24902343750E-01   1.11098632812E+01  C_113_B_24  
  -1.67236328125E+00   1.01298828125E+01  C_113_B_25  
  -2.18115234375E+00   9.54980468750E+00  C_113_B_26  
  -3.19482421875E+00   6.89990234375E+00  C_113_B_27  
   2.22147216797E+03   2.21698999023E+03  C_136_B_1   
   4.57031250000E-01   2.88012695312E+00  C_136_B_2   
   8.38378906250E-01   1.16992187500E+00  C_136_B_3   
   1.42089843750E-01   6.23999023438E+00  C_136_B_4   
  -7.10449218750E+00   6.55004882812E+00  C_136_B_5   
  -1.17038574219E+01   1.07299804688E+01  C_136_B_6   
  -1.49985351562E+01   8.55004882812E+00  C_136_B_7   
  -1.48056640625E+01   7.14990234375E+00  C_136_B_8   
  -1.56120605469E+01   7.03002929688E+00  C_136_B_9   
  -1.67014160156E+01   2.74599609375E+01  C_136_B_10  
  -1.77712402344E+01   5.12011718750E+00  C_136_B_11  
  -1.85900878906E+01   1.90000000000E+01  C_136_B_12  
  -1.99538574219E+01   1.81101074219E+01  C_136_B_13  
  -1.99130859375E+01   1.13100585938E+01  C_136_B_14  
  -1.97795410156E+01   1.05500488281E+01  C_136_B_15  
   2.22179101562E+03   2.21755004883E+03  C_2002_1    
   7.95898437500E-01  -2.03002929688E+00  C_2002_2    
   9.13818359375E-01  -3.80004882812E+00  C_2002_3    
   1.45654296875E+00  -5.27001953125E+00  C_2002_4    
   1.43945312500E+00  -7.07006835938E+00  C_2002_5    
   1.48950195312E+00  -7.30004882812E+00  C_2002_6    
   1.96899414062E+00  -9.57006835938E+00  C_2002_7    
   1.56030273438E+00  -1.01601562500E+01  C_2002_8    
   1.67114257812E+00  -1.07399902344E+01  C_2002_9    
   2.14648437500E+00  -1.15700683594E+01  C_2002_10   
   1.79370117188E+00  -1.20800781250E+01  C_2002_11   
   1.23852539062E+00  -1.46000976562E+01  C_2002_12   
   9.68261718750E-01  -1.32399902344E+01  C_2002_13   
