MUN,1990,2000,2010
9002,0.190451,0.439503,0.454153
9003,0.270113,0.623337,0.644115
9004,0.125517,0.289655,0.299310
9005,0.563767,1.301001,1.344367
9006,0.171931,0.396763,0.409988
9007,0.595565,1.374380,1.420193
9008,0.129087,0.297894,0.307824
9009,0.037711,0.087025,0.089926
9010,0.380122,0.877204,0.906444
9011,0.084013,0.193876,0.200338
9012,0.208191,0.480441,0.496455
9013,0.119046,0.274722,0.283879
9014,0.222137,0.512625,0.529712
9015,0.344642,0.795328,0.821839
9016,0.232290,0.536055,0.553923
9017,0.207075,0.477866,0.493795
15002,0.021310,0.049177,0.050816
15011,0.009260,0.021370,0.022082
15013,0.236753,0.546353,0.564565
15022,0.003682,0.008497,0.008780
15025,0.068839,0.158860,0.164155
15028,0.006471,0.014933,0.015431
15029,0.028004,0.064625,0.066779
15030,0.006025,0.013903,0.014367
15031,0.161554,0.372818,0.385245
15033,0.565106,1.304090,1.347560
15037,0.064042,0.147788,0.152715
15039,0.073637,0.169931,0.175595
15046,0.004909,0.011329,0.011706
15050,0.000000,0.000000,0.000000
15057,0.432560,0.998215,1.031489
15058,0.367737,0.848624,0.876912
15069,0.001227,0.002832,0.002927
15070,0.062591,0.144441,0.149256
15083,0.003012,0.006952,0.007183
15089,0.002901,0.006694,0.006917
15093,0.007587,0.017508,0.018092
15099,0.067835,0.156542,0.161760
15100,0.006360,0.014676,0.015165
15103,0.015062,0.034759,0.035917
15104,0.330807,0.763401,0.788848
15122,0.071071,0.164009,0.169476
