MUN,1990,2000,2010
9002,0.471733,0.837986,1.034297
9003,0.669049,1.188496,1.466920
9004,0.310896,0.552275,0.681654
9005,1.396407,2.480575,3.061688
9006,0.425859,0.756494,0.933715
9007,1.475168,2.620484,3.234374
9008,0.319739,0.567984,0.701044
9009,0.093407,0.165928,0.204799
9010,0.941532,1.672535,2.064352
9011,0.208093,0.369656,0.456254
9012,0.515673,0.916040,1.130637
9013,0.294868,0.523802,0.646511
9014,0.550217,0.977404,1.206377
9015,0.853652,1.516425,1.871671
9016,0.575365,1.022077,1.261515
9017,0.512910,0.911131,1.124578
15002,0.052783,0.093764,0.115730
15011,0.022937,0.040746,0.050291
15013,0.586419,1.041714,1.285752
15022,0.009120,0.016200,0.019995
15025,0.170509,0.302892,0.373850
15028,0.016028,0.028473,0.035143
15029,0.069364,0.123219,0.152085
15030,0.014923,0.026509,0.032719
15031,0.400158,0.710840,0.877365
15033,1.399724,2.486466,3.068959
15037,0.158626,0.281783,0.347795
15039,0.182392,0.324001,0.399904
15046,0.012159,0.021600,0.026660
15050,0.000000,0.000000,0.000000
15057,1.071417,1.903263,2.349132
15058,0.910857,1.618044,1.997096
15069,0.003040,0.005400,0.006665
15070,0.155034,0.275401,0.339918
15083,0.007462,0.013255,0.016360
15089,0.007185,0.012764,0.015754
15093,0.018792,0.033382,0.041202
15099,0.168022,0.298474,0.368396
15100,0.015752,0.027982,0.034537
15103,0.037308,0.066273,0.081799
15104,0.819384,1.455552,1.796538
15122,0.176036,0.312710,0.385968
