MUN,1990,2000,2010
9002,0.029300194,0.029300194,0.043950291
9003,0.041555811,0.041555811,0.062333717
9004,0.019310321,0.019310321,0.028965482
9005,0.08673338,0.08673338,0.13010007
9006,0.026450849,0.026450849,0.039676273
9007,0.091625328,0.091625328,0.137437992
9008,0.019859593,0.019859593,0.029789389
9009,0.005801679,0.005801679,0.008702518
9010,0.058480235,0.058480235,0.087720352
9011,0.012925042,0.012925042,0.019387562
9012,0.032029386,0.032029386,0.048044079
9013,0.018314767,0.018314767,0.02747215
9014,0.034174977,0.034174977,0.051262466
9015,0.053021851,0.053021851,0.079532776
9016,0.035736968,0.035736968,0.053605452
9017,0.031857739,0.031857739,0.047786608
15002,0.003278463,0.003278463,0.004917695
15011,0.001424673,0.001424673,0.002137009
15013,0.036423557,0.036423557,0.054635335
15022,0.000566436,0.000566436,0.000849654
15025,0.010590638,0.010590638,0.015885958
15028,0.000995554,0.000995554,0.001493332
15029,0.004308347,0.004308347,0.006462521
15030,0.000926895,0.000926895,0.001390343
15031,0.024854529,0.024854529,0.037281793
15033,0.086939357,0.086939357,0.130409036
15037,0.009852555,0.009852555,0.014778832
15039,0.011328722,0.011328722,0.016993083
15046,0.000755248,0.000755248,0.001132872
15050,0,0,0
15057,0.066547658,0.066547658,0.099821487
15058,0.05657495,0.05657495,0.084862425
15069,0.000188812,0.000188812,0.000283218
15070,0.009629413,0.009629413,0.01444412
15083,0.000463448,0.000463448,0.000695172
15089,0.000446283,0.000446283,0.000669424
15093,0.001167202,0.001167202,0.001750802
15099,0.010436156,0.010436156,0.015654234
15100,0.00097839,0.00097839,0.001467584
15103,0.002317239,0.002317239,0.003475858
15104,0.050893424,0.050893424,0.076340136
15122,0.010933933,0.010933933,0.016400899
