MUN,1990,2000,2010
9002,0.076181,0.076181,0.169941
9003,0.108045,0.108045,0.241024
9004,0.050207,0.050207,0.112000
9005,0.225507,0.225507,0.503054
9006,0.068772,0.068772,0.153415
9007,0.238226,0.238226,0.531427
9008,0.051635,0.051635,0.115186
9009,0.015084,0.015084,0.033650
9010,0.152049,0.152049,0.339185
9011,0.033605,0.033605,0.074965
9012,0.083276,0.083276,0.185770
9013,0.047618,0.047618,0.106226
9014,0.088855,0.088855,0.198215
9015,0.137857,0.137857,0.307527
9016,0.092916,0.092916,0.207274
9017,0.082830,0.082830,0.184775
15002,0.008524,0.008524,0.019015
15011,0.003704,0.003704,0.008263
15013,0.094701,0.094701,0.211257
15022,0.001473,0.001473,0.003285
15025,0.027536,0.027536,0.061426
15028,0.002588,0.002588,0.005774
15029,0.011202,0.011202,0.024988
15030,0.002410,0.002410,0.005376
15031,0.064622,0.064622,0.144156
15033,0.226042,0.226042,0.504248
15037,0.025617,0.025617,0.057145
15039,0.029455,0.029455,0.065707
15046,0.001964,0.001964,0.004380
15050,0.000000,0.000000,0.000000
15057,0.173024,0.173024,0.385976
15058,0.147095,0.147095,0.328135
15069,0.000491,0.000491,0.001095
15070,0.025036,0.025036,0.055851
15083,0.001205,0.001205,0.002688
15089,0.001160,0.001160,0.002588
15093,0.003035,0.003035,0.006770
15099,0.027134,0.027134,0.060530
15100,0.002544,0.002544,0.005675
15103,0.006025,0.006025,0.013440
15104,0.132323,0.132323,0.295182
15122,0.028428,0.028428,0.063417
