MUN,1990,2000,2010
9002,0.175801,0.293002,0.234402
9003,0.249335,0.415558,0.332446
9004,0.115862,0.193103,0.154483
9005,0.520400,0.867334,0.693867
9006,0.158705,0.264508,0.211607
9007,0.549752,0.916253,0.733003
9008,0.119158,0.198596,0.158877
9009,0.034810,0.058017,0.046413
9010,0.350881,0.584802,0.467842
9011,0.077550,0.129250,0.103400
9012,0.192176,0.320294,0.256235
9013,0.109889,0.183148,0.146518
9014,0.205050,0.341750,0.273400
9015,0.318131,0.530219,0.424175
9016,0.214422,0.357370,0.285896
9017,0.191146,0.318577,0.254862
15002,0.019671,0.032785,0.026228
15011,0.008548,0.014247,0.011397
15013,0.218541,0.364236,0.291388
15022,0.003399,0.005664,0.004531
15025,0.063544,0.105906,0.084725
15028,0.005973,0.009956,0.007964
15029,0.025850,0.043083,0.034467
15030,0.005561,0.009269,0.007415
15031,0.149127,0.248545,0.198836
15033,0.521636,0.869394,0.695515
15037,0.059115,0.098526,0.078820
15039,0.067972,0.113287,0.090630
15046,0.004531,0.007552,0.006042
15050,0.000000,0.000000,0.000000
15057,0.399286,0.665477,0.532381
15058,0.339450,0.565749,0.452600
15069,0.001133,0.001888,0.001510
15070,0.057776,0.096294,0.077035
15083,0.002781,0.004634,0.003708
15089,0.002678,0.004463,0.003570
15093,0.007003,0.011672,0.009338
15099,0.062617,0.104362,0.083489
15100,0.005870,0.009784,0.007827
15103,0.013903,0.023172,0.018538
15104,0.305361,0.508934,0.407147
15122,0.065604,0.109339,0.087471
