MUN,1990,2000,2010
9002,0.000000,0.000000,0.131851
9003,0.000000,0.000000,0.187001
9004,0.000000,0.000000,0.086896
9005,0.000000,0.000000,0.390300
9006,0.000000,0.000000,0.119029
9007,0.000000,0.000000,0.412314
9008,0.000000,0.000000,0.089368
9009,0.000000,0.000000,0.026108
9010,0.000000,0.000000,0.263161
9011,0.000000,0.000000,0.058163
9012,0.000000,0.000000,0.144132
9013,0.000000,0.000000,0.082416
9014,0.000000,0.000000,0.153787
9015,0.000000,0.000000,0.238598
9016,0.000000,0.000000,0.160816
9017,0.000000,0.000000,0.143360
15002,0.000000,0.000000,0.014753
15011,0.000000,0.000000,0.006411
15013,0.000000,0.000000,0.163906
15022,0.000000,0.000000,0.002549
15025,0.000000,0.000000,0.047658
15028,0.000000,0.000000,0.004480
15029,0.000000,0.000000,0.019388
15030,0.000000,0.000000,0.004171
15031,0.000000,0.000000,0.111845
15033,0.000000,0.000000,0.391227
15037,0.000000,0.000000,0.044336
15039,0.000000,0.000000,0.050979
15046,0.000000,0.000000,0.003399
15050,0.000000,0.000000,0.000000
15057,0.000000,0.000000,0.299464
15058,0.000000,0.000000,0.254587
15069,0.000000,0.000000,0.000850
15070,0.000000,0.000000,0.043332
15083,0.000000,0.000000,0.002086
15089,0.000000,0.000000,0.002008
15093,0.000000,0.000000,0.005252
15099,0.000000,0.000000,0.046963
15100,0.000000,0.000000,0.004403
15103,0.000000,0.000000,0.010428
15104,0.000000,0.000000,0.229020
15122,0.000000,0.000000,0.049203
