MUN,1990,2000,2010
9002,1.707000,1.707000,1.707000
9003,2.421000,2.421000,2.421000
9004,1.125000,1.125000,1.125000
9005,5.053000,5.053000,5.053000
9006,1.541000,1.541000,1.541000
9007,5.338000,5.338000,5.338000
9008,1.157000,1.157000,1.157000
9009,0.338000,0.338000,0.338000
9010,3.407000,3.407000,3.407000
9011,0.753000,0.753000,0.753000
9012,1.866000,1.866000,1.866000
9013,1.067000,1.067000,1.067000
9014,1.991000,1.991000,1.991000
9015,3.089000,3.089000,3.089000
9016,2.082000,2.082000,2.082000
9017,1.856000,1.856000,1.856000
15002,0.191000,0.191000,0.191000
15011,0.083000,0.083000,0.083000
15013,2.122000,2.122000,2.122000
15022,0.033000,0.033000,0.033000
15025,0.617000,0.617000,0.617000
15028,0.058000,0.058000,0.058000
15029,0.251000,0.251000,0.251000
15030,0.054000,0.054000,0.054000
15031,1.448000,1.448000,1.448000
15033,5.065000,5.065000,5.065000
15037,0.574000,0.574000,0.574000
15039,0.660000,0.660000,0.660000
15046,0.044000,0.044000,0.044000
15050,0.000000,0.000000,0.000000
15057,3.877000,3.877000,3.877000
15058,3.296000,3.296000,3.296000
15069,0.011000,0.011000,0.011000
15070,0.561000,0.561000,0.561000
15083,0.027000,0.027000,0.027000
15089,0.026000,0.026000,0.026000
15093,0.068000,0.068000,0.068000
15099,0.608000,0.608000,0.608000
15100,0.057000,0.057000,0.057000
15103,0.135000,0.135000,0.135000
15104,2.965000,2.965000,2.965000
15122,0.637000,0.637000,0.637000
