"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.23464697266E+03   2.22587011719E+03  CNA_113_B_1 
   2.23320654297E+03   2.22434008789E+03  CNA_113_B_2 
   2.22779101562E+03   2.22312011719E+03  CNA_113_B_3 
   2.23120288086E+03   2.22154003906E+03  CNA_113_B_4 
   2.23066674805E+03   2.22027001953E+03  CNA_113_B_5 
   2.23067651367E+03   2.21962011719E+03  CNA_113_B_6 
   2.23444775391E+03   2.21789990234E+03  CNA_113_B_7 
   2.23268481445E+03   2.21716992188E+03  CNA_113_B_8 
   2.23248632812E+03   2.22037988281E+03  CNA_113_B_9 
   2.22866381836E+03   2.22171997070E+03  CNA_113_B_10
   2.23031689453E+03   2.22587988281E+03  CNA_113_B_11
   2.22819799805E+03   2.23418994141E+03  CNA_113_B_12
   2.22846826172E+03   2.23497998047E+03  CNA_113_B_13
   2.22756762695E+03   2.23336010742E+03  CNA_113_B_14
   2.22585058594E+03   2.20000000000E+03  CNA_113_B_15
   2.22718798828E+03   2.23661010742E+03  CNA_113_B_16
   2.22573120117E+03   2.24142993164E+03  CNA_113_B_17
   2.22384790039E+03   2.23904003906E+03  CNA_113_B_18
   2.22485302734E+03   2.23866992188E+03  CNA_113_B_19
   2.22563745117E+03   2.24022998047E+03  CNA_113_B_20
   2.22555297852E+03   2.24017993164E+03  CNA_113_B_21
   2.22137695312E+03   2.23989990234E+03  CNA_113_B_22
   2.22002783203E+03   2.23398999023E+03  CNA_113_B_23
   2.22144384766E+03   2.23697998047E+03  CNA_113_B_24
   2.21940820312E+03   2.23600000000E+03  CNA_113_B_25
   2.21949414062E+03   2.23541992188E+03  CNA_113_B_26
   2.21786010742E+03   2.23277001953E+03  CNA_113_B_27
   2.18374536133E+03   2.21698999023E+03  CNA_136_B_1 
   2.18288916016E+03   2.21987011719E+03  CNA_136_B_2 
   2.18286206055E+03   2.21815991211E+03  CNA_136_B_3 
   2.18391577148E+03   2.22322998047E+03  CNA_136_B_4 
   2.18361914062E+03   2.22354003906E+03  CNA_136_B_5 
   2.18228125000E+03   2.22771997070E+03  CNA_136_B_6 
   2.18054711914E+03   2.22554003906E+03  CNA_136_B_7 
   2.18027539062E+03   2.22413989258E+03  CNA_136_B_8 
   2.17920190430E+03   2.22402001953E+03  CNA_136_B_9 
   2.18016088867E+03   2.24444995117E+03  CNA_136_B_10
   2.18110888672E+03   2.22211010742E+03  CNA_136_B_11
   2.18105883789E+03   2.23598999023E+03  CNA_136_B_12
   2.18068481445E+03   2.23510009766E+03  CNA_136_B_13
   2.18066870117E+03   2.22830004883E+03  CNA_136_B_14
   2.18041650391E+03   2.22754003906E+03  CNA_136_B_15
   2.21787573242E+03   2.21755004883E+03  CNA_2002_1  
   2.21743725586E+03   2.21552001953E+03  CNA_2002_2  
   2.21707324219E+03   2.21375000000E+03  CNA_2002_3  
   2.21662451172E+03   2.21228002930E+03  CNA_2002_4  
   2.21612915039E+03   2.21047998047E+03  CNA_2002_5  
   2.21558496094E+03   2.21025000000E+03  CNA_2002_6  
   2.21502709961E+03   2.20797998047E+03  CNA_2002_7  
   2.21428198242E+03   2.20738989258E+03  CNA_2002_8  
   2.21375537109E+03   2.20681005859E+03  CNA_2002_9  
   2.21290869141E+03   2.20597998047E+03  CNA_2002_10 
   2.21251782227E+03   2.20546997070E+03  CNA_2002_11 
   2.21198510742E+03   2.20294995117E+03  CNA_2002_12 
   2.21145654297E+03   2.20431005859E+03  CNA_2002_13 
   2.21099633789E+03   2.20850000000E+03  CNA_2002_14 
   2.21006494141E+03   2.20850000000E+03  CNA_2002_15 
   2.20933178711E+03   2.20850000000E+03  CNA_2002_16 
