"SIMULATED EQUIVALENT"   "OBSERVED VALUE"    "OBSERVATION NAME"
   2.24251318359E+03   2.22587011719E+03  CNA_113_B_1 
   2.24154516602E+03   2.22434008789E+03  CNA_113_B_2 
   2.23594067383E+03   2.22312011719E+03  CNA_113_B_3 
   2.23887060547E+03   2.22154003906E+03  CNA_113_B_4 
   2.23786450195E+03   2.22027001953E+03  CNA_113_B_5 
   2.23743579102E+03   2.21962011719E+03  CNA_113_B_6 
   2.24081298828E+03   2.21789990234E+03  CNA_113_B_7 
   2.23869750977E+03   2.21716992188E+03  CNA_113_B_8 
   2.23818725586E+03   2.22037988281E+03  CNA_113_B_9 
   2.23404272461E+03   2.22171997070E+03  CNA_113_B_10
   2.23548950195E+03   2.22587988281E+03  CNA_113_B_11
   2.23294262695E+03   2.23418994141E+03  CNA_113_B_12
   2.23301391602E+03   2.23497998047E+03  CNA_113_B_13
   2.23179565430E+03   2.23336010742E+03  CNA_113_B_14
   2.22990625000E+03   2.20000000000E+03  CNA_113_B_15
   2.23111791992E+03   2.23661010742E+03  CNA_113_B_16
   2.22956469727E+03   2.24142993164E+03  CNA_113_B_17
   2.22757275391E+03   2.23904003906E+03  CNA_113_B_18
   2.22847778320E+03   2.23866992188E+03  CNA_113_B_19
   2.22916918945E+03   2.24022998047E+03  CNA_113_B_20
   2.22899804688E+03   2.24017993164E+03  CNA_113_B_21
   2.22474096680E+03   2.23989990234E+03  CNA_113_B_22
   2.22331616211E+03   2.23398999023E+03  CNA_113_B_23
   2.22466113281E+03   2.23697998047E+03  CNA_113_B_24
   2.22255883789E+03   2.23600000000E+03  CNA_113_B_25
   2.22258227539E+03   2.23541992188E+03  CNA_113_B_26
   2.22088940430E+03   2.23277001953E+03  CNA_113_B_27
   2.18555175781E+03   2.21698999023E+03  CNA_136_B_1 
   2.18490502930E+03   2.21987011719E+03  CNA_136_B_2 
   2.18503222656E+03   2.21815991211E+03  CNA_136_B_3 
   2.18620996094E+03   2.22322998047E+03  CNA_136_B_4 
   2.18597290039E+03   2.22354003906E+03  CNA_136_B_5 
   2.18470361328E+03   2.22771997070E+03  CNA_136_B_6 
   2.18296923828E+03   2.22554003906E+03  CNA_136_B_7 
   2.18267919922E+03   2.22413989258E+03  CNA_136_B_8 
   2.18157226562E+03   2.22402001953E+03  CNA_136_B_9 
   2.18249975586E+03   2.24444995117E+03  CNA_136_B_10
   2.18341723633E+03   2.22211010742E+03  CNA_136_B_11
   2.18332763672E+03   2.23598999023E+03  CNA_136_B_12
   2.18291210938E+03   2.23510009766E+03  CNA_136_B_13
   2.18280859375E+03   2.22830004883E+03  CNA_136_B_14
   2.18251147461E+03   2.22754003906E+03  CNA_136_B_15
   2.21849096680E+03   2.21755004883E+03  CNA_2002_1  
   2.21803100586E+03   2.21552001953E+03  CNA_2002_2  
   2.21766625977E+03   2.21375000000E+03  CNA_2002_3  
   2.21721923828E+03   2.21228002930E+03  CNA_2002_4  
   2.21672583008E+03   2.21047998047E+03  CNA_2002_5  
   2.21618652344E+03   2.21025000000E+03  CNA_2002_6  
   2.21563549805E+03   2.20797998047E+03  CNA_2002_7  
   2.21489843750E+03   2.20738989258E+03  CNA_2002_8  
   2.21438159180E+03   2.20681005859E+03  CNA_2002_9  
   2.21354638672E+03   2.20597998047E+03  CNA_2002_10 
   2.21316430664E+03   2.20546997070E+03  CNA_2002_11 
   2.21264160156E+03   2.20294995117E+03  CNA_2002_12 
   2.21212231445E+03   2.20431005859E+03  CNA_2002_13 
   2.21167163086E+03   2.20850000000E+03  CNA_2002_14 
   2.21075415039E+03   2.20850000000E+03  CNA_2002_15 
   2.21002783203E+03   2.20850000000E+03  CNA_2002_16 
   2.20955883789E+03   2.20021997070E+03  CNA_2002_17 
   2.20923339844E+03   2.20387988281E+03  CNA_2002_18 
   2.20881152344E+03   2.20310009766E+03  CNA_2002_19 
   2.20834814453E+03   2.20250000000E+03  CNA_2002_20 
   2.20803271484E+03   2.20210009766E+03  CNA_2002_21 
   2.20759350586E+03   2.20154003906E+03  CNA_2002_22 
   2.20707763672E+03   2.20077001953E+03  CNA_2002_23 
   2.20669409180E+03   2.20010009766E+03  CNA_2002_24 
   2.20627001953E+03   2.19922998047E+03  CNA_2002_25 
   2.20585693359E+03   2.19910009766E+03  CNA_2002_26 
   2.20536474609E+03   2.19833007812E+03  CNA_2002_27 
   2.20501757812E+03   2.19573999023E+03  CNA_2002_28 
   2.21736645508E+03   2.25478002930E+03  CNA_2004_1  
   2.21703100586E+03   2.25233007812E+03  CNA_2004_2  
   2.21632739258E+03   2.25009008789E+03  CNA_2004_3  
   2.21584130859E+03   2.24765991211E+03  CNA_2004_4  
   2.21531591797E+03   2.24537988281E+03  CNA_2004_5  
   2.21473437500E+03   2.24539990234E+03  CNA_2004_6  
   2.21344384766E+03   2.24236010742E+03  CNA_2004_7  
   2.21255346680E+03   2.24284008789E+03  CNA_2004_8  
   2.21115136719E+03   2.24016992188E+03  CNA_2004_9  
   2.21075244141E+03   2.24326000977E+03  CNA_2004_10 
   2.20977221680E+03   2.23760009766E+03  CNA_2004_11 
   2.20857299805E+03   2.23684008789E+03  CNA_2004_12 
   2.20827587891E+03   2.23513989258E+03  CNA_2004_13 
   2.20783666992E+03   2.23451000977E+03  CNA_2004_14 
   2.20735351562E+03   2.23384008789E+03  CNA_2004_15 
   2.20707519531E+03   2.23952001953E+03  CNA_2004_16 
   2.20658886719E+03   2.23673999023E+03  CNA_2004_17 
   2.20605029297E+03   2.23669995117E+03  CNA_2004_18 
   2.20568408203E+03   2.23619995117E+03  CNA_2004_19 
   2.20525463867E+03   2.23512988281E+03  CNA_2004_20 
   2.20482055664E+03   2.23601000977E+03  CNA_2004_21 
   2.20396459961E+03   2.23143994141E+03  CNA_2004_22 
   2.22099414062E+03   2.22984008789E+03  CNA_2157_V_1
   2.22031835938E+03   2.22768994141E+03  CNA_2157_V_2
   2.21985546875E+03   2.22597998047E+03  CNA_2157_V_3
   2.21928979492E+03   2.22452001953E+03  CNA_2157_V_4
   2.21875097656E+03   2.22254003906E+03  CNA_2157_V_5
   2.21817163086E+03   2.22152001953E+03  CNA_2157_V_6
   2.21769482422E+03   2.22043994141E+03  CNA_2157_V_7
   2.21705688477E+03   2.21952001953E+03  CNA_2157_V_8
   2.21653466797E+03   2.21910009766E+03  CNA_2157_V_9
   2.21574975586E+03   2.21908007812E+03  CNA_2157_V_1
   2.21482006836E+03   2.21636010742E+03  CNA_2157_V_1
   2.21430517578E+03   2.21650000000E+03  CNA_2157_V_1
   2.21379003906E+03   2.21510009766E+03  CNA_2157_V_1
   2.21293750000E+03   2.20739990234E+03  CNA_2157_V_1
   2.21229101562E+03   2.21877001953E+03  CNA_2157_V_1
   2.21182421875E+03   2.21236010742E+03  CNA_2157_V_1
   2.21145629883E+03   2.21213989258E+03  CNA_2157_V_1
   2.21105126953E+03   2.20936010742E+03  CNA_2157_V_1
   2.21060351562E+03   2.21566992188E+03  CNA_2157_V_1
   2.21021630859E+03   2.20954003906E+03  CNA_2157_V_2
   2.20981835938E+03   2.21066992188E+03  CNA_2157_V_2
   2.20934057617E+03   2.20639990234E+03  CNA_2157_V_2
   2.20892407227E+03   2.20620996094E+03  CNA_2157_V_2
   2.20853198242E+03   2.20587011719E+03  CNA_2157_V_2
   2.20814184570E+03   2.21316992188E+03  CNA_2157_V_2
   2.20768457031E+03   2.20480004883E+03  CNA_2157_V_2
   2.20730883789E+03   2.21284008789E+03  CNA_2157_V_2
   2.21551733398E+03   2.19961010742E+03  CNA_2193_1  
   2.21465795898E+03   2.18864990234E+03  CNA_2193_2  
   2.21415722656E+03   2.18762988281E+03  CNA_2193_3  
   2.21292553711E+03   2.18797998047E+03  CNA_2193_4  
   2.21216967773E+03   2.18520996094E+03  CNA_2193_5  
   2.21164746094E+03   2.18414990234E+03  CNA_2193_6  
   2.21050341797E+03   2.18071997070E+03  CNA_2193_7  
   2.20939892578E+03   2.18398999023E+03  CNA_2193_8  
   2.20907666016E+03   2.18460009766E+03  CNA_2193_9  
   2.20798168945E+03   2.17923999023E+03  CNA_2193_10 
   2.20647192383E+03   2.16387988281E+03  CNA_2193_11 
   2.20555200195E+03   2.16226000977E+03  CNA_2193_12 
   2.20419677734E+03   2.16107006836E+03  CNA_2193_13 
   2.20342236328E+03   2.15734008789E+03  CNA_2193_14 
   2.20295971680E+03   2.15609008789E+03  CNA_2193_15 
   2.20246752930E+03   2.15508007812E+03  CNA_2193_16 
   2.20201977539E+03   2.15429003906E+03  CNA_2193_17 
   2.22375830078E+03   2.24295996094E+03  CNA_2239_1  
   2.22289550781E+03   2.24085009766E+03  CNA_2239_2  
   2.22233081055E+03   2.23904003906E+03  CNA_2239_3  
   2.22163378906E+03   2.23761010742E+03  CNA_2239_4  
   2.22102612305E+03   2.23555004883E+03  CNA_2239_5  
   2.22040942383E+03   2.23439990234E+03  CNA_2239_6  
   2.21983886719E+03   2.23336010742E+03  CNA_2239_7  
   2.21926367188E+03   2.23256005859E+03  CNA_2239_8  
   2.21874707031E+03   2.23202001953E+03  CNA_2239_9  
   2.21803710938E+03   2.23121997070E+03  CNA_2239_10 
   2.21759619141E+03   2.23052001953E+03  CNA_2239_11 
   2.21708642578E+03   2.23001000977E+03  CNA_2239_12 
   2.21656689453E+03   2.22958007812E+03  CNA_2239_13 
   2.21602343750E+03   2.23904003906E+03  CNA_2239_14 
   2.21516503906E+03   2.22890991211E+03  CNA_2239_15 
   2.21376025391E+03   2.22973999023E+03  CNA_2239_16 
   2.21335717773E+03   2.22868994141E+03  CNA_2239_17 
   2.21290991211E+03   2.22846997070E+03  CNA_2239_18 
   2.21249487305E+03   2.22963989258E+03  CNA_2239_19 
   2.21210693359E+03   2.22797998047E+03  CNA_2239_20 
   2.21166381836E+03   2.22714990234E+03  CNA_2239_21 
   2.21123388672E+03   2.22701000977E+03  CNA_2239_22 
   2.21085009766E+03   2.22612988281E+03  CNA_2239_23 
   2.21044628906E+03   2.22577001953E+03  CNA_2239_24 
   2.21003637695E+03   2.22573999023E+03  CNA_2239_25 
   2.20963867188E+03   2.22437011719E+03  CNA_2239_26 
   2.28699169922E+03   2.20389990234E+03  CNA_245V2_1 
   2.28599975586E+03   2.20253002930E+03  CNA_245V2_2 
   2.28951220703E+03   2.20123999023E+03  CNA_245V2_3 
   2.29081909180E+03   2.20055004883E+03  CNA_245V2_4 
   2.28139624023E+03   2.20987011719E+03  CNA_245V2_5 
